"","X","ID","day","beep","Angry","Depressed","Anxiety","Stressed","Relaxed","Happy"
"1",1,1,1,1,0.4,1,0.8,0.6,0.4,0.6
"2",2,1,1,2,0.4,0.4,0.8,0.6,0.8,0.8
"3",3,1,1,3,0.4,0.4,0.8,0.8,0.4,0.8
"4",4,1,1,4,NA,NA,NA,NA,NA,NA
"5",5,1,1,5,0.2,0.2,0.2,0.2,0.8,0.8
"6",6,1,1,6,0.4,0.8,0.4,0.4,0.8,0.4
"7",7,1,1,7,0.4,0.4,0.4,0.4,0.8,0.8
"8",8,1,1,8,0.4,0.8,0.4,0.4,0.6,0.4
"9",9,1,2,1,0.4,0.4,0.4,0.4,1,0.6
"10",10,1,2,2,0.2,0.4,0.2,0.2,0.8,0.8
"11",11,1,2,3,0.2,0.2,0.2,0.2,0.8,0.8
"12",12,1,2,4,0.2,0.2,0.8,0.2,0.8,0.8
"13",13,1,2,5,0.8,0.4,0.2,0.2,0.4,0.4
"14",14,1,2,6,0.2,0.8,0.2,0.4,0.8,0.6
"15",15,1,2,7,0.4,0.8,0.2,0.2,0.8,0.6
"16",16,1,4,1,0.2,0.4,0.8,0.4,0.8,0.8
"17",17,1,4,2,0.2,0.6,0.4,0.4,0.8,0.6
"18",18,1,4,3,0.2,0.6,0.8,0.2,0.8,0.6
"19",19,1,4,4,0.2,0.4,0.6,0.4,0.8,0.8
"20",20,1,4,5,0.2,0.2,0.6,0.2,0.6,0.4
"21",21,1,4,6,0.2,0.4,0.4,0.8,0.8,0.8
"22",22,1,4,7,0,0.2,0.4,0,0.6,0.8
"23",23,1,4,8,0.6,0.8,0.8,0.8,0.8,0.4
"24",24,1,4,9,0.2,0.8,0.8,0.8,0.8,0.4
"25",25,1,5,1,0,0,0,0,0,0.8
"26",26,1,5,2,0.2,0.2,0.6,0.8,0.2,0.4
"27",27,1,5,3,0.2,0,0.4,0.6,0.2,0.4
"28",28,1,5,4,0,0,0.4,0.2,0.4,0.6
"29",29,1,5,5,NA,NA,NA,NA,NA,NA
"30",30,1,5,6,NA,NA,NA,NA,NA,NA
"31",31,1,5,7,0,0,0,0,1,0.8
"32",32,1,5,8,0.6,0.4,0.8,0.4,0.8,0.6
