"","X","ID","day","beep","missing","observationID","Angry","Sad","Stressed","Relaxed","Happy"
"1",1,105,1,1,0,1,0.19,0.07,0.51,0.55,0.75
"2",2,105,1,2,0,2,0.18,0.2,0.21,0.21,0.69
"3",3,105,1,3,0,3,0.21,0.1,0.25,0.94,0.52
"4",4,105,1,4,0,4,0.04,0.1,0.13,0.98,0.93
"5",5,105,1,5,0,5,0.1,0.01,0.11,0.87,0.98
"6",6,105,1,6,0,6,0.76,0.63,0.73,0.11,0.2
"7",7,105,1,7,0,7,0.21,0.12,0.08,0.84,0.54
"8",8,105,2,1,0,8,0.54,0.06,0.82,0.46,0.59
"9",9,105,2,2,0,9,0.11,0.1,0.08,0.79,0.78
"10",10,105,2,3,0,10,0.03,0.05,0.08,1,1
"11",11,105,2,4,0,11,0.01,0.06,0.01,1,1
"12",12,105,2,5,0,12,0.85,0.14,0.79,0.8,0.17
"13",13,105,2,6,0,13,0.6,0.87,0.13,0.43,0.1
"14",14,105,2,7,0,14,0.05,0.07,0.07,0.94,0.91
"15",15,105,3,1,0,15,0,0.02,0.03,1,1
"16",16,105,3,2,0,16,0.23,0.08,0.95,0.8,0.53
"17",17,105,3,3,0,17,0.53,0.52,0.94,0.09,0.43
"18",18,105,3,4,0,18,0,0,0,0.96,0.87
"19",19,105,3,5,0,19,0.04,0,0.02,1,0.94
"20",20,105,3,6,0,20,0,0.03,0,1,1
"21",21,105,3,7,0,21,0.06,0.08,0.11,0.78,0.57
"22",22,105,4,1,0,22,0.08,0.03,0.81,0.33,0.05
"23",23,105,4,2,0,23,0.03,0,0.04,1,1
"24",24,105,4,3,0,24,0,0.03,0,0.75,0.52
"25",25,105,4,4,0,25,0.63,0.63,0,0.82,0.66
"26",26,105,4,5,0,26,0.13,0.05,0.1,0.79,0.79
"27",27,105,4,6,0,27,0,0,0,0,0.45
"28",28,105,4,7,0,28,0,0,0.04,0.92,0.8
"29",29,105,5,1,0,29,0.24,0.1,0.1,0.53,0.76
"30",30,105,5,2,0,30,0.04,0,0,0.28,1
"31",31,105,5,3,0,31,0.66,0,0.74,0.58,0.46
"32",32,105,5,4,0,32,0.01,0,0.01,1,0.93
