"","X","ID","day","beep","Happy","Relaxed","Confident","Sad","Stressed","Angry"
"1",1,45876,1,1,0.7,0.61,71,0.11,0,0
"2",2,45876,1,2,0.51,0.7,40,0.11,0,0
"3",3,45876,1,3,0.62,0.49,39,0,0.31,0
"4",4,45876,1,4,0.6,0.8,61,0,0,0
"5",5,45876,1,5,0.61,0.8,60,0.01,0.11,0
"6",6,45876,1,6,0.7,0.81,61,0,0.2,0
"7",7,45876,1,7,0.7,0.9,61,0.16,0,0
"8",8,45876,1,8,0.61,0.81,63,0.19,0.1,0.02
"9",9,45876,2,1,0.61,0.69,39,0.09,0.1,0.01
"10",10,45876,2,2,0.42,0.81,70,0.02,0,0.02
"11",11,45876,2,3,0.61,0.7,70,0,0,0
"12",12,45876,2,4,0.52,0.81,60,0.2,0.1,0.04
"13",13,45876,2,5,0.41,0.82,61,0.1,0.15,0
"14",14,45876,2,6,0.63,0.8,61,0,0,0
"15",15,45876,2,7,0.57,0.58,40,0,0.21,0
"16",16,45876,2,8,0.62,0.74,60,0.1,0.15,0
"17",17,45876,2,9,0.62,0.7,60,0.1,0.1,0
"18",18,45876,2,10,0.66,0.86,57,0,0,0
"19",19,45876,2,11,NA,NA,NA,NA,NA,NA
"20",20,45876,3,1,0.66,0.75,58,0,0,0
"21",21,45876,3,2,0.65,0.71,59,0,0,0
"22",22,45876,3,3,NA,NA,NA,NA,NA,NA
"23",23,45876,3,4,NA,NA,NA,NA,NA,NA
"24",24,45876,3,5,0.63,0.72,40,0,0.21,0
"25",25,45876,3,6,0.56,0.73,49,0,0.23,0
"26",26,45876,3,7,0.6,0.7,41,0.12,0.21,0
"27",27,45876,3,8,0.6,0.71,42,0,0,0
"28",28,45876,3,9,0.69,0.76,63,0,0,0
"29",29,45876,3,10,0.5,0.7,60,0,0,0
"30",30,45876,4,1,0.54,0.71,62,0,0,0
"31",31,45876,4,2,0.65,0.51,60,0,0,0
"32",32,45876,4,3,0.65,0.64,59,0.15,0,0
"33",33,45876,4,4,0.5,0.4,38,0.15,0,0.16
"34",34,45876,4,5,0.6,0.57,56,0.01,0,0.01
"35",35,45876,4,6,0.39,0.5,26,0,0.29,0
"36",36,45876,4,7,0.51,0.26,33,0.01,0.32,0.01
"37",37,45876,4,8,0.62,0.67,60,0,0.05,0
"38",38,45876,4,9,0.6,0.72,41,0,0.14,0
"39",39,45876,5,1,0.72,0.61,63,0,0.01,0
"40",40,45876,5,2,0.6,0.64,34,0,0,0
"41",41,45876,5,3,NA,NA,NA,NA,NA,NA
"42",42,45876,5,4,0.56,0.36,41,0,0.16,0
"43",43,45876,5,5,0.63,0.48,63,0.01,0,0
"44",44,45876,5,6,0.65,0.4,65,0,0,0
"45",45,45876,5,7,0.59,0.62,65,0,0,0
"46",46,45876,5,8,0.56,0.23,38,0,0.33,0
"47",47,45876,5,9,0.64,0.57,29,0.05,0.17,0
"48",48,45876,5,10,0.58,0.45,57,0,0,0
"49",49,45876,6,1,0.67,0.69,32,0,0,0
"50",50,45876,6,2,0.52,0.52,56,0,0.27,0.01
"51",51,45876,6,3,NA,NA,NA,NA,NA,NA
"52",52,45876,6,4,NA,NA,NA,NA,NA,NA
"53",53,45876,6,5,NA,NA,NA,NA,NA,NA
"54",54,45876,6,6,NA,NA,NA,NA,NA,NA
"55",55,45876,6,7,NA,NA,NA,NA,NA,NA
"56",56,45876,6,8,0.63,0.66,59,0,0,0.01
"57",57,45876,6,9,0.6,0.72,58,0,0,0
"58",58,45876,7,1,0.76,0.59,71,0,0,0
"59",59,45876,7,2,0.7,0.77,69,0,0.01,0
"60",60,45876,7,3,0.63,0.67,63,0,0,0
"61",61,45876,7,4,NA,NA,NA,NA,NA,NA
"62",62,45876,7,5,0.66,0.72,69,0,0,0
"63",63,45876,7,6,0.69,0.72,63,0,0,0
"64",64,45876,7,7,0.67,0.7,68,0,0,0
"65",65,45876,7,8,0.62,0.63,65,0,0,0
"66",66,45876,7,9,0.66,0.71,69,0,0,0.01
"67",67,45876,7,10,NA,NA,NA,NA,NA,NA
"68",68,45876,8,1,0.62,0.69,36,0,0,0
"69",69,45876,8,2,0.29,0.71,27,0,0,0.01
"70",70,45876,8,3,NA,NA,NA,NA,NA,NA
"71",71,45876,8,4,0.39,0.49,40,0.11,0,0.22
"72",72,45876,8,5,0.64,0.68,68,0,0,0
"73",73,45876,8,6,NA,NA,NA,NA,NA,NA
"74",74,45876,8,7,NA,NA,NA,NA,NA,NA
"75",75,45876,8,8,0.6,0.74,63,0,0,0.01
"76",76,45876,8,9,0.68,0.8,74,0,0,0
"77",77,45876,8,10,0.69,0.79,73,0,0,0
"78",78,45876,9,1,NA,NA,NA,NA,NA,NA
"79",79,45876,9,2,0.66,0.31,40,0.05,0.02,0.02
"80",80,45876,9,3,NA,NA,NA,NA,NA,NA
"81",81,45876,9,4,0.61,0.67,66,0,0,0
"82",82,45876,9,5,NA,NA,NA,NA,NA,NA
"83",83,45876,9,6,0.7,0.5,35,0,0,0
"84",84,45876,9,7,0.59,0.78,41,0,0,0
"85",85,45876,9,8,0.7,0.66,60,0.01,0.03,0
"86",86,45876,9,9,NA,NA,NA,NA,NA,NA
"87",87,45876,10,1,0.42,0.66,42,0,0.22,0
"88",88,45876,10,2,0.59,0.4,30,0,0.18,0
"89",89,45876,10,3,0.35,0.35,26,0,0.71,0
"90",90,45876,10,4,0.59,0.41,45,0,0.14,0
"91",91,45876,10,5,0.61,0.25,38,0,0.27,0.01
"92",92,45876,10,6,0.54,0.41,40,0,0.3,0
"93",93,45876,10,7,NA,NA,NA,NA,NA,NA
"94",94,45876,10,8,NA,NA,NA,NA,NA,NA
"95",95,45876,10,9,0,0.71,43,0,0.22,0
"96",96,45876,10,10,0.61,0.67,55,0.03,0,0
