"","X","ID","day","beep","obsNumber","missed","Discontent","Calm","Energetic","Wellbeing","Tense","Happy"
"1",1.39,1,1,1,1,0,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,1
"2",1.38,1,1,2,2,0,0.833333333333333,0.333333333333333,0.666666666666667,0.833333333333333,0.5,0.666666666666667
"3",1.37,1,1,3,3,0,0.666666666666667,0.833333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667
"4",1.36,1,1,4,4,1,NA,NA,NA,NA,NA,NA
"5",1.35,1,1,5,5,1,NA,NA,NA,NA,NA,NA
"6",1.34,1,1,6,6,0,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667
"7",1.33,1,1,7,7,1,NA,NA,NA,NA,NA,NA
"8",1.32,1,1,8,8,1,NA,NA,NA,NA,NA,NA
"9",1.31,1,2,1,9,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"10",1.3,1,2,2,10,0,0.833333333333333,0.333333333333333,0.666666666666667,0.833333333333333,0.333333333333333,0.666666666666667
"11",1.29,1,2,3,11,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333
"12",1.28,1,2,4,12,1,NA,NA,NA,NA,NA,NA
"13",1.27,1,2,5,13,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"14",1.26,1,2,6,14,0,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667
"15",1.25,1,2,7,15,0,0.833333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667
"16",1.24,1,3,1,16,1,NA,NA,NA,NA,NA,NA
"17",1.23,1,3,2,17,0,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667
"18",1.22,1,3,3,18,1,NA,NA,NA,NA,NA,NA
"19",1.21,1,3,4,19,0,0.833333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667
"20",1.2,1,3,5,20,1,NA,NA,NA,NA,NA,NA
"21",1.19,1,3,6,21,1,NA,NA,NA,NA,NA,NA
"22",1.18,1,3,7,22,0,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667
"23",1.17,1,3,8,23,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"24",1.16,1,4,1,24,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667
"25",1.15,1,4,2,25,0,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333
"26",1.14,1,4,3,26,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333
"27",1.13,1,4,4,27,0,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667
"28",1.12,1,4,5,28,0,0.833333333333333,0.666666666666667,1,0.666666666666667,0.833333333333333,0.833333333333333
"29",1.11,1,4,6,29,1,NA,NA,NA,NA,NA,NA
"30",1.1,1,4,7,30,0,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667
"31",1.9,1,4,8,31,1,NA,NA,NA,NA,NA,NA
