"","X","ID","day","beep","obsNumber","missed","Sad","Angry","Disappointed","Ashamed","Anxious","Stressed","Proud","Happy","Content","Relieved"
"1",1,100,1,1,1,1,0.2,0.5,0.64,0.04,0.69,0.71,0,0.08,0.07,0
"2",2,100,1,2,2,1,0.13,0.58,0.72,0.04,0.29,0.75,0,0.01,0.01,0
"3",3,100,1,3,3,1,0,0,0.67,0,0.27,0.38,0,0,0.1,0
"4",4,100,1,4,4,1,0.11,0.28,0.67,0,0.12,0.68,0,0,0,0
"5",5,100,1,5,5,1,0.05,0.04,0.25,0,0.2,0.52,0,0,0,0
"6",6,100,1,6,6,1,0,0,0.31,0,0.17,0.35,0,0,0.02,0
"7",7,100,1,7,7,1,0,0,0.34,0,0.12,0.11,0,0,0.02,0
"8",8,100,1,8,8,1,0,0,0.32,0,0.13,0.19,0,0,0,0
"9",9,100,1,9,9,1,0,0,0.26,0,0.1,0.11,0,0,0,0
"10",10,100,1,10,10,1,0.02,0,0.28,0,0.05,0.1,0,0,0,0
"11",11,100,2,1,11,1,0,0,0.61,0,0.56,0.53,0,0,0,0
"12",12,100,2,2,12,1,0.05,0.1,0.32,0,0.28,0.31,0,0,0,0
"13",13,100,2,3,13,1,0,0,0.65,0,0.4,0.37,0,0,0,0
"14",14,100,2,4,14,1,0,0,0.34,0,0.17,0.14,0,0,0,0
"15",15,100,2,5,15,1,0,0,0.39,0,0.11,0.2,0,0,0,0
"16",16,100,2,6,16,1,0,0,0.32,0,0.19,0.28,0,0,0,0
"17",17,100,2,7,17,1,0,0,0.63,0,0.17,0.5,0,0,0,0
"18",18,100,2,8,18,1,0,0,0.25,0,0.57,0.54,0,0,0,0
"19",19,100,2,9,19,1,0,0,0.37,0,0.37,0.58,0,0,0,0
"20",20,100,2,10,20,1,0,0,0.43,0,0.06,0.09,0,0,0,0
"21",21,100,3,1,21,1,0.09,0.09,0.13,0.13,0.77,0.94,0.2,0.53,0.45,0.12
"22",22,100,3,2,22,1,0.24,0,0.38,0,0.95,0.78,0,0,0,0
"23",23,100,3,3,23,1,0,0,0.26,0,0.94,0.88,0,0,0,0
"24",24,100,3,4,24,1,0,0,0,0,0,0,0.29,0.68,0.78,0.89
"25",25,100,3,5,25,1,0,0,0,0,0.16,0,0.26,0.61,0.8,0.85
"26",26,100,3,6,26,1,0.12,0,0.03,0,0.12,0.05,0.43,0.54,0.86,0.87
"27",27,100,3,7,27,1,0,0,0.03,0,0.09,0,0.46,0.8,0.86,0.91
"28",28,100,3,8,28,1,0.21,0.13,0.12,0.02,0.16,0.12,0.81,0.8,0.77,0.85
"29",29,100,3,9,29,1,0,0,0.11,0,0.06,0.11,0.41,0.79,0.92,0.81
"30",30,100,3,10,30,1,0,0,0,0,0.11,0.03,0.36,0.83,0.89,0.88
"31",31,100,4,1,31,1,0.11,0,0.12,0,0.03,0.12,0.42,0.78,0.78,0.88
"32",32,100,4,2,32,1,0,0,0.06,0,0.09,0.06,0.43,0.79,0.87,0.93
"33",33,100,4,3,33,1,0,0,0,0,0.08,0.07,0.4,0.87,0.89,0.88
"34",34,100,4,4,34,1,0,0,0,0,0.09,0.08,0.52,0.87,0.9,0.88
"35",35,100,4,5,35,1,0,0,0.09,0,0.05,0.05,0.49,0.82,0.85,0.92
"36",36,100,4,6,36,1,0,0,0,0,0.12,0.07,0.47,0.84,0.86,0.89
"37",37,100,4,7,37,1,0,0,0,0,0.08,0.09,0.45,0.88,0.89,0.87
"38",38,100,4,8,38,1,0,0,0.07,0,0.1,0.05,0.43,0.89,0.9,0.89
"39",39,100,4,9,39,1,0,0,0,0,0.1,0.1,0.42,0.87,0.85,0.89
"40",40,100,4,10,40,1,0,0,0.01,0,0.09,0.05,0.41,0.8,0.89,0.87
"41",41,100,5,1,41,1,0,0,0,0,0.1,0.08,0.44,0.87,0.87,0.92
"42",42,100,5,2,42,1,0,0,0,0,0.07,0.09,0.51,0.8,0.87,0.87
"43",43,100,5,3,43,1,0,0,0,0,0.08,0.06,0.46,0.88,0.89,0.87
"44",44,100,5,4,44,1,0,0,0,0,0.1,0.07,0.5,0.8,0.86,0.87
"45",45,100,5,5,45,1,0,0,0,0,0.1,0.1,0.52,0.79,0.85,0.93
"46",46,100,5,6,46,1,0,0,0,0,0.08,0.08,0.51,0.86,0.87,0.87
"47",47,100,5,7,47,1,0,0,0.11,0,0.06,0.07,0.43,0.83,0.87,0.88
"48",48,100,5,8,48,1,0,0,0,0,0.04,0.04,0.47,0.84,0.9,0.91
"49",49,100,5,9,49,1,0,0,0.05,0,0.06,0.07,0.49,0.85,0.91,0.88
"50",50,100,5,10,50,1,0,0,0.03,0,0.09,0.08,0.5,0.88,0.9,0.89
"51",51,100,6,1,51,1,0,0,0,0,0.08,0.13,0.46,0.8,0.91,0.9
"52",52,100,6,2,52,1,0,0,0,0,0.06,0.08,0.45,0.85,0.81,0.88
"53",53,100,6,3,53,1,0,0,0,0,0.12,0.11,0.51,0.87,0.86,0.89
"54",54,100,6,4,54,1,0,0,0,0,0.09,0.1,0.48,0.87,0.9,0.88
"55",55,100,6,5,55,1,0,0,0.01,0,0.09,0.06,0.47,0.94,0.95,0.91
"56",56,100,6,6,56,1,0,0,0.07,0,0.08,0.1,0.45,0.9,0.87,0.86
"57",57,100,6,7,57,1,0,0,0,0,0.1,0.06,0.53,0.88,0.87,0.91
"58",58,100,6,8,58,1,0,0,0,0,0.06,0.11,0.49,0.86,0.89,0.86
"59",59,100,6,9,59,1,0,0,0.09,0,0.04,0.08,0.55,0.9,0.9,0.92
"60",60,100,6,10,60,1,0,0,0.1,0,0.11,0.09,0.47,0.86,0.87,0.82
"61",61,100,7,1,61,1,0,0,0,0,0.08,0.12,0.44,0.81,0.88,0.89
"62",62,100,7,2,62,1,0,0,0.01,0,0.1,0.1,0.44,0.86,0.89,0.87
"63",63,100,7,3,63,1,0,0,0,0,0.08,0.08,0.53,0.88,0.86,0.87
"64",64,100,7,4,64,1,0.01,0,0.06,0,0.11,0.08,0.47,0.83,0.85,0.83
"65",65,100,7,5,65,1,0,0,0.1,0,0.14,0.08,0.46,0.86,0.91,0.84
"66",66,100,7,6,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,100,7,7,67,1,0,0,0.1,0,0.09,0.1,0.49,0.88,0.88,0.92
"68",68,100,7,8,68,1,0,0,0.1,0,0.11,0.13,0.52,0.84,0.87,0.88
"69",69,100,7,9,69,1,0,0,0.06,0,0.13,0.11,0.44,0.87,0.8,0.84
"70",70,100,7,10,70,1,0,0,0.01,0,0.08,0.07,0.49,0.8,0.85,0.88
"71",71,100,8,1,71,1,0,0,0.11,0,0.13,0.12,0.45,0.85,0.87,0.88
"72",72,100,8,2,72,1,0,0,0.12,0,0.14,0.09,0.51,0.86,0.87,0.88
"73",73,100,8,3,73,1,0,0,0.06,0,0.14,0.06,0.48,0.85,0.87,0.87
"74",74,100,8,4,74,1,0,0,0.12,0,0.14,0.16,0.47,0.89,0.85,0.89
"75",75,100,8,5,75,1,0,0,0.1,0,0.11,0.1,0.45,0.81,0.86,0.91
"76",76,100,8,6,76,1,0.07,0,0.04,0,0.1,0.12,0.45,0.85,0.84,0.9
"77",77,100,8,7,77,1,0,0,0.06,0,0.06,0.07,0.52,0.93,0.86,0.9
"78",78,100,8,8,78,1,0,0,0,0,0.12,0.1,0.53,0.89,0.85,0.87
"79",79,100,8,9,79,1,0,0,0,0,0.13,0.1,0.4,0.82,0.83,0.88
"80",80,100,8,10,80,1,0.05,0,0.05,0,0.09,0.11,0.45,0.83,0.86,0.82
"81",81,100,9,1,81,1,0,0,0.09,0,0.18,0.08,0.47,0.92,0.86,0.87
"82",82,100,9,2,82,1,0,0,0.06,0,0.09,0.08,0.51,0.84,0.88,0.85
"83",83,100,9,3,83,1,0,0,0.06,0,0.1,0.08,0.47,0.87,0.83,0.87
"84",84,100,9,4,84,1,0,0,0.03,0,0.07,0.08,0.45,0.9,0.83,0.85
"85",85,100,9,5,85,1,0,0,0.12,0,0.16,0.08,0.44,0.9,0.86,0.87
"86",86,100,9,6,86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,100,9,7,87,1,0,0,0.09,0,0.12,0.11,0.5,0.88,0.9,0.93
"88",88,100,9,8,88,1,0,0.18,0.04,0,0.55,0.31,0.47,0.73,0.81,0.81
"89",89,100,9,9,89,1,0,0,0,0,0.19,0.11,0.47,0.87,0.89,0.81
"90",90,100,9,10,90,1,0,0,0.11,0,0.34,0.28,0.41,0.82,0.83,0.89
"91",91,101,1,1,1,1,0.6,0.06,0.52,0.71,0.71,0.84,0.52,0.36,0.51,0.44
"92",92,101,1,2,2,1,0.48,0.04,0.62,0.65,0.67,0.8,0.51,0.47,0.51,0.5
"93",93,101,1,3,3,1,0.43,0.12,0.61,0.6,0.5,0.88,0.44,0.56,0.52,0.48
"94",94,101,1,4,4,1,0.5,0.14,0.5,0.52,0.69,0.7,0.52,0.4,0.49,0.52
"95",95,101,1,5,5,1,0.53,0.07,0.66,0.65,0.55,0.82,0.65,0.51,0.53,0.49
"96",96,101,1,6,6,1,0.56,0.12,0.62,0.68,0.57,0.62,0.52,0.49,0.5,0.51
"97",97,101,1,7,7,1,0.39,0.06,0.61,0.49,0.52,0.52,0.48,0.49,0.48,0.47
"98",98,101,1,8,8,1,0.32,0.07,0.48,0.5,0.5,0.51,0.47,0.45,0.49,0.39
"99",99,101,1,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,101,1,10,10,1,0.34,0.11,0.46,0.66,0.67,0.53,0.42,0.43,0.49,0.49
"101",101,101,2,1,11,1,0.38,0.04,0.49,0.46,0.44,0.59,0.38,0.47,0.42,0.3
"102",102,101,2,2,12,1,0.5,0.11,0.5,0.53,0.56,0.7,0.28,0.41,0.48,0.38
"103",103,101,2,3,13,1,0.53,0.1,0.52,0.47,0.48,0.58,0.42,0.52,0.47,0.37
"104",104,101,2,4,14,1,0.33,0.07,0.46,0.5,0.41,0.53,0.25,0.51,0.4,0.39
"105",105,101,2,5,15,1,0.38,0.2,0.33,0.56,0.48,0.63,0.45,0.48,0.47,0.42
"106",106,101,2,6,16,1,0.6,0.12,0.57,0.59,0.6,0.67,0.49,0.49,0.5,0.45
"107",107,101,2,7,17,1,0.47,0.1,0.54,0.65,0.65,0.54,0.5,0.4,0.4,0.45
"108",108,101,2,8,18,1,0.41,0.04,0.55,0.58,0.62,0.63,0.39,0.52,0.48,0.34
