"","X","ID","day","beep","observationID","missing","Sad","Lonely","Jittery","Nervous","Angry","Hostile","Happy","Excited"
"1",1,101,1,1,1,0,0.25,0,0.5,0.5,0.5,0.25,0.75,0.5
"2",2,101,1,2,2,0,0,0,0.25,0.25,0.25,0,0.75,0.5
"3",3,101,1,3,3,0,0.25,0,0.25,0.25,0.25,0.25,0.5,0.25
"4",4,101,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,101,2,2,5,0,0,0,0.75,0.75,0.25,0.5,0.5,0.5
"6",6,101,2,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,101,3,1,7,0,0,0,0.25,0.25,0,0,0.75,0.25
"8",8,101,3,2,8,0,0,0,0.5,0,0,0,0.5,1
"9",9,101,3,3,9,1,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,101,4,1,10,0,0,0,0.5,0.75,0.25,0.25,0.5,0.5
"11",11,101,4,2,11,0,0.75,0.25,0.25,1,0.75,0,0.25,0
"12",12,101,4,3,12,0,0.25,0,0.75,0.5,0.25,0,0.25,0.5
"13",13,101,5,1,13,0,0,0.25,0.25,0.5,0,0,0.5,0.25
"14",14,101,5,2,14,0,0,0,0.75,0.5,0,0,0.5,0.5
"15",15,101,5,3,15,0,0.25,0.5,0.25,0.5,0.25,0,0.5,0
"16",16,101,6,1,16,0,0,0.25,0.5,0,0,0,0.25,0.25
"17",17,101,6,2,17,0,0,0,0.75,0.25,0,0,0.25,0
"18",18,101,6,3,18,0,0.25,0.25,0.75,0,0,0,0.25,0.25
"19",19,102,1,1,1,0,0,0,0.25,0.5,0,0,0,0
"20",20,102,1,2,2,0,0,0.25,0.75,0.5,0,0,0,0
"21",21,102,1,3,3,0,0,0.25,0.25,0,0,0,0,0
"22",22,102,2,1,4,0,0,0.25,0,0.25,0,0,0,0
"23",23,102,2,2,5,0,0,0.5,0,0,0,0,0,0
"24",24,102,2,3,6,0,0.25,0.5,0.5,0.5,0,0,0,0
"25",25,102,3,1,7,0,0,0.25,0,0,0,0,0.25,0
"26",26,102,3,2,8,0,0.25,0,0,0.5,0,0,0,0
"27",27,102,3,3,9,0,0.25,0,0,0.5,0,0.5,0,0
"28",28,102,4,1,10,0,0.25,0.25,0,0,0,0.5,0,0
"29",29,102,4,2,11,0,0,0,0,0.25,0,0.25,0,0
"30",30,102,4,3,12,0,0.25,0,0,0.25,0,0.5,0,0
"31",31,102,5,1,13,0,0.25,0.25,0,0.5,0,0.75,0,0
"32",32,102,5,2,14,0,0.25,0,0.5,0.75,0,0.25,0,0
"33",33,102,5,3,15,0,0.75,0,0.5,0,0.25,0.5,0,0
"34",34,102,6,1,16,0,0.5,0,0.25,0.25,0,0.25,0,0
"35",35,102,6,2,17,0,0.5,0.25,0,0.25,0,0.5,0,0
"36",36,102,6,3,18,0,0,0,0,0.5,0,0,0.5,0
"37",37,103,1,1,1,0,0,0.25,0,0.25,0,0,0.5,0
"38",38,103,1,2,2,0,0,0,0.25,0.5,0.5,0.5,0.5,0.25
"39",39,103,1,3,3,0,0.25,0,0,0.5,0,0,0.75,0.5
"40",40,103,2,1,4,0,0,0,0,0.25,0,0,0.5,0.5
"41",41,103,2,2,5,0,0,0.5,0,0.75,0,0,0.5,0.5
"42",42,103,2,3,6,0,0,0,0,0.25,0.5,0.5,0.5,0.5
"43",43,103,3,1,7,0,1,0,0,0.5,0,0,0,0.25
"44",44,103,3,2,8,0,0.5,0.25,0.25,0.75,0,0,0.25,0.5
"45",45,103,3,3,9,0,0.25,0.25,0,0,0.25,0,0.75,0.75
"46",46,103,4,1,10,0,0.25,0,0,0,0,0,0.75,0.5
"47",47,103,4,2,11,0,0,0,0.5,0,0,0.25,0.5,0.25
"48",48,103,4,3,12,0,0.5,0,0,0,0.25,0,0.25,0
"49",49,103,5,1,13,0,0,0,0,0.75,0,0,0,0
"50",50,103,5,2,14,0,0.5,0,0.5,0.5,0.5,0.5,0,0
"51",51,103,5,3,15,0,0.25,0,0,0.25,0,0,0.25,0.25
"52",52,103,6,1,16,0,0,0.25,0,0.5,0,0,0.5,0.25
"53",53,103,6,2,17,0,0.25,0.5,0.25,0.5,0,0,0.75,0.5
"54",54,103,6,3,18,0,0.25,0,0,0,0,0,0.25,0
"55",55,104,1,1,1,0,0.25,0.25,0.25,0,0.5,0,0.5,0.25
"56",56,104,1,2,2,0,0,0.25,0.5,0.25,0,0,0.5,0.25
"57",57,104,1,3,3,0,0.25,0.75,0,0.5,0,0,0.25,0.25
"58",58,104,2,1,4,0,0,0.25,0,0,0,0,0.75,0.25
"59",59,104,2,2,5,0,0,0,0,0,0,0,0.5,0.5
"60",60,104,2,3,6,0,0.25,0.5,0,0,0,0,0.5,0.25
"61",61,104,3,1,7,0,0,0.25,0,0,0,0,0.5,0.25
