"","X","ID","day","beep","observationID","Proud","Success","Superior","Angry","Excluded","Envious","Resentful","Ashamed","Insecure","Enthusiastic","Relaxed","Anxious","Sad","Lonely"
"1",1,1,1,1,1,0.2,0.4,0,0,0,0,0,0,0,0,0.8,0,0,0
"2",2,1,1,2,2,0.6,0.4,0,0.2,0,0.2,0,0,0.2,0.4,0.4,0,0.2,0
"3",3,1,1,3,3,0,0.2,0,0,0,0,0,0.2,0,0,0.6,0,0.2,0
"4",4,1,1,4,4,0.6,0.6,0.2,0,0,0.2,0,0,0,0.6,0.4,0,0,0
"5",5,1,2,1,5,0.2,0.2,0.2,0,0,0,0,0.2,0.2,0.2,1,0,0,0.2
"6",6,1,2,2,6,0.2,0.4,0,0,0,0,0,0,0.2,0.2,0.4,0.2,0,0
"7",7,1,2,3,7,0,0.2,0,0.4,0,0,0,0,0.4,0,0.6,0,0.2,0.2
"8",8,1,2,4,8,0.2,0.8,0,0,0,0,0,0.4,0.4,0.8,0.6,0.4,0,0
"9",9,1,2,5,9,0.6,0.6,0.6,0.4,0.4,0.2,0,0.2,0.2,0.6,0.4,0,0.2,0.4
"10",10,1,3,1,10,0.2,0.2,0,0.2,0.2,0.2,0,0.4,0.4,0.2,0.6,0,0.2,0.2
"11",11,1,3,2,11,0.4,0.2,0.2,0,0,0,0,0,0,0.8,0.8,0,0.2,0
"12",12,1,4,1,12,0.4,0.4,0,0.2,0,0,0,0.2,0.2,0.4,0.8,0,0.2,0
"13",13,1,4,2,13,0.8,0.8,0.4,0.2,0,0,0,0.2,0,0.8,0.8,0,0,0
"14",14,1,4,3,14,0.2,0.6,0,0,0,0,0,0.6,0.4,0.8,0.6,0,0,0
"15",15,1,4,4,15,0.2,0.4,0.4,0,0,0,0,0,0,0.6,1,0,0,0
"16",16,1,5,1,16,0.4,0.2,0,0.2,0,0.2,0,0.6,0.2,0,0.8,0,0.2,0
"17",17,1,5,2,17,0.2,0.6,0.4,0.4,0,0,0,0.4,0.4,0.4,0.6,0,0.2,0.2
"18",18,1,5,3,18,0.2,0.4,0,0,0,0,0,0,0.4,0.2,1,0,0,0
"19",19,1,5,4,19,0,0,0,0.2,0,0,0,0,0,0.2,0.8,0,0,0.2
"20",20,1,6,1,20,0.2,0.4,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"21",21,1,6,2,21,0.2,0.4,0,0.2,0,0,0,0,0.2,0.2,1,0,0,0
"22",22,1,6,3,22,0,0,0,0,0,0.6,0,0,0.2,0.6,0.8,0,0,0.2
"23",23,1,6,4,23,0.6,0.6,0.6,0.4,0,0,0.2,0.2,0.2,0.8,0.4,0,0,0
"24",24,1,6,5,24,0,0.4,0.2,0.2,0.2,0,0,0.4,0.2,0.2,0.6,0.2,0.2,0.6
"25",25,1,7,1,25,0,0.2,0,0,0,0,0,0.4,0.4,0.2,0.8,0,0,0
"26",26,1,7,2,26,0.6,0.6,0.2,0.2,0,0,0,0,0.2,0.2,0.6,0,0,0
"27",27,1,7,3,27,0.2,0.2,0,0,0.2,0.2,0,0,0.2,0.4,0.4,0,0,0.2
"28",28,1,8,1,28,0.8,0.8,0.2,0.2,0,0,0,0,0.2,1,0.4,0,0,0
"29",29,1,8,2,29,1,1,0.4,0,0,0.2,0,0,0,0.8,0.4,0,0,0
"30",30,1,8,3,30,0.4,0.4,0.2,0,0,0,0,0,0,0.6,0.6,0,0,0
