"","X","ID","day","beep","observationID","Proud","Success","Superior","Angry","Envious","Resentful","Ashamed","Insecure","Enthusiastic","Relaxed","Anxious","Sad"
"1",1,1,1,1,1,0.8,0.8,0.4,0.2,0,0,0,0,0.6,0.8,0,0
"2",2,1,1,2,2,0,0,0,0,0.4,0,0,0,0.8,0.8,0,0.2
"3",3,1,1,3,3,0,0.6,0,0,0,0,0,0.6,0.2,0.2,0,0
"4",4,1,1,4,4,0,0.6,0,0,0,0,0,0.2,0.2,0.8,0,0
"5",5,1,1,5,5,0.8,1,0,0,0,0,0,0,1,1,0,0
"6",6,1,2,1,6,0,1,0,0,0,0,0,0,0.6,1,0,0
"7",7,1,2,2,7,0.8,0.8,0,0,0,0,0,0,0.6,0.8,0,0
"8",8,1,2,3,8,0.6,0.6,0,0,0,0,0,0,0.6,1,0,0
"9",9,1,2,4,9,0.6,0.8,0.2,0,0.4,0,0,0.2,0.8,0.8,0,0.2
"10",10,1,2,5,10,0,0.6,0,0,0,0,0,0,0.4,0.8,0,0
"11",11,1,2,6,11,0.4,0.8,0,0,0,0,0,0,0.6,1,0,0
"12",12,1,3,1,12,0.4,0.6,0,0,0,0,0,0.2,0.4,0.8,0,0
"13",13,1,3,2,13,0,0.4,0,0,0,0,0,0,0.6,1,0,0
"14",14,1,3,3,14,0.4,0.6,0,0,0.2,0,0,0,0.8,1,0,0
"15",15,1,3,4,15,0.6,0.6,0,0,0,0,0,0,0.6,1,0,0
"16",16,1,3,5,16,0,0.2,0,0,0,0,0,0,0.4,1,0,0
"17",17,1,3,6,17,0.4,0.6,0,0,0,0,0,0,0,0.8,0,0
"18",18,1,4,1,18,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"19",19,1,4,2,19,0.8,0.8,0,0,0,0,0,0,0.8,0.8,0,0
"20",20,1,4,3,20,0.6,0.6,0,0,0,0,0,0,0.6,1,0,0
"21",21,1,4,4,21,0.6,0.6,0.4,0.2,0,0,0,0.2,0.8,1,0,0.2
"22",22,1,4,5,22,0.4,0.4,0,0,0,0,0,0,0.6,1,0,0
"23",23,1,4,6,23,0.6,0.6,0,0,0,0,0,0,0.6,1,0,0
"24",24,1,5,1,24,0,0,0,0,0,0,0,0.6,0.2,0.4,0,0.2
"25",25,1,5,2,25,0.8,0.8,0,0,0,0,0,0.2,0.8,1,0,0
"26",26,1,5,3,26,0,0,0,0,0,0,0,0,0,0.8,0,0
"27",27,1,5,4,27,0,0,0,0,0,0,0,0.4,0.4,1,0,0
"28",28,1,5,5,28,0.6,0.8,0,0,0,0,0,0.2,0.6,0.8,0,0
"29",29,1,5,6,29,0.6,0.6,0,0,0,0,0,0,0.8,0.8,0,0
"30",30,1,6,1,30,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"31",31,1,6,2,31,0.6,0.6,0,0.4,0,0,0,0.2,0.4,0.8,0,0
"32",32,1,6,3,32,0.4,0.4,0,0.8,0,0,0,0.4,0,0.2,0,0
"33",33,1,6,4,33,0,0.2,0,0,0,0,0,0.8,0.6,0.8,0,0
"34",34,1,6,5,34,0.6,0.6,0,0,0,0,0,0,0.8,0.8,0,0
"35",35,1,6,6,35,0.8,0.8,0.2,0,0,0,0,0,0.6,1,0,0
"36",36,1,7,1,36,0,0,0,0,0,0,0,0,0.4,0.8,0,0
"37",37,1,7,2,37,0.6,0.6,0,0,0,0,0,0,0.4,0.8,0,0
"38",38,1,7,3,38,0.6,0.6,0,0,0,0,0,0.4,0.4,0.8,0,0
"39",39,1,7,4,39,0.6,0.6,0.4,0,0,0,0,0,0.8,1,0,0
"40",40,1,7,5,40,0.6,0.6,0,0,0,0,0,0.2,0.2,0.8,0,0
"41",41,1,7,6,41,0.6,0.6,0,0,0,0,0,0,0.2,0.8,0,0
"42",42,1,8,1,42,0.6,0.4,0,0.4,0.4,0,0,0,0.6,1,0,0
"43",43,1,8,2,43,0.6,0.6,0,0,0,0,0,0,0.4,0.8,0,0
"44",44,1,8,3,44,0.6,0.6,0,0,0,0,0,0.4,0.4,0.6,0,0
"45",45,1,8,4,45,0.8,0.8,0,0,0,0,0,0,0.6,0.8,0,0
"46",46,1,8,5,46,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"47",47,1,8,6,47,0.8,0.8,0,0,0,0,0,0,0.8,0.8,0,0
"48",48,1,9,1,48,0.6,0.6,0,0,0,0,0,0,0.6,1,0,0
