"","X","ID","day","beep","observationID","missing","Lively","FullOfEnergy","Energetic","Happy","Pleased","Helpful","AtEase","Calm","Relaxed","Sad","Depressed","Unhappy","OnEdge","Nervous","Tense","Hostile","Resentful","Angry"
"1",1,1,1,1,1,0,0,1,1,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0,1,1,0,0.666666666666667,0
"2",2,1,1,2,2,0,0.333333333333333,1,1,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,1,0,0,0,0
"3",3,1,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,1,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,1,2,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,1,2,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,1,2,3,7,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0
"8",8,1,2,4,8,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,1,1
"9",9,1,3,1,9,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0
"10",10,1,3,2,10,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,1,0.666666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0
"11",11,1,3,3,11,0,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0
"12",12,1,3,4,12,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0
"13",13,1,4,1,13,0,0,0,0,0.666666666666667,0.333333333333333,0,0.666666666666667,1,0.333333333333333,0,0,0,0,0,0,0,0,0
"14",14,1,4,2,14,0,0,0,0,0.333333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0
"15",15,1,4,3,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,1,4,4,16,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0
"17",17,1,5,1,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
