"","X","ID","day","beep","observationID","missing","Happy","Excited","Relaxed","Satisfied","Angry","Anxious","Depressed","Sad"
"1",1,1,1,1,1,0,0.79,0.64,0.3,0.74,0.19,0.07,0.08,0.58
"2",2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,1,1,3,3,0,0.2,0.24,0.37,0.36,0.62,0.41,0.73,0.67
"4",4,1,1,4,4,0,0.25,0.24,0.33,0.29,0.42,0.68,0.77,0.81
"5",5,1,1,5,5,0,0.37,0.24,0.4,0.17,0.35,0.36,0.12,0.76
"6",6,1,1,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,1,2,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,1,2,2,8,0,0.64,0.39,0.36,0.41,0.36,0.28,0.35,0.59
"9",9,1,2,3,9,0,0.62,0.7,0.23,0.64,0.61,0.2,0.31,0.16
"10",10,1,2,4,10,0,0.77,0.71,0.2,0.62,0.31,0.17,0.23,0.56
"11",11,1,2,5,11,0,0.66,0.7,0.33,0.69,0.34,0.33,0.61,0.33
"12",12,1,2,6,12,1,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,1,3,1,13,0,0.78,0.71,0.72,0.62,0.61,0.09,0.14,0.26
"14",14,1,3,2,14,0,0.76,0.64,0.69,0.7,0.59,0.25,0.26,0.22
"15",15,1,3,3,15,0,0.64,0.33,0.34,0.36,0.4,0.57,0.33,0.64
"16",16,1,3,4,16,0,0.73,0.58,0.6,0.69,0.32,0.22,0.23,0.27
"17",17,1,3,5,17,0,0.76,0.7,0.78,0.83,0.19,0.18,0.24,0.22
"18",18,1,3,6,18,0,0.19,0.2,0.22,0.27,0.69,0.61,0.81,0.86
"19",19,1,4,1,19,0,0.68,0.64,0.33,0.66,0.31,0.22,0.16,0.79
"20",20,1,4,2,20,0,0.64,0.37,0.63,0.7,0.21,0.27,0.22,0.31
"21",21,1,4,3,21,0,0.81,0.73,0.65,0.93,0.15,0.12,0.1,0.65
"22",22,1,4,4,22,0,0.79,0.72,1,0.95,0.19,0.14,0.16,0.05
"23",23,1,4,5,23,0,1,0.77,0.71,0.83,0.21,0.22,0.18,0.23
"24",24,1,4,6,24,0,0.83,0.8,0.84,0.99,0.67,0.16,0.18,0.2
"25",25,1,5,1,25,0,0.36,0.36,0.68,0.35,0.57,0,0.61,0.6
"26",26,1,5,2,26,0,0.98,0.81,0.83,0.93,0.09,0.08,0.12,0.06
"27",27,1,5,3,27,0,0.86,0.73,0.71,0.78,0.28,0.2,0.19,0.82
"28",28,1,5,4,28,0,0.98,0.69,0.8,0.94,0.18,0.15,0.09,0.66
"29",29,1,5,5,29,0,0.67,0.07,0.19,0.62,0.28,0.27,0.27,0.26
"30",30,1,5,6,30,0,0.5,0.58,0.58,0.31,0.14,0.21,0.72,0.73
"31",31,1,6,1,31,0,0.22,0.31,0.33,0.42,0.86,0.24,0.88,0.27
"32",32,1,6,2,32,0,0.85,0.81,0.61,0.66,0.08,0.23,0.18,0.27
"33",33,1,6,3,33,0,0.78,0.62,0.78,0.73,0.72,0.17,0.23,0.31
"34",34,1,6,4,34,0,0.84,0.77,0.85,0.81,0.27,0.66,0.23,0.73
"35",35,1,6,5,35,1,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,1,6,6,36,0,0.86,0.79,0.95,1,0.22,0.3,0.15,0.24
"37",37,1,7,1,37,0,0.97,0.72,0.7,0.96,0.15,0.12,0.07,0.23
"38",38,1,7,2,38,1,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,1,7,3,39,0,0.81,0.27,0.76,0.83,0.25,0.17,0,0.21
"40",40,1,7,4,40,1,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,1,7,5,41,0,0.93,0.77,0.87,0.79,0.18,0.16,0.17,0.18
"42",42,1,7,6,42,0,0.7,0.87,0.64,0.9,0.28,0.74,0.1,0.22
