"","X","ID","day","beep","observationID","missing","Joy","Exciteme","Pride","Pleased","Anger","Anxiety","Shame","Sad"
"1",1,1,1,1,1,0,1,1,0.75,1,0,0.25,0,0
"2",2,1,1,2,2,0,0.75,0.75,0.5,1,0,0,0,0
"3",3,1,1,3,3,0,0.75,0.75,0.5,1,0,0,0,0
"4",4,1,1,4,4,0,0.75,0.75,0.25,1,0,0,0,0
"5",5,1,1,5,5,0,0.75,0.5,0.75,1,0,0,0,0
"6",6,1,1,6,6,0,1,0.75,0.5,1,0,0.25,0.25,0
"7",7,1,1,7,7,0,0.5,0.5,0.25,0.75,0,0.25,0,0
"8",8,1,2,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,1,2,2,9,1,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,1,2,3,10,0,0.5,0.5,0.5,0.75,0,0.25,0,0
"11",11,1,2,4,11,0,0.25,0,0.25,0.25,0.25,0.25,0,0
"12",12,1,2,5,12,0,0.25,0.25,0.5,0.5,0,0.25,0,0
"13",13,1,2,6,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,1,2,7,14,0,0.5,0.5,0.5,0.5,0,0.5,0,0
"15",15,1,3,1,15,0,0.25,0.5,0.25,0.5,0,0.25,0,0
"16",16,1,3,2,16,0,0.25,0.25,0.25,0.5,0,0.5,0,0
"17",17,1,3,3,17,1,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,1,3,4,18,0,0.5,0,0.5,0.5,0,0.25,0,0
"19",19,1,3,5,19,0,0.5,0.25,0.5,0.5,0,0.25,0,0
"20",20,1,3,6,20,0,0.5,0.5,0.25,0.5,0.25,0.5,0,0
"21",21,1,3,7,21,0,0.5,0.75,0.5,0.75,0,0.25,0,0
"22",22,1,4,1,22,0,0.5,0.5,0.5,0.5,0,0.5,0,0
"23",23,1,4,2,23,0,0.5,0.5,0.5,0.5,0,0.25,0,0
"24",24,1,4,3,24,1,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,1,4,4,25,0,0.75,0.5,0.5,0.5,0,0,0,0
"26",26,1,4,5,26,0,0.5,0.5,0.25,0.5,0,0.5,0,0
"27",27,1,4,6,27,0,0.75,0.75,0.5,0.75,0,0,0,0
"28",28,1,4,7,28,0,0.5,0.75,0.75,0.5,0,0.25,0,0
"29",29,1,5,1,29,0,0.25,0.25,0.5,0.5,0.25,0.25,0,0
"30",30,1,5,2,30,1,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,1,5,3,31,0,0.25,0.5,0.5,0.75,0,0,0,0
"32",32,1,5,4,32,0,0.25,0.5,0.25,0.5,0,0,0,0
"33",33,1,5,5,33,0,0.75,0.75,0.5,0.5,0,0,0,0
"34",34,1,5,6,34,0,0.75,0.5,0.25,0.5,0,0.25,0,0
"35",35,1,5,7,35,0,0,0.5,0.75,0.75,0,0,0,0
"36",36,1,6,1,36,1,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,1,6,2,37,0,0.5,0.5,0,0.5,0.25,0,0,0
"38",38,1,6,3,38,1,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,1,6,4,39,1,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,1,6,5,40,0,0.5,0.5,0.5,0.75,0,0.25,0,0
"41",41,1,6,6,41,0,0.5,0.25,0.25,0.75,0,0,0,0
"42",42,1,6,7,42,0,0.75,0.75,0.5,0.5,0,0.25,0,0.25
"43",43,1,7,1,43,0,0.25,0.5,0.25,0.5,0,0,0,0.5
"44",44,1,7,2,44,0,0.75,0.5,0.5,0.5,0,0,0,0.25
"45",45,1,7,3,45,1,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,1,7,4,46,0,1,0.25,0.75,0.75,0,0,0,0
"47",47,1,7,5,47,0,0.5,0.5,0.25,0.75,0,0,0,0
"48",48,1,7,6,48,0,0.75,0.75,0.75,0.75,0,0,0,0
"49",49,1,7,7,49,1,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,2,1,1,1,0,0.25,0.5,0,0.5,0.25,0.75,0.5,0
"51",51,2,1,2,2,0,0.5,0.5,0.5,0.75,0,0.5,0,0
"52",52,2,1,3,3,0,0.25,0,0,0.25,0,0.5,0.75,0
