"","X","ID","day","Atease","Calm","Relaxed","Drowsy","Sluggish","Tired","Content","Pleased","Happy","Alert","Aroused","Hyperactivated","Miserable","Troubled","Unhappy","Sleepy","Quiet","Still","Afraid","Ashamed","Distressed","Guilty","Hostile","Irritable","Jittery","Nervous","Scared","Upset","Active","Alone","Attentive","Determined","Enthusiastic","Excited","Inspired","Interested","Proud","Strong"
"1",1,7,1,0.5,0.75,0.5,0.5,0.25,0.25,0.5,0.5,0.75,0.75,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5
"2",2,7,2,0.5,0.25,0.75,0.5,0.75,1,0.5,0,0.25,0.25,0.25,0,0.5,1,1,1,1,0.75,0.5,0.25,1,1,0,0.25,0.5,0,0.25,0.5,0,1,0.5,0,0,0.5,0.25,0.5,0.75,0
"3",3,7,3,0.5,0.5,0.25,0.5,0.5,0.25,0,0.25,0,0.5,0.5,0.5,1,0.5,1,0.25,0.5,0.5,0.25,0.5,1,0.75,0.75,0.25,0.75,0.5,0.25,0.25,0.5,0.5,0.25,0,0.25,0.5,0.75,0.25,0.25,0.5
"4",4,7,4,0.25,0.75,0.5,0,0.25,0,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.75,0.25,1,0.5,0.75,0.75,0.5,0.75,0.75,0
"5",5,7,5,0.25,0.25,0.5,0.75,0.5,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.75,0.5,0.25,0.75,0.25,0,0.25,0.5,0,0.5,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.75,0.5,0.75,0.25,0.75,0.25,0.5
"6",6,7,6,0.75,0.75,0.75,0.25,0.25,0.25,1,0.75,0.75,0.5,0.75,0.5,0.25,0.25,0,0.25,0.75,0.5,0,0.5,0.75,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.75,0.5,0.75,0.5,1,0.75,0.75,0.75,0.75,0.75
"7",7,7,7,0.5,0.5,0.5,0,0.25,1,0,0,0,0.5,0,0,0,0.5,1,1,0,0.25,0,1,0,1,0,0.75,0,0,1,0,0,1,0.25,0.5,0.25,0,0.25,0,0,0
"8",8,7,8,0,0,0,0.5,0.75,0.75,0.25,0,0,0,0.75,0,0.25,0.75,0.75,0.75,0.25,0.5,0.75,0.75,0.75,0.75,0.5,0.25,0.75,0.75,0.75,0.5,0,0.75,0,0,0,0,0,0,0,0.25
"9",9,7,9,0.75,0.75,0.25,0.75,0.75,1,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,1,1,0.75,0.75,0.25,0.75,0.75,0.25,0,0.25,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0,0.25
"10",10,7,10,0,1,0.25,1,0.75,1,0,0,0,0,0,0,1,0.75,1,1,1,1,0.75,1,1,0.75,0.25,0.75,1,0.75,1,1,0,1,0.75,0,0,0,0,0,0,0
"11",11,7,11,0.25,0.5,0.25,0.5,0.5,0.75,0.5,0.25,0.25,0.5,0.5,0.5,0.25,0.75,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0,0.25,0.5,0.75,0.25,0.75,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25
"12",12,7,12,0.5,0.75,0.5,0.25,0,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.75,0.5,0.5,0.5,0.5,0.25,0.75,0.5,0.5,0.5
"13",13,7,13,0.75,1,0.75,0,0,0,1,1,0.75,1,1,0.5,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0.75,1,1,1,1,0.75,0.75
"14",14,7,14,0.75,0.75,0.75,0,0,0,0.75,0.75,0.75,1,0.75,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"15",15,7,15,0.75,1,0.75,0,0,0,0.75,0.75,1,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.75,0,0.75,0.75,0.75,0.75,0.75,1,0.5,0.75
"16",16,7,16,0.75,0.5,0.75,0.25,0,0.5,0.5,0.5,0.5,0.5,0,0.75,0.25,0.75,0.25,0.25,0.25,0,0,0.25,0,0.25,0,0.5,0.75,0.25,0.5,0.75,0.75,0,0.75,0.5,0.75,0.25,0.25,0.5,0.25,0.75
"17",17,7,17,0,0.5,0.5,0,0,0,0.75,0.75,0.75,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.75,0.5,0.5,0,0.75,0.5,0.5
"18",18,7,18,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
"19",19,7,19,0.5,0.25,0.25,0.75,0.75,0.75,0.5,0.25,0.5,0.25,0,0.25,0.75,0.25,0.5,0.75,0.5,0.75,0.5,0,0.5,0.75,0,0.25,0.5,0.75,0.25,0.25,0,0.75,0.25,0,0,0.25,0,0.25,0.25,0.5
"20",20,7,20,0.25,0.25,0,0.75,0.75,1,0.25,0,0,0,0,0,1,1,0,0.75,0.75,0.5,0.75,0,1,0.75,0,0,0.5,0.75,0.75,0,0.25,0.75,0.25,0,0,0,0,0,0,0
