"","X","ID","day","missing","Afraid","Active","Alert","Nervous","Attentive","Determined","Hostile","Inspired","Ashamed","Upset"
"1",1.1,1,1,0,0.25,0,0,0.5,0,0,0,0,0.75,0.5
"2",1.2,1,2,0,0.25,0,0,0.75,0.25,0.25,0,0.25,0.5,0.75
"3",1.3,1,3,0,0.25,0.25,0.25,0.75,0.25,0,0,0.25,0.75,0.5
"4",1.4,1,4,2,0.25,0,0,0.5,0,0.25,0,NA,0.5,0.5
"5",1.5,1,5,0,0.25,0,0.25,0.5,0.25,0.25,0,0.25,0.5,0.25
"6",1.6,1,6,0,0.25,0.25,0,0.5,0,0,0,0,0.5,0.25
"7",1.7,1,7,0,0,0,0,0.75,0.25,0.25,0,0,0.5,0.25
"8",1.8,1,8,2,0.25,0.25,0.25,0.25,0,0.25,0,NA,0,0.25
"9",1.9,1,9,0,0.25,0,0,0.75,0.25,0.25,0,0.25,0.25,0.5
"10",1.1,1,10,0,0.25,0,0.25,0.5,0,0.25,0,0,0.75,0.25
"11",1.11,1,11,0,0,0,0,0.5,0.25,0.25,0,0.25,0.75,0.25
"12",1.12,1,12,0,0.25,0,0,0.75,0.25,0,0,0.25,0.5,0.25
"13",1.13,1,13,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.75,0.25
"14",1.14,1,14,0,0.25,0.25,0,0.75,0,0.25,0,0,0.75,0.25
"15",1.15,1,15,0,0,0,0,0.5,0.25,0.25,0,0.25,0.5,0.25
"16",1.16,1,16,0,0.25,0.25,0,0.75,0.25,0.25,0,0,0.5,0.25
"17",1.17,1,17,0,0,0.25,0,0.5,0.25,0.25,0,0.25,0.75,0
"18",1.18,1,18,0,0,0.25,0.25,0.5,0.25,0.25,0,0.25,0.25,0.25
"19",1.19,1,19,0,0.5,0.25,0,0.75,0,0.25,0,0.25,0.75,0.75
"20",1.2,1,20,0,0.25,0,0.25,0.5,0.25,0.25,0,0,0.75,0.5
"21",1.21,1,21,0,0.25,0.25,0.25,0.5,0.25,0,0,0.25,0.5,0.25
"22",1.22,1,22,0,0,0.25,0,0.5,0,0.25,0,0,0.5,0.25
"23",1.23,1,23,2,0,0,0.25,0.5,0.25,0,NA,0.25,0.75,0.75
"24",1.24,1,24,0,0,0.25,0,0.75,0.25,0,0,0,0.75,0
"25",1.25,1,25,0,0.25,0.25,0,0.75,0,0.25,0,0,0.75,0.25
"26",1.26,1,26,0,0.25,0.25,0.25,0.75,0,0.25,0,0,0.5,0.25
"27",1.27,1,27,0,0,0,0,0.75,0,0.25,0,0.25,0.5,0.25
"28",1.28,1,28,0,0,0.25,0,0.5,0.25,0,0,0.25,0.75,0.25
"29",1.29,1,29,0,0,0.5,0.25,0.75,0.5,0.25,0,0.25,0.25,0
"30",1.3,1,30,0,0,0.5,0,0.75,0.25,0.25,0,0.25,0.5,0.5
"31",1.31,1,31,0,0,0.25,0,0.75,0.25,0,0,0.25,0.5,0.25
"32",1.32,1,32,0,0,0.25,0,0.5,0.25,0.25,0,0.25,0.75,0
"33",1.33,1,33,0,0,0.25,0,0.5,0.25,0.25,0,0.25,0.75,0
"34",1.34,1,34,0,0,0.5,0,0.75,0.25,0.25,0,0.25,0.75,0.25
"35",1.35,1,35,0,0,0.25,0,0.5,0.25,0.25,0,0.25,0.75,0.25
"36",1.36,1,36,0,0,0.25,0,0.5,0.25,0.25,0,0,0.75,0.5
"37",1.37,1,37,0,0,0.25,0.25,0.5,0,0,0,0.25,0.75,0.25
