"","X","ID","day","beep","observationID","missing","Enthusiastic","Relaxed","Satisfied","Irritable","Energetic","Calm","Cheerful","Irritated","Bored","Nervous","Sad","Angry","Gloomy","Insecure","Anxious","Happy","Worried","Stressed"
"1",1,1011,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,1011,1,2,2,0,0.49,0.51,0.5,0.16,0.19,0.7,0.5,0.22,0.69,0.14,0.07,0.15,0.28,0.2,0.29,0.29,0.28,0.37
"3",3,1011,1,3,3,0,0.45,0.57,0.58,0.28,0.34,0.73,0.48,0.35,0.66,0.26,0.16,0.14,0.49,0.1,0.13,0.49,0.19,0.23
"4",4,1011,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,1011,1,5,5,0,0.69,0.69,0.68,0.21,0.67,0.7,0.75,0.22,0.19,0.21,0.16,0.1,0.07,0.17,0.08,0.74,0.22,0.19
"6",6,1011,1,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,1011,1,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,1011,1,8,8,0,0.68,0.78,0.73,0.1,0.16,0.7,0.56,0.09,0.08,0.14,0.17,0.2,0.16,0.15,0.11,0.56,0.17,0.16
"9",9,1011,1,9,9,0,0.44,0.7,0.66,0.13,0.34,0.74,0.61,0.19,0.16,0.23,0.18,0.15,0.17,0.14,0.13,0.74,0.16,0.22
"10",10,1011,1,10,10,0,0.71,0.75,0.75,0.15,0.2,0.73,0.23,0.19,0.23,0.1,0.13,0.09,0.1,0.15,0.12,0.64,0.11,0.18
"11",11,1011,1,11,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,1011,1,12,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,1011,1,13,13,0,0.85,0.83,0.84,0.12,0.72,0.75,0.79,0.01,0.06,0.08,0.04,0.06,0.06,0.09,0.01,0.65,0.26,0.11
"14",14,1011,1,14,14,0,0.58,0.75,0.73,0.17,0.71,0.77,0.7,0.02,0.08,0.09,0.09,0.1,0.09,0.09,0.11,0.78,0.39,0.16
"15",15,1011,1,15,15,0,0.67,0.49,0.23,0.42,0.67,0.5,0.61,0.49,0.59,0.11,0.09,0.23,0.27,0.36,0.1,0.42,0.08,0.1
"16",16,1011,1,16,16,0,0.51,0.47,0.46,0,0.53,0.7,0.57,0.23,0.71,0.48,0.48,0.15,0.15,0.11,0.14,0.58,0.33,0.14
"17",17,1011,1,17,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,1011,2,1,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,1011,2,2,19,0,0.18,0.76,0.79,0.07,0.07,0.8,0.17,0.06,0.09,0.07,0.09,0.08,0.12,0.08,0.07,0.54,0.08,0.09
"20",20,1011,2,3,20,0,0.1,0.74,0.36,0.09,0.11,0.76,0.08,0.07,0.09,0.06,0.09,0.12,0.09,0.07,0.07,0.57,0.09,0.12
"21",21,1011,2,4,21,0,0.1,0.69,0.44,0.08,0.08,0.84,0.27,0.07,0.09,0.05,0.03,0.92,0.07,0.06,0.06,0.61,0.08,0.12
"22",22,1011,2,5,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,1011,2,6,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,1011,2,7,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,1011,2,8,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,1011,2,9,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,1011,2,10,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,1011,2,11,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,1011,3,1,29,0,0.49,0.43,0.52,0.57,0.35,0.46,0.2,0.62,0.61,0.03,0.34,0.33,0.34,0.08,0.07,0.23,0.48,0.24
"30",30,1011,3,2,30,0,0.8,0.69,0.66,0.09,0.74,0.76,0.78,0.09,0.09,0.2,0.1,0,0.07,0.08,0.06,0.63,0.31,0.33
"31",31,1011,3,3,31,0,0.21,0.67,0.67,0.1,0.31,0.72,0.47,0.06,0.68,0.11,0.12,0.11,0.3,0.24,0.15,0.48,0.08,0.39
"32",32,1011,3,4,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,1011,3,5,33,0,0.19,0.45,0.32,0.25,0.22,0.44,0.11,0.22,0.75,0.31,0.24,0.31,0.51,0.16,0.19,0.34,0.38,0.62
"34",34,1011,3,6,34,0,0.58,0.63,0.64,0.03,0.48,0.68,0.68,0.06,0,0.07,0.04,0.06,0.38,0.03,0,0.74,0,0.06
"35",35,1011,3,7,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,1011,3,8,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,1011,4,1,37,0,0.47,0.7,0.71,0.07,0.69,0.7,0.63,0.05,0.44,0.04,0.07,0.06,0.08,0,0.05,0.59,0.18,0.3
"38",38,1011,4,2,38,0,0.12,0.42,0.31,0.68,0.18,0.39,0.11,0.68,0.72,0.14,0.29,0.39,0.52,0.59,0.23,0.39,0.4,0.44
"39",39,1011,4,3,39,0,0.51,0.55,0.54,0.26,0.49,0.59,0.16,0.21,0.61,0.13,0.22,0.26,0.27,0.21,0.15,0.52,0.19,0.21
"40",40,1011,4,4,40,0,0.49,0.73,0.67,0.08,0.56,0.54,0.43,0.07,0.43,0.08,0.07,0.07,0.25,0.09,0.06,0.51,0.08,0.47
"41",41,1011,4,5,41,0,0.66,0.67,0.66,0.08,0.65,0.74,0.53,0.15,0.23,0.17,0.19,0.27,0.25,0.09,0.09,0.62,0.5,0.49
"42",42,1011,4,6,42,0,0.72,0.7,0.7,0.11,0.65,0.69,0.64,0.07,0.08,0.01,0.06,0.06,0.08,0.09,0.1,0.56,0.17,0.27
"43",43,1011,4,7,43,0,0.68,0.69,0.75,0.11,0.47,0.66,0.68,0.08,0.09,0.1,0.09,0.09,0.09,0.11,0.11,0.68,0.1,0.08
"44",44,1011,4,8,44,0,0.6,0.67,0.66,0.03,0.62,0.63,0.68,0.07,0.26,0.23,0.06,0.07,0.06,0.05,0.05,0.57,0.24,0.08
"45",45,1011,4,9,45,0,0.1,0.25,0.29,0.66,0.12,0.5,0.33,0.62,0.57,0.1,0.21,0.24,0.61,0.7,0.11,0.36,0.39,0.3
"46",46,1011,5,1,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,1011,5,2,47,0,0.84,0.75,0.72,0.09,0.62,0.71,0.67,0.09,0.05,0.07,0.07,0.06,0.02,0.03,0.01,0.68,0.02,0.07
"48",48,1011,5,3,48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,1011,5,4,49,0,0.51,0.44,0.5,0.09,0.52,0.66,0.37,0.06,0.71,0.02,0.08,0.04,0.07,0.07,0.07,0.52,0.04,0.23
"50",50,1011,5,5,50,0,0.48,0.67,0.73,0.04,0.47,0.69,0.41,0.06,0.37,0.07,0.06,0.09,0.04,0.04,0.06,0.55,0.45,0.45
"51",51,1011,5,6,51,0,0.66,0.61,0.72,0.02,0.64,0.62,0.6,0,0.06,0.03,0.07,0.02,0.03,0.01,0,0.68,0.05,0.05
"52",52,1011,5,7,52,0,0.61,0.6,0.65,0.04,0.59,0.58,0.62,0,0.01,0.04,0.01,0.01,0.01,0.02,0.03,0.75,0.07,0.03
"53",53,1011,5,8,53,0,0.72,0.67,0.73,0.02,0.03,0.54,0.66,0.07,0.08,0.07,0.05,0.03,0.11,0.07,0.08,0.66,0.05,0.08
"54",54,1011,5,9,54,0,0.64,0.65,0.65,0.19,0.67,0.65,0.66,0.02,0.06,0.02,0.02,0.03,0.02,0.03,0.08,0.61,0.04,0.12
"55",55,1011,5,10,55,0,0.66,0.68,0.71,0.04,0.65,0.67,0.66,0.02,0.04,0.07,0.03,0.07,0.02,0.05,0.05,0.63,0.08,0.06
"56",56,1011,5,11,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,1011,5,12,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,1011,5,13,58,0,0.63,0.68,0.68,0.03,0.54,0.65,0.66,0.07,0.05,0.09,0.07,0.04,0.05,0.06,0.03,0.59,0.14,0.05
"59",59,1011,5,14,59,0,0.47,0.59,0.64,0.21,0.48,0.48,0.67,0.18,0.2,0.19,0.01,0.02,0.22,0,0.02,0.63,0.19,0.43
"60",60,1012,1,1,1,0,0.7,0.7,0.75,0.01,0.36,0.75,0.7,0.01,0.3,0.3,0,0,0,0.09,0,0.8,0,0.01
"61",61,1012,1,2,2,0,0.65,0.5,0.7,0.2,0.6,0.7,0.81,0,0.2,0.35,0,0,0,0.25,0,0.82,0,0.2
"62",62,1012,1,3,3,0,0.65,0.7,0.75,0,0.62,0.7,0.77,0.15,0,0.06,0,0,0,0.14,0,0.75,0,0
"63",63,1012,1,4,4,0,0.64,0.71,0.8,0.12,0.58,0.82,0.73,0.11,0.16,0.09,0,0,0,0.07,0,0.77,0,0
"64",64,1012,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,1012,1,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,1012,1,7,7,0,0.32,0.19,0.23,0.5,0.34,0.44,0.4,0.5,0.03,0.59,0,0,0,0.05,0,0.72,0,0.5
"67",67,1012,1,8,8,0,0.81,0.78,0.78,0,0.73,0.5,0.82,0,0,0,0,0,0,0,0,0.91,0,0
"68",68,1012,1,9,9,0,0.37,0.73,0.72,0.08,0.45,0.62,0.68,0.07,0.66,0,0,0,0,0,0,0.69,0,0
