"","ID","nstate"
"1",2,NA
"2",3,3
"3",4,4
"4",6,4
"5",8,3
"6",9,3
"7",10,NA
"8",12,4
"9",13,NA
"10",20,3
"11",23,3
"12",26,5
"13",28,3
"14",31,4
"15",34,4
"16",38,5
"17",39,5
"18",41,5
"19",43,5
"20",46,4
"21",47,3
"22",48,NA
"23",52,4
"24",57,4
"25",74,4
"26",82,4
"27",84,3
"28",90,4
"29",105,4
"30",107,5
"31",124,3
"32",125,4
"33",128,3
"34",154,4
"35",162,3
"36",172,4
"37",173,4
"38",181,3
"39",184,2
"40",186,3
"41",195,4
"42",202,5
"43",236,5
"44",239,NA
"45",258,4
"46",259,2
"47",271,3
"48",281,5
"49",288,4
"50",300,3
"51",306,5
"52",323,3
"53",332,4
"54",352,5
"55",359,3
"56",364,5
"57",367,3
"58",370,3
"59",376,5
"60",379,2
"61",392,4
"62",394,4
"63",398,4
"64",405,5
"65",407,5
"66",426,5
"67",430,NA
"68",435,3
"69",447,3
"70",449,5
"71",451,4
"72",454,5
"73",461,5
"74",465,NA
"75",466,2
"76",497,5
"77",499,5
"78",500,4
"79",504,2
"80",512,4
"81",518,3
"82",520,5
"83",524,3
"84",526,4
"85",527,5
"86",529,NA
"87",531,5
"88",536,3
"89",543,4
"90",556,4
"91",559,5
"92",560,5
"93",568,2
"94",587,4
"95",603,3
