"","ID","2","3","4","5"
"1",1,36,100,100,100
"2",2,NA,NA,NA,NA
"3",3,4,100,100,100
"4",4,1,20,81,100
"5",5,62,20,100,100
"6",6,10,100,100,100
"7",7,NA,NA,NA,NA
"8",8,NA,NA,NA,NA
"9",9,NA,NA,NA,NA
"10",10,9,23,76,100
"11",11,1,3,21,100
"12",12,2,100,100,100
"13",14,NA,NA,NA,NA
"14",15,NA,NA,NA,NA
"15",16,NA,NA,NA,NA
"16",17,30,100,100,100
"17",18,NA,NA,NA,NA
"18",19,NA,NA,NA,NA
"19",20,1,1,3,100
"20",21,2,100,100,100
"21",22,4,100,100,100
"22",23,NA,NA,NA,NA
"23",24,NA,NA,NA,NA
"24",25,NA,NA,NA,NA
"25",26,1,1,1,1
"26",27,1,2,35,100
"27",28,NA,NA,NA,NA
"28",29,NA,NA,NA,NA
"29",30,1,2,25,35
"30",31,NA,NA,NA,NA
"31",32,1,2,1,11
"32",33,1,2,19,100
"33",34,1,4,2,100
"34",35,3,43,100,100
"35",36,NA,NA,NA,NA
"36",37,4,2,37,100
"37",38,NA,NA,NA,NA
"38",39,1,1,1,47
"39",40,7,100,100,100
"40",41,NA,NA,NA,NA
"41",42,NA,NA,NA,NA
"42",43,NA,NA,NA,NA
"43",45,11,100,100,100
"44",46,NA,NA,NA,NA
"45",47,NA,NA,NA,NA
"46",48,38,6,100,100
"47",49,NA,NA,NA,NA
"48",50,NA,NA,NA,NA
