"","ID","2","3","4","5"
"1",1,1,1,1,1
"2",2,1,1,1,1
"3",3,NA,NA,NA,NA
"4",4,1,1,1,1
"5",6,1,1,1,1
"6",7,1,1,1,1
"7",8,1,1,1,1
"8",10,NA,NA,NA,NA
"9",11,1,1,1,2
"10",12,1,1,6,36
"11",13,1,1,2,1
"12",14,1,1,1,1
"13",15,1,1,1,1
"14",18,1,1,1,2
"15",19,1,1,1,1
"16",21,1,1,1,1
"17",22,1,1,1,3
"18",23,1,1,1,1
"19",24,100,28,100,100
"20",25,1,1,1,1
"21",26,1,5,1,3
"22",27,1,1,1,1
"23",28,1,1,1,1
"24",29,1,1,1,1
"25",30,1,1,1,1
"26",31,1,1,1,1
"27",32,1,1,1,1
"28",33,1,100,100,100
"29",34,2,100,100,100
"30",35,1,1,5,9
"31",36,1,1,1,1
"32",37,1,1,1,1
"33",39,1,1,1,1
"34",40,1,5,44,52
"35",41,1,1,1,100
"36",43,1,1,1,1
"37",46,1,1,1,1
"38",47,1,1,1,1
"39",48,1,2,1,1
"40",50,1,1,1,2
"41",51,1,1,1,1
"42",52,1,1,1,1
"43",53,1,1,1,1
"44",55,1,1,1,1
"45",56,1,1,1,2
"46",57,1,1,1,1
"47",58,1,1,1,1
"48",60,1,1,1,1
"49",61,1,1,1,1
"50",62,1,1,1,12
"51",63,1,1,1,1
"52",64,1,1,1,1
"53",66,1,1,1,1
"54",67,1,1,1,1
"55",68,1,1,1,12
"56",70,1,3,100,100
"57",71,1,1,2,1
"58",72,1,1,1,1
"59",74,1,1,1,1
"60",79,1,2,3,18
"61",80,1,1,1,1
"62",81,1,1,1,1
"63",84,1,1,1,1
"64",86,1,1,1,1
"65",87,1,1,1,1
"66",88,1,1,1,1
"67",93,1,1,1,1
"68",94,1,1,2,5
"69",95,NA,NA,NA,NA
"70",96,1,1,100,100
"71",97,1,1,1,1
"72",99,1,2,1,9
"73",100,39,100,100,100
"74",101,1,1,1,1
"75",102,1,8,100,100
"76",103,1,28,19,18
"77",104,1,1,1,1
"78",105,1,1,1,1
"79",106,1,1,1,1
"80",107,1,1,1,1
"81",108,1,1,1,1
"82",109,1,2,25,100
"83",110,1,1,1,1
"84",111,1,1,1,2
"85",112,1,2,1,1
"86",113,1,1,1,1
"87",114,1,5,17,20
"88",115,1,1,1,1
"89",116,1,1,1,1
"90",117,1,1,1,1
"91",118,1,100,100,100
"92",119,1,1,1,1
"93",120,1,1,1,2
"94",121,1,1,28,32
"95",122,1,1,1,1
"96",123,1,8,100,100
"97",124,1,1,1,1
"98",125,1,1,1,1
"99",126,1,3,6,39
"100",127,1,1,21,3
"101",128,1,1,3,7
"102",129,1,100,100,100
"103",130,1,1,1,1
"104",131,1,1,1,1
"105",132,1,1,1,1
"106",133,1,1,1,1
"107",134,1,1,1,1
"108",135,2,13,5,100
"109",137,1,4,10,77
"110",138,1,1,3,3
"111",139,1,1,1,1
"112",140,2,1,100,100
"113",141,1,1,1,1
"114",143,1,1,1,1
"115",145,NA,NA,NA,NA
"116",146,1,1,1,1
"117",147,1,1,1,1
"118",148,1,11,100,100
"119",152,1,1,1,1
"120",154,1,1,1,1
"121",156,1,1,1,1
"122",159,1,1,1,1
"123",161,1,1,2,2
"124",163,1,1,1,1
"125",164,1,1,1,1
