"","ID","2","3","4","5"
"1",80000,NA,NA,NA,NA
"2",80001,NA,NA,NA,NA
"3",80010,NA,NA,NA,NA
"4",80011,NA,NA,NA,NA
"5",80030,NA,NA,NA,NA
"6",80031,NA,NA,NA,NA
"7",80040,NA,NA,NA,NA
"8",80041,NA,NA,NA,NA
"9",80050,NA,NA,NA,NA
"10",80051,NA,NA,NA,NA
"11",80060,NA,NA,NA,NA
"12",80061,NA,NA,NA,NA
"13",80070,NA,NA,NA,NA
"14",80071,NA,NA,NA,NA
"15",80080,NA,NA,NA,NA
"16",80081,1,1,5,100
"17",80090,NA,NA,NA,NA
"18",80091,NA,NA,NA,NA
"19",80100,NA,NA,NA,NA
"20",80101,NA,NA,NA,NA
"21",80131,NA,NA,NA,NA
"22",80140,NA,NA,NA,NA
"23",80141,NA,NA,NA,NA
"24",80150,NA,NA,NA,NA
"25",80151,NA,NA,NA,NA
"26",80160,NA,NA,NA,NA
"27",80161,NA,NA,NA,NA
"28",80170,NA,NA,NA,NA
"29",80171,NA,NA,NA,NA
"30",80180,NA,NA,NA,NA
"31",80181,NA,NA,NA,NA
"32",80190,NA,NA,NA,NA
"33",80191,NA,NA,NA,NA
"34",80200,NA,NA,NA,NA
"35",80201,NA,NA,NA,NA
"36",80210,NA,NA,NA,NA
"37",80211,NA,NA,NA,NA
"38",80220,NA,NA,NA,NA
"39",80221,NA,NA,NA,NA
"40",80231,NA,NA,NA,NA
"41",80240,NA,NA,NA,NA
"42",80241,22,100,100,100
"43",80260,NA,NA,NA,NA
"44",80261,NA,NA,NA,NA
"45",80270,NA,NA,NA,NA
"46",80271,NA,NA,NA,NA
"47",80281,NA,NA,NA,NA
"48",80290,NA,NA,NA,NA
"49",80291,NA,NA,NA,NA
"50",80301,NA,NA,NA,NA
"51",80320,NA,NA,NA,NA
"52",80321,NA,NA,NA,NA
"53",80341,NA,NA,NA,NA
"54",80360,NA,NA,NA,NA
"55",80361,NA,NA,NA,NA
"56",80380,NA,NA,NA,NA
"57",80381,NA,NA,NA,NA
"58",80390,NA,NA,NA,NA
"59",80391,NA,NA,NA,NA
"60",80410,NA,NA,NA,NA
"61",80411,NA,NA,NA,NA
"62",80420,NA,NA,NA,NA
"63",80421,NA,NA,NA,NA
"64",80430,NA,NA,NA,NA
"65",80431,1,100,100,100
"66",80440,NA,NA,NA,NA
"67",80441,NA,NA,NA,NA
"68",80460,NA,NA,NA,NA
"69",80461,NA,NA,NA,NA
"70",80470,NA,NA,NA,NA
"71",80471,NA,NA,NA,NA
"72",80480,NA,NA,NA,NA
"73",80481,NA,NA,NA,NA
"74",80491,NA,NA,NA,NA
"75",80500,NA,NA,NA,NA
"76",80501,NA,NA,NA,NA
"77",80520,NA,NA,NA,NA
"78",80521,NA,NA,NA,NA
"79",80530,NA,NA,NA,NA
"80",80531,NA,NA,NA,NA
"81",80541,NA,NA,NA,NA
"82",80550,NA,NA,NA,NA
"83",80551,NA,NA,NA,NA
"84",80560,NA,NA,NA,NA
"85",80561,NA,NA,NA,NA
"86",80570,NA,NA,NA,NA
"87",80571,NA,NA,NA,NA
"88",80580,NA,NA,NA,NA
"89",80581,46,31,100,100
"90",80590,NA,NA,NA,NA
"91",80591,NA,NA,NA,NA
"92",80610,NA,NA,NA,NA
"93",80611,NA,NA,NA,NA
"94",80620,NA,NA,NA,NA
"95",80621,NA,NA,NA,NA
"96",80630,NA,NA,NA,NA
"97",80631,NA,NA,NA,NA
"98",80640,NA,NA,NA,NA
"99",80641,NA,NA,NA,NA
"100",80650,NA,NA,NA,NA
"101",80651,NA,NA,NA,NA
"102",80660,NA,NA,NA,NA
"103",80661,NA,NA,NA,NA
"104",80690,NA,NA,NA,NA
"105",80691,NA,NA,NA,NA
"106",80710,NA,NA,NA,NA
"107",80711,NA,NA,NA,NA
"108",80720,NA,NA,NA,NA
"109",80721,NA,NA,NA,NA
"110",80740,NA,NA,NA,NA
"111",80741,NA,NA,NA,NA
"112",80750,NA,NA,NA,NA
"113",80751,NA,NA,NA,NA
"114",80781,NA,NA,NA,NA
"115",80820,NA,NA,NA,NA
"116",80821,NA,NA,NA,NA
"117",80840,NA,NA,NA,NA
"118",80841,NA,NA,NA,NA
"119",80861,NA,NA,NA,NA
"120",80880,NA,NA,NA,NA
"121",80881,1,100,100,100
"122",80910,NA,NA,NA,NA
"123",80911,NA,NA,NA,NA
"124",80920,NA,NA,NA,NA
"125",80921,NA,NA,NA,NA
"126",80930,NA,NA,NA,NA
"127",80931,NA,NA,NA,NA
"128",80940,NA,NA,NA,NA
"129",80941,NA,NA,NA,NA
"130",80950,NA,NA,NA,NA
"131",80951,1,1,1,6
"132",80960,NA,NA,NA,NA
"133",80961,NA,NA,NA,NA
"134",80980,NA,NA,NA,NA
"135",80990,NA,NA,NA,NA
"136",80991,NA,NA,NA,NA
"137",81000,NA,NA,NA,NA
"138",81001,NA,NA,NA,NA
"139",81011,NA,NA,NA,NA
"140",81020,NA,NA,NA,NA
"141",81021,NA,NA,NA,NA
"142",81030,NA,NA,NA,NA
"143",81031,NA,NA,NA,NA
"144",81040,NA,NA,NA,NA
"145",81041,NA,NA,NA,NA
"146",81051,NA,NA,NA,NA
"147",81060,NA,NA,NA,NA
"148",81061,NA,NA,NA,NA
"149",81071,NA,NA,NA,NA
"150",81080,NA,NA,NA,NA
"151",81081,NA,NA,NA,NA
"152",81090,NA,NA,NA,NA
"153",81091,NA,NA,NA,NA
"154",81100,9,100,100,100
"155",81101,NA,NA,NA,NA
"156",81110,NA,NA,NA,NA
"157",81111,NA,NA,NA,NA
"158",81120,NA,NA,NA,NA
"159",81140,NA,NA,NA,NA
"160",81141,NA,NA,NA,NA
"161",81150,NA,NA,NA,NA
"162",81151,NA,NA,NA,NA
"163",81160,NA,NA,NA,NA
"164",81161,NA,NA,NA,NA
"165",81170,NA,NA,NA,NA
"166",81171,NA,NA,NA,NA
"167",81180,NA,NA,NA,NA
"168",81181,NA,NA,NA,NA
"169",81200,NA,NA,NA,NA
"170",81201,NA,NA,NA,NA
"171",81210,NA,NA,NA,NA
"172",81211,NA,NA,NA,NA
"173",81220,NA,NA,NA,NA
"174",81221,NA,NA,NA,NA
"175",81240,NA,NA,NA,NA
"176",81241,NA,NA,NA,NA
"177",81260,NA,NA,NA,NA
"178",81261,NA,NA,NA,NA
"179",81270,NA,NA,NA,NA
"180",81271,NA,NA,NA,NA
"181",81280,NA,NA,NA,NA
