"","ID","nstate"
"1",1,4
"2",2,2
"3",3,3
"4",4,2
"5",5,NA
"6",6,3
"7",7,3
"8",8,5
"9",9,2
"10",10,4
"11",11,3
"12",12,4
"13",13,2
"14",14,5
"15",15,5
"16",16,4
"17",17,4
"18",18,4
"19",19,3
"20",20,5
"21",21,4
"22",22,NA
"23",23,NA
"24",24,5
"25",25,NA
"26",26,NA
"27",27,NA
"28",28,4
"29",29,2
"30",30,5
"31",31,5
"32",32,3
"33",33,2
"34",34,5
"35",35,3
"36",36,3
"37",37,3
"38",38,3
"39",39,NA
"40",40,4
"41",41,5
"42",42,4
"43",43,4
"44",44,3
"45",45,4
"46",46,5
"47",47,2
"48",48,2
"49",49,4
"50",50,NA
"51",51,5
"52",52,5
"53",53,2
"54",54,NA
"55",55,2
"56",56,4
"57",57,5
"58",58,4
"59",59,5
"60",60,4
"61",61,3
"62",62,5
"63",63,4
"64",64,3
"65",65,4
"66",66,2
"67",67,2
"68",68,2
"69",69,NA
"70",70,2
