"","ID","nstate"
"1",10720,5
"2",10722,5
"3",10724,5
"4",10725,5
"5",10726,5
"6",10727,4
"7",10728,5
"8",10729,3
"9",10732,4
"10",10734,4
"11",10735,5
"12",10736,5
"13",10737,5
"14",10738,5
"15",10739,2
"16",10740,4
"17",10741,4
"18",10742,2
"19",10744,5
"20",10746,4
"21",10747,NA
"22",10748,5
"23",10750,5
"24",10751,4
"25",10753,4
"26",10754,5
"27",10755,2
"28",10756,3
"29",10757,3
"30",10758,4
"31",10759,3
"32",10760,5
"33",10761,5
"34",10762,5
"35",10763,4
"36",10764,5
"37",10765,3
"38",10766,5
"39",10768,4
"40",10769,NA
"41",10770,2
"42",10771,3
"43",10772,4
"44",10773,4
"45",10774,4
"46",10775,5
"47",10776,5
"48",10777,5
"49",10778,5
"50",10779,3
"51",10780,5
"52",10781,5
"53",10782,2
"54",10783,5
"55",10784,4
"56",10785,4
"57",10786,5
"58",10787,5
"59",10790,5
"60",10791,5
"61",10792,5
"62",10793,5
"63",10794,3
"64",10795,5
"65",10796,5
"66",10797,4
"67",10799,NA
"68",10800,4
"69",10801,4
"70",10802,4
"71",10803,5
"72",10804,NA
"73",10805,5
"74",10807,NA
"75",10808,5
"76",10809,4
"77",10810,5
"78",10811,5
"79",10812,NA
"80",10813,3
"81",10814,NA
"82",10815,3
"83",10816,5
"84",10817,4
"85",10818,4
"86",10819,5
"87",10820,5
"88",10821,4
"89",10822,5
"90",10823,5
"91",10824,2
"92",10826,5
"93",10827,5
"94",10828,4
"95",10829,2
"96",10830,5
"97",10831,5
"98",10832,4
"99",10833,5
"100",10834,3
"101",10835,NA
"102",10836,5
"103",10837,3
"104",10838,5
"105",10839,5
"106",10840,4
"107",10841,5
"108",10842,4
"109",10843,4
"110",10844,5
"111",10845,5
"112",10846,5
"113",10847,4
"114",10848,4
"115",10849,5
"116",10850,4
"117",10851,3
"118",10852,5
"119",10853,2
"120",10854,4
"121",10855,4
"122",10856,3
"123",10857,4
"124",10858,5
"125",10859,3
"126",10860,5
"127",10861,4
"128",10862,5
"129",10863,NA
