"","ID","nstate"
"1",1,2
"2",2,3
"3",3,2
"4",4,2
"5",5,2
"6",6,NA
"7",7,3
"8",8,NA
"9",9,NA
"10",10,2
"11",12,NA
"12",13,2
"13",14,3
"14",15,3
"15",16,4
"16",17,2
"17",18,NA
"18",19,NA
"19",20,2
"20",21,2
"21",22,NA
"22",23,2
"23",24,3
"24",25,4
"25",26,3
"26",27,3
"27",28,4
"28",29,4
"29",30,3
"30",31,3
"31",32,2
"32",33,2
"33",34,2
"34",35,2
"35",36,4
"36",37,3
"37",38,3
"38",40,3
"39",41,2
"40",42,2
"41",43,2
"42",44,2
"43",45,2
"44",46,4
"45",47,4
"46",48,3
"47",49,3
"48",50,2
"49",51,3
"50",52,2
"51",53,NA
"52",54,4
"53",55,2
"54",56,4
"55",57,3
"56",58,2
"57",59,2
"58",60,3
"59",61,2
"60",62,2
"61",63,3
"62",64,3
"63",65,2
"64",66,2
"65",67,3
"66",68,2
"67",69,2
"68",70,2
"69",71,NA
"70",72,3
"71",73,2
"72",74,NA
"73",75,2
"74",76,2
"75",77,3
"76",78,NA
"77",79,NA
"78",80,3
"79",81,NA
"80",82,2
"81",83,2
"82",84,3
"83",85,2
"84",86,3
"85",87,2
"86",88,3
"87",89,2
"88",90,NA
"89",91,NA
"90",92,3
"91",93,4
"92",94,2
"93",95,2
"94",96,2
"95",97,NA
"96",98,3
"97",99,3
"98",100,3
"99",102,2
"100",103,2
"101",104,NA
"102",105,NA
"103",106,3
"104",107,2
"105",108,3
"106",109,2
"107",110,2
"108",111,2
"109",112,3
