"","ID","nstate"
"1",1,3
"2",2,3
"3",3,5
"4",4,4
"5",5,5
"6",6,3
"7",7,4
"8",8,3
"9",10,4
"10",11,2
"11",12,3
"12",14,3
"13",15,2
"14",16,4
"15",17,5
"16",18,3
"17",19,3
"18",20,3
"19",21,4
"20",22,3
"21",23,3
"22",24,2
"23",25,4
"24",26,3
"25",28,5
"26",29,4
"27",30,3
"28",31,5
"29",32,3
"30",33,3
"31",34,5
"32",35,3
"33",36,5
"34",37,4
"35",38,2
"36",39,3
"37",40,3
"38",41,2
"39",42,3
"40",43,3
"41",44,4
"42",46,5
"43",47,4
"44",48,3
"45",49,3
"46",51,4
"47",52,4
"48",53,4
"49",54,4
"50",55,3
"51",56,4
"52",57,5
"53",58,4
"54",59,3
"55",60,2
"56",61,3
"57",62,4
"58",64,4
"59",66,4
"60",67,3
"61",68,3
"62",69,4
"63",70,3
"64",71,3
"65",72,4
"66",74,5
"67",75,5
"68",76,5
"69",77,4
"70",78,3
"71",79,4
"72",80,2
"73",81,3
"74",82,4
"75",83,5
"76",84,4
"77",85,4
"78",86,4
"79",87,3
"80",88,4
"81",89,4
"82",90,4
"83",91,4
"84",93,5
"85",94,4
"86",95,4
"87",96,2
"88",97,3
"89",98,4
"90",99,4
"91",100,3
"92",101,2
"93",102,3
"94",103,4
"95",104,3
"96",105,3
"97",106,3
"98",107,4
"99",108,2
"100",109,2
"101",110,3
"102",111,4
"103",112,5
"104",113,2
"105",114,2
"106",115,4
"107",116,3
"108",117,4
"109",118,3
"110",119,3
"111",120,3
"112",121,3
"113",122,4
"114",123,5
"115",124,5
"116",125,4
"117",126,3
"118",127,2
"119",128,3
"120",129,3
"121",130,5
"122",131,3
"123",132,4
"124",133,3
"125",134,4
"126",135,3
"127",136,3
"128",137,4
"129",138,2
"130",139,2
"131",140,3
"132",141,4
"133",142,2
"134",143,3
"135",144,3
"136",145,3
"137",146,4
"138",147,3
"139",148,3
"140",149,3
"141",150,5
"142",152,3
"143",153,3
"144",154,2
"145",155,3
"146",156,4
"147",157,3
"148",158,3
"149",159,3
"150",160,4
"151",161,3
"152",162,3
"153",163,5
"154",164,4
"155",165,NA
"156",166,4
"157",167,3
"158",168,4
"159",169,4
"160",170,4
"161",171,2
"162",172,4
"163",173,4
"164",174,4
"165",175,4
"166",176,4
"167",177,5
"168",178,4
"169",180,5
"170",181,5
"171",182,4
"172",184,2
"173",186,2
"174",187,2
"175",189,4
"176",190,3
"177",191,3
"178",192,3
"179",193,3
"180",194,3
"181",195,5
"182",196,4
"183",197,4
"184",198,5
"185",200,NA
"186",201,3
"187",202,2
"188",203,2
"189",204,5
"190",205,5
"191",206,2
"192",207,2
"193",208,3
"194",209,3
"195",211,2
"196",212,2
"197",213,2
"198",214,2
"199",215,3
"200",216,4
"201",217,2
"202",218,3
"203",219,3
"204",220,5
"205",221,4
"206",222,4
"207",223,2
"208",224,5
"209",225,5
"210",226,3
"211",227,5
"212",228,3
"213",229,4
"214",230,5
"215",231,5
"216",232,4
"217",233,NA
"218",234,2
"219",235,3
"220",236,4
"221",237,3
"222",238,3
"223",239,4
"224",240,3
"225",241,3
"226",242,4
"227",243,4
"228",244,5
"229",245,2
"230",246,3
"231",247,5
"232",248,2
"233",249,4
"234",250,3
"235",251,4
"236",252,5
"237",253,5
"238",254,5
"239",255,5
"240",256,3
"241",257,4
