"","ID","nstate"
"1",2,NA
"2",3,NA
"3",4,NA
"4",5,NA
"5",6,NA
"6",7,3
"7",8,3
"8",9,NA
"9",10,2
"10",11,2
"11",12,NA
"12",14,5
"13",15,NA
"14",16,NA
"15",17,3
"16",18,4
"17",20,NA
"18",21,NA
"19",22,3
"20",23,NA
"21",24,4
"22",25,NA
"23",26,NA
"24",27,NA
"25",28,NA
"26",29,NA
"27",30,3
"28",31,NA
"29",32,NA
"30",33,NA
"31",34,2
"32",35,NA
"33",36,NA
"34",37,NA
"35",38,NA
"36",39,NA
"37",40,2
"38",41,NA
"39",42,NA
"40",43,2
"41",44,4
"42",46,NA
"43",47,NA
"44",48,3
"45",49,NA
"46",50,NA
"47",51,NA
"48",52,5
"49",53,NA
"50",54,NA
"51",55,NA
"52",56,NA
"53",57,5
"54",58,3
"55",59,3
"56",60,3
"57",61,3
"58",62,NA
"59",63,2
"60",64,NA
"61",65,NA
"62",66,NA
"63",67,NA
"64",68,3
"65",69,2
"66",70,2
"67",71,3
"68",72,NA
"69",73,NA
"70",74,2
"71",75,4
"72",76,3
"73",77,4
"74",78,3
"75",79,3
