"","ID","nstate"
"1",100,3
"2",101,5
"3",102,5
"4",103,5
"5",105,4
"6",106,5
"7",108,4
"8",109,5
"9",110,5
"10",111,4
"11",112,5
"12",113,4
"13",114,4
"14",115,4
"15",116,5
"16",117,4
"17",118,5
"18",119,4
"19",120,4
"20",121,5
"21",122,4
"22",123,4
"23",124,5
"24",125,4
"25",126,5
"26",127,5
"27",128,4
"28",129,5
"29",130,5
"30",131,4
"31",132,5
"32",133,5
"33",135,4
"34",136,4
"35",138,4
"36",139,5
"37",140,5
"38",141,4
"39",142,5
"40",180,3
"41",200,4
"42",201,5
"43",202,5
"44",203,4
"45",204,5
"46",205,5
"47",206,4
"48",207,2
"49",208,4
"50",209,5
"51",210,5
"52",211,5
"53",212,3
"54",213,2
"55",214,3
"56",215,5
"57",216,4
"58",217,5
"59",218,5
"60",219,5
"61",220,4
"62",221,5
"63",222,4
"64",223,5
"65",224,4
"66",225,5
"67",226,NA
"68",227,NA
"69",228,5
"70",229,4
"71",230,5
"72",231,5
"73",232,4
"74",233,5
"75",234,4
"76",235,5
"77",236,4
"78",237,5
"79",238,5
"80",240,4
"81",242,4
"82",243,5
"83",244,5
"84",245,5
"85",246,5
"86",247,5
"87",248,4
"88",249,5
"89",250,5
"90",251,5
"91",252,3
"92",253,5
"93",254,5
"94",255,5
"95",256,5
"96",257,4
"97",258,5
"98",259,4
"99",260,5
"100",261,4
"101",263,5
