"","ID","nstate"
"1",1,3
"2",2,5
"3",3,NA
"4",4,4
"5",5,NA
"6",6,NA
"7",7,NA
"8",8,3
"9",9,3
"10",10,3
"11",11,2
"12",12,5
"13",13,5
"14",14,5
"15",15,5
"16",16,4
"17",17,5
"18",18,NA
"19",19,NA
"20",20,NA
"21",21,NA
"22",22,5
"23",23,3
"24",24,2
"25",25,4
"26",26,4
"27",27,4
"28",28,NA
"29",29,5
"30",30,5
"31",31,5
"32",32,NA
"33",33,4
"34",34,NA
"35",35,5
"36",36,3
"37",37,4
"38",38,NA
"39",39,3
"40",40,NA
"41",41,5
"42",42,NA
"43",43,5
"44",44,NA
"45",45,4
"46",46,NA
"47",47,NA
"48",48,5
"49",49,NA
"50",50,3
"51",51,NA
"52",52,5
"53",53,NA
"54",54,5
"55",55,NA
"56",56,4
"57",57,NA
"58",58,5
"59",59,NA
"60",60,4
"61",61,NA
"62",62,NA
"63",63,5
"64",64,NA
"65",65,4
"66",66,2
"67",67,4
"68",68,NA
"69",69,5
"70",70,NA
"71",71,3
"72",72,NA
"73",73,NA
"74",74,NA
"75",75,3
"76",76,3
"77",77,4
"78",78,NA
"79",79,5
"80",80,2
"81",81,3
"82",82,NA
"83",83,3
"84",84,2
"85",85,3
"86",86,5
"87",87,NA
"88",88,NA
"89",89,NA
"90",90,3
"91",91,4
"92",92,NA
"93",93,3
"94",94,2
"95",95,4
"96",96,3
"97",97,5
