"","ID","nstate"
"1",1,5
"2",2,4
"3",3,4
"4",4,5
"5",6,5
"6",7,5
"7",8,5
"8",10,5
"9",11,5
"10",12,4
"11",13,5
"12",14,5
"13",15,5
"14",18,4
"15",19,5
"16",21,5
"17",22,5
"18",23,4
"19",24,5
"20",25,5
"21",26,5
"22",27,5
"23",28,5
"24",29,5
"25",30,5
"26",31,5
"27",32,5
"28",33,3
"29",34,3
"30",35,5
"31",36,5
"32",37,5
"33",39,5
"34",40,5
"35",41,5
"36",43,5
"37",46,5
"38",47,5
"39",48,5
"40",50,5
"41",51,4
"42",52,5
"43",53,5
"44",55,5
"45",56,5
"46",57,5
"47",58,5
"48",60,5
"49",61,5
"50",62,4
"51",63,5
"52",64,5
"53",66,5
"54",67,5
"55",68,5
"56",70,5
"57",71,5
"58",72,4
"59",74,4
"60",79,5
"61",80,5
"62",81,5
"63",84,5
"64",86,4
"65",87,5
"66",88,5
"67",93,5
"68",94,5
"69",95,NA
"70",96,3
"71",97,5
"72",99,5
"73",100,5
"74",101,5
"75",102,5
"76",103,4
"77",104,4
"78",105,4
"79",106,5
"80",107,5
"81",108,5
"82",109,5
"83",110,4
"84",111,5
"85",112,5
"86",113,5
"87",114,NA
"88",115,5
"89",116,5
"90",117,5
"91",118,3
"92",119,5
"93",120,5
"94",121,4
"95",122,4
"96",123,5
"97",124,5
"98",125,5
"99",126,5
"100",127,5
"101",128,5
"102",129,5
"103",130,5
"104",131,5
"105",132,5
"106",133,5
"107",134,5
"108",135,5
"109",137,5
"110",138,4
"111",139,5
"112",140,5
"113",141,4
"114",143,5
"115",145,5
"116",146,5
"117",147,5
"118",148,3
"119",152,5
"120",154,5
"121",156,5
"122",159,5
"123",161,5
"124",163,5
"125",164,4
