"","ID","nstate"
"1",1,4
"2",3,5
"3",4,5
"4",5,4
"5",7,4
"6",8,3
"7",11,5
"8",12,3
"9",13,4
"10",14,4
"11",15,4
"12",16,5
"13",18,5
"14",20,3
"15",21,3
"16",22,5
"17",23,4
"18",24,3
"19",25,4
"20",27,5
"21",28,3
"22",29,5
"23",30,3
"24",31,2
"25",32,4
"26",33,5
"27",34,5
"28",35,3
"29",36,4
"30",37,4
"31",38,5
"32",40,4
"33",43,4
"34",44,4
"35",45,5
"36",46,5
"37",47,5
"38",48,2
"39",51,5
"40",52,5
"41",53,5
"42",54,4
"43",55,3
"44",56,5
"45",58,5
"46",59,5
"47",60,5
"48",62,5
"49",63,3
"50",64,3
"51",65,3
"52",66,3
"53",67,4
"54",68,3
"55",69,NA
"56",70,4
"57",71,5
"58",72,5
"59",73,4
"60",74,4
"61",75,4
"62",76,NA
"63",77,NA
"64",78,4
"65",79,5
"66",80,5
"67",81,3
"68",82,5
"69",83,4
"70",84,4
"71",85,5
"72",86,3
"73",87,5
"74",88,5
"75",89,5
"76",90,3
"77",91,5
"78",92,5
"79",93,3
"80",94,3
"81",95,3
"82",96,3
"83",97,4
"84",99,3
"85",100,3
"86",102,3
"87",103,4
"88",104,3
"89",105,5
"90",106,3
"91",108,NA
"92",109,4
"93",110,4
"94",111,NA
"95",112,3
"96",113,5
"97",114,4
"98",115,3
"99",116,5
"100",117,NA
"101",118,4
"102",119,5
"103",120,4
"104",121,5
"105",122,5
"106",123,4
"107",124,2
"108",125,5
"109",126,5
"110",127,4
"111",129,5
"112",130,5
"113",131,2
