"","ID","nstate"
"1",150034,4
"2",150035,3
"3",150036,NA
"4",150038,4
"5",150039,5
"6",150040,3
"7",150041,2
"8",150042,5
"9",150043,NA
"10",150045,4
"11",150046,5
"12",150047,4
"13",150048,NA
"14",150051,3
"15",150057,NA
"16",150058,4
"17",150060,2
"18",150066,2
"19",150067,NA
"20",150070,4
"21",150071,NA
"22",150072,NA
"23",150074,2
"24",150075,NA
"25",150076,NA
"26",150077,NA
"27",150079,NA
"28",150080,NA
"29",150081,NA
"30",150082,2
"31",150083,3
"32",150086,4
"33",150087,4
"34",150088,NA
"35",150090,NA
"36",150091,NA
"37",150092,NA
"38",150093,3
"39",150094,4
"40",150095,4
"41",150096,NA
"42",150098,NA
"43",150101,4
"44",150102,4
"45",150103,4
"46",150105,3
"47",150106,NA
"48",150107,NA
"49",150108,NA
"50",150109,2
"51",150110,NA
"52",150112,4
"53",150113,2
"54",150114,NA
