"","ID","2","3","4","5"
"1",2,NA,NA,NA,NA
"2",3,NA,NA,NA,NA
"3",4,NA,NA,NA,NA
"4",5,NA,NA,NA,NA
"5",6,NA,NA,NA,NA
"6",7,1,4,100,100
"7",8,1,2,100,100
"8",9,NA,NA,NA,NA
"9",10,1,100,100,100
"10",11,34,100,100,100
"11",12,NA,NA,NA,NA
"12",14,14,100,100,34
"13",15,NA,NA,NA,NA
"14",16,NA,NA,NA,NA
"15",17,1,25,100,100
"16",18,100,17,3,61
"17",20,NA,NA,NA,NA
"18",21,NA,NA,NA,NA
"19",22,1,7,19,100
"20",23,NA,NA,NA,NA
"21",24,1,1,25,100
"22",25,NA,NA,NA,NA
"23",26,NA,NA,NA,NA
"24",27,NA,NA,NA,NA
"25",28,NA,NA,NA,NA
"26",29,NA,NA,NA,NA
"27",30,2,32,100,100
"28",31,NA,NA,NA,NA
"29",32,NA,NA,NA,NA
"30",33,NA,NA,NA,NA
"31",34,71,100,100,100
"32",35,NA,NA,NA,NA
"33",36,NA,NA,NA,NA
"34",37,NA,NA,NA,NA
"35",38,NA,NA,NA,NA
"36",39,NA,NA,NA,NA
"37",40,30,100,100,100
"38",41,NA,NA,NA,NA
"39",42,NA,NA,NA,NA
"40",43,52,100,100,100
"41",44,3,36,59,100
"42",46,NA,NA,NA,NA
"43",47,NA,NA,NA,NA
"44",48,11,20,100,100
"45",49,NA,NA,NA,NA
"46",50,NA,NA,NA,NA
"47",51,NA,NA,NA,NA
"48",52,1,1,6,6
"49",53,NA,NA,NA,NA
"50",54,NA,NA,NA,NA
"51",55,NA,NA,NA,NA
"52",56,NA,NA,NA,NA
"53",57,1,2,2,18
"54",58,2,16,22,100
"55",59,6,30,100,100
"56",60,100,23,100,100
"57",61,1,1,74,100
"58",62,NA,NA,NA,NA
"59",63,90,100,100,100
"60",64,NA,NA,NA,NA
"61",65,NA,NA,NA,NA
"62",66,NA,NA,NA,NA
"63",67,NA,NA,NA,NA
"64",68,78,4,6,100
"65",69,56,100,100,100
"66",70,1,100,100,100
"67",71,2,4,100,100
"68",72,NA,NA,NA,NA
"69",73,NA,NA,NA,NA
"70",74,24,100,100,100
"71",75,100,100,6,100
"72",76,1,24,100,100
"73",77,1,1,5,100
"74",78,13,42,100,100
"75",79,100,4,100,100
