"","ID","Angry","Afraid","Anxious","Guilty","Embarrassed","Ashamed","Sad","Strong","Happy","Confident","Clarity"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,0.245934440495129,0.00269660002416456,0.00884889164523089,0.00242067178591106,0.000186777836962438,6.6071606122771e-05,0.162791745816405,3.67064472025192e-06,0.28210524779409,0.266449866073267,0.152290911278851
"4",4,0.0587439843348027,0.0698606764005244,0.26608572012925,0.0699256754825273,0.17270918647279,0.0385839580705137,0.203237908423858,1.47922449080961e-05,0.160023319314527,0.106306251004814,0.159428984927881
"5",5,0.103408659696347,0.126881293719573,0.077635663328725,0.0876536088497531,0.0787158700293181,0.143063064025555,0.127487422723921,0.000693931389440427,0.0760048483548122,0.0993431354753474,0.156027308420078
"6",6,0.338167220860554,0.556945065163096,0.145058009551585,0.160623537622395,0.121395775022904,0.119338405146855,0.257448069540745,0.00576724239211559,0.209080063439957,0.261883275567175,0.0159499229869186
"7",7,0.0634753651032862,0.165825279895863,0.166223596194048,0.110627655251839,0.0469621710053967,0.0886953389209876,0.171345660353472,0.000791684202753812,0.214082899620322,0.268825753952683,0.105845229825848
"8",8,0.0600655862682311,0.0407243972127304,0.14498374953219,0.0756783790422022,0.0124636548248891,0.0207554811584059,0.110087399667332,0.000820694209081667,0.136739289770848,0.142105024766367,0.0820353165780825
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,0.106842924610435,0.104857205969058,0.200796682719394,0.106258099777583,0.0505216514716981,0.0297206082556788,0.082736575877721,0.00440980279387516,0.205425810726672,0.0523279636916749,0.0321528805646847
"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,0.0556631933664801,0.020543176602531,0.0925591667455265,0.0563712175326981,0.0743330057873158,0.0538457139252879,0.0991291334020153,0.00315650872237246,0.228862767500205,0.155249691305483,0.009067658882835
"15",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,0.0710737705983122,0.089046685603384,0.063999032254499,0.167953359039414,0.186510028854021,0.246162646670858,0.0973036725120021,0.00455992913849167,0.184076610406386,0.14121530653584,0.0180278495145208
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,0.105830052442584,0.0799186927170343,0.424327555530351,0.156012211253894,0.0260485187097131,0.0105982095187925,0.301066198689195,0.00174332733417716,0.181398129570713,0.264655691223084,0.377417825257172
"29",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
