"","ID","Lively","FullOfEnergy","Energetic","Happy","Pleased","Helpful","AtEase","Calm","Relaxed","Sad","Depressed","Unhappy","OnEdge","Nervous","Tense","Hostile","Resentful","Angry"
"1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",7,0.270911725488625,0.354734732580661,0.268626582223968,0.209064599491493,0.166578607025925,0.246498222931696,0.165497213890569,0.164575048214405,0.155299528552922,0.164320993862246,0.127064406308297,0.178098750449165,0.189086904153831,0.164247286315536,0.127017067494061,0.172168034709472,0.219595886826482,0.141062662943359
"5",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",11,0.333952343070878,0.422656378022219,0.414224521692029,0.243703983808074,0.170832577008606,0.126018832530524,0.311544520441352,0.39535692554876,0.413992907018921,0.242631184096149,0.234722733441933,0.266921385953035,0.350392846996877,0.399832440068355,0.376391293988931,0.140111676587612,0.0446220505907658,0.099625190286688
"8",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",17,0.312639952796596,0.253655507060488,0.216538494417113,0.144537643891524,0.333240799887912,0.273005782590258,0.18973585881373,0.498700671797701,0.367519231126092,0.143749145457959,0.252439932242919,0.329830556842385,0.163847902431589,0.234331913614476,0.148998548690013,0.10977755860146,0.139710318246684,0.105074792214297
"12",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",22,0.0832823565156197,0.000201809590066767,0.0605085474823511,0.198468804070357,0.0651079492550121,0.00732983665358561,0.0279880329779676,0.134045555890767,0.132754965170563,0.309334235478284,0.132670349854095,0.276184414973555,0.184715088579464,0.214198592273846,0.200158408373564,0.0631929707120821,0.361648139342903,0.23753305374566
"16",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
