"","ID","nstate"
"1",701,NA
"2",703,NA
"3",705,2
"4",708,NA
"5",710,NA
"6",712,2
"7",713,2
"8",714,NA
"9",716,2
"10",717,NA
"11",720,3
"12",723,NA
"13",724,NA
"14",728,NA
"15",731,NA
"16",732,2
"17",733,2
"18",734,3
"19",735,NA
"20",740,NA
"21",741,NA
"22",745,2
"23",746,NA
"24",747,NA
"25",753,2
"26",755,NA
"27",758,2
"28",759,NA
"29",761,NA
"30",763,2
"31",764,NA
"32",765,2
"33",767,2
"34",770,2
"35",772,2
"36",773,2
"37",774,NA
"38",777,NA
"39",778,2
"40",779,NA
"41",780,2
"42",783,3
"43",785,NA
"44",786,2
"45",788,NA
"46",789,NA
"47",790,2
"48",791,NA
"49",794,2
"50",795,4
"51",796,NA
"52",798,NA
"53",800,3
"54",803,NA
"55",805,NA
"56",808,NA
"57",809,2
"58",812,2
"59",813,NA
"60",815,NA
"61",816,2
"62",1402,2
"63",1406,NA
"64",1410,2
"65",1416,NA
"66",1420,NA
"67",1424,3
"68",1426,3
"69",1428,NA
"70",1432,3
"71",1434,2
"72",1440,2
"73",1446,2
"74",1448,NA
"75",1456,NA
"76",1462,5
"77",1464,NA
"78",1466,2
"79",1468,NA
"80",1470,NA
"81",1480,NA
"82",1482,2
"83",1492,NA
"84",1494,2
"85",1506,NA
"86",1510,2
"87",1518,NA
"88",1522,NA
"89",1528,2
"90",1530,NA
"91",1534,4
"92",1540,2
"93",1546,2
"94",1548,NA
"95",1554,2
"96",1556,NA
"97",1560,NA
"98",1572,2
"99",1576,NA
"100",1578,2
"101",1582,2
"102",1590,2
"103",1592,NA
"104",1596,2
"105",1600,NA
"106",1606,2
"107",1610,2
"108",1616,NA
"109",1624,2
"110",1626,2
"111",1630,NA
"112",1632,3
