"","ID","nstate"
"1",1,NA
"2",2,NA
"3",3,NA
"4",4,2
"5",5,4
"6",6,NA
"7",7,NA
"8",8,NA
"9",9,NA
"10",10,NA
"11",11,2
"12",12,NA
"13",13,NA
"14",14,3
"15",15,NA
"16",16,NA
"17",17,NA
"18",18,NA
"19",19,NA
"20",20,NA
"21",21,NA
"22",22,NA
"23",23,NA
"24",24,NA
"25",25,2
"26",26,NA
"27",27,NA
"28",28,NA
"29",29,NA
"30",30,NA
"31",31,NA
"32",32,NA
"33",33,NA
"34",34,NA
"35",35,NA
"36",36,NA
"37",37,NA
"38",38,NA
"39",39,NA
"40",40,NA
"41",41,NA
"42",42,NA
"43",43,NA
"44",44,NA
"45",45,NA
"46",46,NA
"47",47,NA
"48",48,NA
"49",49,NA
"50",50,NA
"51",51,NA
"52",52,NA
"53",53,2
"54",54,NA
"55",55,2
"56",56,NA
"57",57,NA
"58",58,NA
"59",59,NA
"60",60,NA
"61",61,NA
"62",62,NA
"63",63,NA
"64",64,NA
"65",65,NA
"66",66,NA
"67",67,NA
"68",68,NA
"69",69,NA
"70",70,NA
"71",71,2
"72",72,NA
"73",73,NA
"74",74,NA
"75",75,NA
"76",76,NA
"77",77,NA
"78",78,NA
"79",79,4
"80",80,NA
"81",81,NA
"82",82,NA
"83",83,NA
"84",84,NA
"85",85,NA
