"","ID","nstate"
"1",1,3
"2",3,4
"3",4,5
"4",5,4
"5",7,4
"6",8,2
"7",11,3
"8",12,3
"9",13,4
"10",14,4
"11",15,5
"12",16,4
"13",18,4
"14",20,5
"15",21,3
"16",22,3
"17",23,3
"18",24,2
"19",25,NA
"20",27,4
"21",28,4
"22",29,5
"23",30,5
"24",31,3
"25",32,3
"26",33,NA
"27",34,4
"28",35,NA
"29",36,2
"30",37,3
"31",38,5
"32",40,3
"33",43,NA
"34",44,3
"35",45,3
"36",46,5
"37",47,4
"38",48,2
"39",51,3
"40",52,5
"41",53,3
"42",54,5
"43",55,NA
"44",56,4
"45",58,3
"46",59,NA
"47",60,4
"48",62,4
"49",63,3
"50",64,4
"51",65,2
"52",66,3
"53",67,5
"54",68,4
"55",69,NA
"56",70,2
"57",71,4
"58",72,3
"59",73,3
"60",74,3
"61",75,3
"62",76,NA
"63",77,NA
"64",78,4
"65",79,4
"66",80,4
"67",81,2
"68",82,3
"69",83,4
"70",84,3
"71",85,NA
"72",86,2
"73",87,2
"74",88,2
"75",89,3
"76",90,3
"77",91,4
"78",92,4
"79",93,2
"80",94,3
"81",95,3
"82",96,3
"83",97,3
"84",99,2
"85",100,3
"86",102,2
"87",103,2
"88",104,4
"89",105,3
"90",106,3
"91",108,2
"92",109,3
"93",110,2
"94",111,NA
"95",112,3
"96",113,3
"97",114,4
"98",115,4
"99",116,4
"100",117,NA
"101",118,5
"102",119,4
"103",120,2
"104",121,2
"105",122,4
"106",123,3
"107",124,NA
"108",125,5
"109",126,3
"110",127,3
"111",129,5
"112",130,4
"113",131,3
