"","ID","2","3","4","5"
"1",2,NA,NA,NA,NA
"2",3,1,1,1,2
"3",4,1,1,1,4
"4",6,1,1,1,2
"5",8,2,73,78,100
"6",9,1,6,100,100
"7",10,NA,NA,NA,NA
"8",12,1,1,1,1
"9",13,NA,NA,NA,NA
"10",20,1,1,1,1
"11",23,1,1,2,1
"12",26,1,1,1,3
"13",28,1,1,1,1
"14",31,1,1,1,1
"15",34,1,1,1,1
"16",38,1,1,1,1
"17",39,1,1,2,1
"18",41,1,1,1,1
"19",43,1,1,1,1
"20",46,1,1,1,1
"21",47,1,1,1,1
"22",48,34,100,100,100
"23",52,1,1,1,1
"24",57,1,1,1,1
"25",74,1,1,1,1
"26",82,1,1,2,1
"27",84,1,2,3,46
"28",90,1,1,1,2
"29",105,1,1,1,1
"30",107,1,1,1,2
"31",124,1,1,1,1
"32",125,1,1,1,1
"33",128,1,1,1,1
"34",154,1,1,2,2
"35",162,1,1,1,1
"36",172,1,1,1,1
"37",173,3,6,26,100
"38",181,1,4,1,2
"39",184,5,100,100,100
"40",186,1,1,1,1
"41",195,1,1,1,1
"42",202,1,1,1,1
"43",236,1,1,1,1
"44",239,NA,NA,NA,NA
"45",258,1,1,1,1
"46",259,1,100,100,100
"47",271,1,1,1,1
"48",281,1,1,1,2
"49",288,1,1,1,2
"50",300,NA,NA,NA,NA
"51",306,1,1,1,2
"52",323,1,2,1,1
"53",332,1,1,1,1
"54",352,1,1,1,1
"55",359,1,1,1,1
"56",364,1,1,1,4
"57",367,1,1,1,1
"58",370,1,1,1,1
"59",376,1,1,1,1
"60",379,7,100,100,100
"61",392,1,1,1,1
"62",394,1,3,9,100
"63",398,1,1,2,4
"64",405,1,1,1,1
"65",407,1,1,1,1
"66",426,1,1,1,2
"67",430,NA,NA,NA,NA
"68",435,1,1,1,1
"69",447,100,8,82,100
"70",449,1,1,2,1
"71",451,1,1,1,1
"72",454,1,1,1,1
"73",461,1,1,1,1
"74",465,NA,NA,NA,NA
"75",466,NA,NA,NA,NA
"76",497,1,1,1,1
"77",499,1,1,1,1
"78",500,1,1,1,1
"79",504,1,1,1,1
"80",512,1,1,1,2
"81",518,1,1,2,3
"82",520,1,1,5,51
"83",524,1,1,1,1
"84",526,1,1,1,1
"85",527,1,1,1,1
"86",529,32,100,100,100
"87",531,1,1,1,1
"88",536,1,1,1,1
"89",543,1,1,1,1
"90",556,1,1,1,1
"91",559,1,1,1,1
"92",560,1,1,1,1
"93",568,1,1,1,1
"94",587,1,1,1,1
"95",603,1,2,1,22
