"","ID","2","3","4","5"
"1",1,NA,NA,NA,NA
"2",2,NA,NA,NA,NA
"3",3,NA,NA,NA,NA
"4",4,NA,NA,NA,NA
"5",5,NA,NA,NA,NA
"6",6,21,100,100,100
"7",9,NA,NA,NA,NA
"8",10,NA,NA,NA,NA
"9",11,NA,NA,NA,NA
"10",12,NA,NA,NA,NA
"11",13,NA,NA,NA,NA
"12",14,NA,NA,NA,NA
"13",15,NA,NA,NA,NA
"14",16,NA,NA,NA,NA
"15",17,NA,NA,NA,NA
"16",18,NA,NA,NA,NA
"17",19,NA,NA,NA,NA
"18",20,NA,NA,NA,NA
"19",21,NA,NA,NA,NA
"20",22,NA,NA,NA,NA
"21",23,NA,NA,NA,NA
"22",24,NA,NA,NA,NA
"23",26,NA,NA,NA,NA
"24",28,NA,NA,NA,NA
"25",29,NA,NA,NA,NA
"26",30,NA,NA,NA,NA
"27",31,NA,NA,NA,NA
"28",32,NA,NA,NA,NA
"29",33,NA,NA,NA,NA
"30",34,NA,NA,NA,NA
"31",35,NA,NA,NA,NA
"32",36,NA,NA,NA,NA
"33",37,100,100,32,100
"34",38,NA,NA,NA,NA
"35",39,NA,NA,NA,NA
"36",40,NA,NA,NA,NA
"37",41,NA,NA,NA,NA
"38",43,NA,NA,NA,NA
"39",44,NA,NA,NA,NA
"40",46,NA,NA,NA,NA
"41",47,NA,NA,NA,NA
"42",48,NA,NA,NA,NA
"43",49,NA,NA,NA,NA
"44",50,NA,NA,NA,NA
"45",51,NA,NA,NA,NA
"46",52,NA,NA,NA,NA
"47",53,NA,NA,NA,NA
"48",55,NA,NA,NA,NA
"49",56,NA,NA,NA,NA
"50",57,NA,NA,NA,NA
"51",58,NA,NA,NA,NA
"52",59,NA,NA,NA,NA
"53",60,NA,NA,NA,NA
"54",62,NA,NA,NA,NA
"55",63,NA,NA,NA,NA
"56",64,NA,NA,NA,NA
"57",65,NA,NA,NA,NA
"58",67,NA,NA,NA,NA
"59",68,NA,NA,NA,NA
"60",69,15,100,100,100
"61",70,NA,NA,NA,NA
"62",71,NA,NA,NA,NA
"63",72,NA,NA,NA,NA
"64",73,NA,NA,NA,NA
"65",74,NA,NA,NA,NA
"66",76,NA,NA,NA,NA
"67",77,NA,NA,NA,NA
"68",78,NA,NA,NA,NA
"69",79,NA,NA,NA,NA
"70",80,NA,NA,NA,NA
"71",81,NA,NA,NA,NA
"72",83,NA,NA,NA,NA
"73",84,NA,NA,NA,NA
"74",85,NA,NA,NA,NA
"75",86,NA,NA,NA,NA
"76",87,NA,NA,NA,NA
"77",88,NA,NA,NA,NA
"78",89,NA,NA,NA,NA
"79",90,NA,NA,NA,NA
"80",91,NA,NA,NA,NA
"81",94,NA,NA,NA,NA
"82",95,NA,NA,NA,NA
"83",96,NA,NA,NA,NA
"84",97,NA,NA,NA,NA
"85",98,NA,NA,NA,NA
"86",99,NA,NA,NA,NA
"87",100,NA,NA,NA,NA
"88",101,NA,NA,NA,NA
"89",102,NA,NA,NA,NA
"90",103,NA,NA,NA,NA
"91",104,NA,NA,NA,NA
"92",105,NA,NA,NA,NA
"93",106,NA,NA,NA,NA
"94",107,NA,NA,NA,NA
"95",108,NA,NA,NA,NA
"96",109,NA,NA,NA,NA
"97",110,NA,NA,NA,NA
"98",111,NA,NA,NA,NA
"99",112,NA,NA,NA,NA
"100",113,NA,NA,NA,NA
"101",114,NA,NA,NA,NA
"102",115,NA,NA,NA,NA
"103",116,NA,NA,NA,NA
