"","ID","Excited","Worried","Anxiety","Sad","Relaxed"
"1",10720,NA,NA,NA,NA,NA
"2",10722,NA,NA,NA,NA,NA
"3",10724,NA,NA,NA,NA,NA
"4",10725,NA,NA,NA,NA,NA
"5",10726,NA,NA,NA,NA,NA
"6",10727,NA,NA,NA,NA,NA
"7",10728,NA,NA,NA,NA,NA
"8",10729,NA,NA,NA,NA,NA
"9",10732,NA,NA,NA,NA,NA
"10",10734,NA,NA,NA,NA,NA
"11",10735,NA,NA,NA,NA,NA
"12",10736,NA,NA,NA,NA,NA
"13",10737,NA,NA,NA,NA,NA
"14",10738,NA,NA,NA,NA,NA
"15",10739,NA,NA,NA,NA,NA
"16",10740,NA,NA,NA,NA,NA
"17",10741,NA,NA,NA,NA,NA
"18",10742,NA,NA,NA,NA,NA
"19",10744,NA,NA,NA,NA,NA
"20",10746,NA,NA,NA,NA,NA
"21",10747,NA,NA,NA,NA,NA
"22",10748,NA,NA,NA,NA,NA
"23",10750,NA,NA,NA,NA,NA
"24",10751,NA,NA,NA,NA,NA
"25",10753,NA,NA,NA,NA,NA
"26",10754,NA,NA,NA,NA,NA
"27",10755,NA,NA,NA,NA,NA
"28",10756,NA,NA,NA,NA,NA
"29",10757,NA,NA,NA,NA,NA
"30",10758,NA,NA,NA,NA,NA
"31",10759,NA,NA,NA,NA,NA
"32",10760,NA,NA,NA,NA,NA
"33",10761,NA,NA,NA,NA,NA
"34",10762,NA,NA,NA,NA,NA
"35",10763,NA,NA,NA,NA,NA
"36",10764,NA,NA,NA,NA,NA
"37",10765,NA,NA,NA,NA,NA
"38",10766,NA,NA,NA,NA,NA
"39",10768,NA,NA,NA,NA,NA
"40",10769,NA,NA,NA,NA,NA
"41",10770,NA,NA,NA,NA,NA
"42",10771,NA,NA,NA,NA,NA
"43",10772,NA,NA,NA,NA,NA
"44",10773,NA,NA,NA,NA,NA
"45",10774,NA,NA,NA,NA,NA
"46",10775,NA,NA,NA,NA,NA
"47",10776,NA,NA,NA,NA,NA
"48",10777,NA,NA,NA,NA,NA
"49",10778,NA,NA,NA,NA,NA
"50",10779,NA,NA,NA,NA,NA
"51",10780,NA,NA,NA,NA,NA
"52",10781,NA,NA,NA,NA,NA
"53",10782,NA,NA,NA,NA,NA
"54",10783,0.0895138115203801,0.0334560173683318,0.0459884429495394,0.308230527873175,0.0630589908958684
"55",10784,NA,NA,NA,NA,NA
"56",10785,NA,NA,NA,NA,NA
"57",10786,NA,NA,NA,NA,NA
"58",10787,NA,NA,NA,NA,NA
"59",10790,NA,NA,NA,NA,NA
"60",10791,NA,NA,NA,NA,NA
"61",10792,NA,NA,NA,NA,NA
"62",10793,NA,NA,NA,NA,NA
"63",10794,NA,NA,NA,NA,NA
"64",10795,NA,NA,NA,NA,NA
"65",10796,NA,NA,NA,NA,NA
"66",10797,NA,NA,NA,NA,NA
"67",10799,NA,NA,NA,NA,NA
"68",10800,NA,NA,NA,NA,NA
"69",10801,NA,NA,NA,NA,NA
"70",10802,NA,NA,NA,NA,NA
"71",10803,NA,NA,NA,NA,NA
"72",10804,NA,NA,NA,NA,NA
"73",10805,NA,NA,NA,NA,NA
"74",10807,NA,NA,NA,NA,NA
"75",10808,NA,NA,NA,NA,NA
"76",10809,NA,NA,NA,NA,NA
"77",10810,NA,NA,NA,NA,NA
"78",10811,NA,NA,NA,NA,NA
"79",10812,NA,NA,NA,NA,NA
"80",10813,NA,NA,NA,NA,NA
"81",10814,NA,NA,NA,NA,NA
"82",10815,NA,NA,NA,NA,NA
"83",10816,NA,NA,NA,NA,NA
"84",10817,NA,NA,NA,NA,NA
"85",10818,NA,NA,NA,NA,NA
"86",10819,NA,NA,NA,NA,NA
"87",10820,NA,NA,NA,NA,NA
"88",10821,NA,NA,NA,NA,NA
"89",10822,NA,NA,NA,NA,NA
"90",10823,NA,NA,NA,NA,NA
"91",10824,NA,NA,NA,NA,NA
"92",10826,NA,NA,NA,NA,NA
"93",10827,NA,NA,NA,NA,NA
"94",10828,NA,NA,NA,NA,NA
"95",10829,NA,NA,NA,NA,NA
"96",10830,NA,NA,NA,NA,NA
"97",10831,NA,NA,NA,NA,NA
"98",10832,NA,NA,NA,NA,NA
"99",10833,NA,NA,NA,NA,NA
"100",10834,NA,NA,NA,NA,NA
"101",10835,NA,NA,NA,NA,NA
"102",10836,NA,NA,NA,NA,NA
"103",10837,0.0981627693256271,0.0769320415360916,0.0455147550041894,0.0468751484850729,0.205594675470751
"104",10838,NA,NA,NA,NA,NA
"105",10839,NA,NA,NA,NA,NA
"106",10840,NA,NA,NA,NA,NA
"107",10841,NA,NA,NA,NA,NA
"108",10842,NA,NA,NA,NA,NA
"109",10843,NA,NA,NA,NA,NA
"110",10844,NA,NA,NA,NA,NA
"111",10845,NA,NA,NA,NA,NA
"112",10846,NA,NA,NA,NA,NA
"113",10847,NA,NA,NA,NA,NA
"114",10848,NA,NA,NA,NA,NA
"115",10849,0.144922451437692,0.175101705073011,0.328927630078805,0.140010955185216,0.162399000218798
"116",10850,NA,NA,NA,NA,NA
"117",10851,NA,NA,NA,NA,NA
"118",10852,NA,NA,NA,NA,NA
"119",10853,NA,NA,NA,NA,NA
"120",10854,NA,NA,NA,NA,NA
"121",10855,NA,NA,NA,NA,NA
"122",10856,NA,NA,NA,NA,NA
"123",10857,NA,NA,NA,NA,NA
"124",10858,NA,NA,NA,NA,NA
"125",10859,NA,NA,NA,NA,NA
"126",10860,NA,NA,NA,NA,NA
"127",10861,NA,NA,NA,NA,NA
"128",10862,NA,NA,NA,NA,NA
"129",10863,NA,NA,NA,NA,NA
