"","ID","nstate"
"1",1,NA
"2",2,NA
"3",3,NA
"4",4,NA
"5",5,NA
"6",6,NA
"7",7,NA
"8",8,NA
"9",9,NA
"10",10,NA
"11",11,NA
"12",12,NA
"13",13,NA
"14",14,NA
"15",15,NA
"16",16,NA
"17",17,NA
"18",18,NA
"19",19,NA
"20",20,NA
"21",21,NA
"22",22,2
"23",23,2
"24",24,NA
"25",25,NA
"26",26,NA
"27",27,2
"28",28,2
"29",29,NA
"30",30,NA
"31",31,2
"32",32,NA
"33",33,NA
"34",34,NA
"35",35,NA
"36",36,NA
"37",37,NA
"38",38,NA
"39",39,NA
"40",40,NA
"41",41,NA
"42",42,NA
"43",43,NA
"44",44,NA
"45",45,NA
"46",46,NA
"47",47,NA
"48",48,NA
"49",49,NA
"50",50,NA
"51",51,NA
"52",52,NA
"53",53,NA
"54",54,NA
"55",55,NA
"56",56,NA
"57",57,NA
"58",58,NA
"59",59,NA
"60",60,NA
"61",61,NA
"62",62,3
"63",63,NA
"64",64,5
"65",65,NA
"66",66,2
"67",67,NA
"68",68,NA
"69",69,NA
"70",70,NA
"71",71,NA
"72",72,NA
"73",73,2
"74",74,3
"75",75,NA
"76",76,NA
"77",77,NA
"78",78,NA
"79",79,NA
"80",80,NA
"81",81,NA
"82",82,3
"83",83,NA
"84",84,NA
"85",85,NA
"86",86,NA
"87",87,NA
"88",88,3
"89",89,NA
"90",90,2
"91",91,NA
"92",92,NA
"93",93,NA
"94",94,2
"95",95,2
"96",96,NA
"97",97,NA
"98",98,NA
"99",99,NA
"100",100,NA
"101",101,NA
"102",102,NA
"103",103,NA
"104",104,NA
"105",105,NA
"106",106,NA
"107",107,NA
"108",108,2
"109",109,NA
"110",110,2
"111",111,NA
"112",112,NA
"113",113,NA
"114",114,NA
"115",115,2
"116",116,2
"117",117,NA
"118",118,NA
"119",119,NA
"120",120,NA
"121",121,4
"122",122,3
"123",123,NA
"124",124,NA
"125",125,3
"126",126,NA
"127",127,NA
"128",128,NA
"129",129,NA
"130",130,3
"131",131,2
"132",132,NA
"133",133,NA
"134",134,NA
"135",135,NA
"136",136,NA
"137",137,NA
"138",138,NA
"139",139,NA
"140",140,3
