"","ID","nstate"
"1",27953,NA
"2",27954,NA
"3",27955,NA
"4",27956,NA
"5",27957,4
"6",27958,NA
"7",27959,NA
"8",27966,2
"9",27972,2
"10",27984,3
"11",27985,NA
"12",27987,3
"13",27994,3
"14",27995,NA
"15",27999,2
"16",28004,NA
"17",28010,NA
"18",28012,NA
"19",28039,NA
"20",28063,2
"21",28065,NA
"22",28081,NA
"23",28085,NA
"24",28092,2
"25",28097,2
"26",28116,3
"27",28118,5
"28",28119,NA
"29",28120,NA
"30",28122,NA
"31",28127,NA
"32",28147,NA
"33",28150,NA
"34",28151,NA
"35",28153,NA
"36",28160,2
"37",28166,3
"38",28171,NA
"39",28174,NA
"40",28187,NA
"41",28188,NA
"42",28195,NA
"43",28197,NA
"44",28199,2
"45",28233,NA
"46",28236,NA
"47",28336,3
"48",28425,NA
"49",28427,NA
"50",28432,NA
"51",28447,NA
"52",28448,NA
"53",28492,3
"54",28496,2
"55",28546,2
"56",28695,NA
"57",28697,NA
"58",28729,NA
"59",28734,2
"60",28747,4
"61",28748,NA
"62",28749,3
"63",28750,NA
"64",28753,NA
"65",28759,2
"66",28763,NA
"67",28766,NA
"68",28771,NA
"69",28778,NA
"70",28779,NA
"71",28783,2
"72",28784,NA
"73",28787,NA
"74",28842,NA
"75",28937,2
"76",28959,NA
"77",28963,2
"78",28964,2
"79",28967,NA
"80",28979,NA
"81",28993,3
"82",28997,NA
"83",29151,NA
"84",29154,3
"85",29155,NA
"86",29157,NA
"87",29159,NA
"88",29162,3
"89",29163,NA
"90",29164,NA
"91",29165,NA
"92",29166,NA
"93",29167,NA
"94",29174,2
"95",29176,NA
"96",29189,3
"97",29190,3
"98",29196,NA
"99",29335,2
"100",39458,2
"101",39812,NA
"102",39813,2
"103",40020,NA
"104",40021,3
"105",40022,2
"106",40023,2
"107",40024,2
"108",40041,2
"109",40044,NA
"110",40116,NA
"111",40263,NA
"112",40359,NA
"113",40612,NA
"114",40615,NA
"115",40616,2
"116",40638,2
"117",40641,2
"118",40645,3
"119",40807,3
"120",40973,3
"121",42356,NA
"122",42360,NA
"123",42391,NA
"124",42415,NA
"125",42416,NA
"126",42417,NA
"127",42418,NA
"128",42420,NA
"129",42429,NA
"130",42430,NA
"131",42454,NA
"132",42461,3
"133",42469,2
"134",42591,NA
"135",42720,2
"136",42721,NA
"137",42785,NA
"138",42907,NA
