"","ID","2","3","4","5"
"1",54016,NA,NA,NA,NA
"2",54049,1,1,1,1
"3",54050,1,1,1,2
"4",54064,1,1,1,3
"5",54067,NA,NA,NA,NA
"6",54070,1,1,2,1
"7",54071,1,1,1,1
"8",54075,NA,NA,NA,NA
"9",54090,NA,NA,NA,NA
"10",54096,NA,NA,NA,NA
"11",54098,NA,NA,NA,NA
"12",54102,NA,NA,NA,NA
"13",54103,NA,NA,NA,NA
"14",54114,NA,NA,NA,NA
"15",54115,NA,NA,NA,NA
"16",54117,NA,NA,NA,NA
"17",54119,NA,NA,NA,NA
"18",54121,NA,NA,NA,NA
"19",54128,NA,NA,NA,NA
"20",54129,NA,NA,NA,NA
"21",54131,NA,NA,NA,NA
"22",54134,NA,NA,NA,NA
"23",54135,NA,NA,NA,NA
"24",54138,NA,NA,NA,NA
"25",54146,NA,NA,NA,NA
"26",54148,NA,NA,NA,NA
"27",54151,NA,NA,NA,NA
"28",54153,NA,NA,NA,NA
"29",54157,NA,NA,NA,NA
"30",54158,NA,NA,NA,NA
"31",54180,NA,NA,NA,NA
"32",54183,NA,NA,NA,NA
