"","ID","2","3","4","5"
"1",1,NA,NA,NA,NA
"2",2,NA,NA,NA,NA
"3",3,NA,NA,NA,NA
"4",4,1,100,100,100
"5",5,8,100,100,100
"6",6,1,65,100,100
"7",9,NA,NA,NA,NA
"8",10,NA,NA,NA,NA
"9",11,NA,NA,NA,NA
"10",12,NA,NA,NA,NA
"11",13,NA,NA,NA,NA
"12",14,NA,NA,NA,NA
"13",15,NA,NA,NA,NA
"14",16,NA,NA,NA,NA
"15",17,NA,NA,NA,NA
"16",18,81,100,100,100
"17",19,NA,NA,NA,NA
"18",20,2,100,100,100
"19",21,NA,NA,NA,NA
"20",22,NA,NA,NA,NA
"21",23,3,17,100,100
"22",24,NA,NA,NA,NA
"23",26,NA,NA,NA,NA
"24",28,NA,NA,NA,NA
"25",29,24,94,100,100
"26",30,2,1,27,44
"27",31,NA,NA,NA,NA
"28",32,3,100,100,100
"29",33,1,1,7,7
"30",34,NA,NA,NA,NA
"31",35,NA,NA,NA,NA
"32",36,NA,NA,NA,NA
"33",37,100,21,100,100
"34",38,NA,NA,NA,NA
"35",39,NA,NA,NA,NA
"36",40,NA,NA,NA,NA
"37",41,1,1,1,6
"38",43,1,8,42,100
"39",44,NA,NA,NA,NA
"40",46,NA,NA,NA,NA
"41",47,NA,NA,NA,NA
"42",48,NA,NA,NA,NA
"43",49,NA,NA,NA,NA
"44",50,NA,NA,NA,NA
"45",51,NA,NA,NA,NA
"46",52,NA,NA,NA,NA
"47",53,4,100,100,100
"48",55,NA,NA,NA,NA
"49",56,NA,NA,NA,NA
"50",57,1,5,31,95
"51",58,35,100,100,100
"52",59,NA,NA,NA,NA
"53",60,NA,NA,NA,NA
"54",62,NA,NA,NA,NA
"55",63,NA,NA,NA,NA
"56",64,NA,NA,NA,NA
"57",65,30,100,100,100
"58",67,NA,NA,NA,NA
"59",68,100,20,100,11
"60",69,18,100,100,100
"61",70,NA,NA,NA,NA
"62",71,22,100,100,100
"63",72,NA,NA,NA,NA
"64",73,NA,NA,NA,NA
"65",74,NA,NA,NA,NA
"66",76,8,100,100,100
"67",77,NA,NA,NA,NA
"68",78,NA,NA,NA,NA
"69",79,NA,NA,NA,NA
"70",80,21,100,100,100
"71",81,NA,NA,NA,NA
"72",83,2,100,100,100
"73",84,1,1,4,21
"74",85,NA,NA,NA,NA
"75",86,1,11,1,17
"76",87,9,100,100,100
"77",88,NA,NA,NA,NA
"78",89,73,100,100,100
"79",90,3,100,100,100
"80",91,NA,NA,NA,NA
"81",94,NA,NA,NA,NA
"82",95,40,100,100,100
"83",96,NA,NA,NA,NA
"84",97,NA,NA,NA,NA
"85",98,1,100,100,100
"86",99,NA,NA,NA,NA
"87",100,7,1,100,100
"88",101,2,1,66,100
"89",102,NA,NA,NA,NA
"90",103,NA,NA,NA,NA
"91",104,NA,NA,NA,NA
"92",105,NA,NA,NA,NA
"93",106,36,100,100,100
"94",107,16,15,100,100
"95",108,3,100,100,100
"96",109,1,1,33,89
"97",110,NA,NA,NA,NA
"98",111,NA,NA,NA,NA
"99",112,80,100,100,100
"100",113,2,100,100,100
"101",114,1,1,4,100
"102",115,NA,NA,NA,NA
"103",116,2,5,13,47
