"","ID","nstate"
"1",201,NA
"2",202,2
"3",203,3
"4",204,2
"5",205,3
"6",206,NA
"7",207,NA
"8",208,2
"9",209,NA
"10",210,2
"11",211,NA
"12",212,NA
"13",213,NA
"14",214,NA
"15",215,NA
"16",217,2
"17",218,2
"18",219,NA
"19",220,NA
"20",221,NA
"21",222,2
"22",223,NA
"23",224,2
"24",225,NA
"25",226,3
"26",227,2
"27",228,2
"28",229,NA
"29",230,NA
"30",231,3
"31",232,4
"32",233,NA
"33",234,NA
"34",235,2
"35",236,NA
"36",237,3
"37",238,NA
"38",239,NA
"39",240,3
"40",241,NA
"41",242,NA
"42",243,NA
"43",244,2
"44",245,2
"45",246,3
"46",247,NA
"47",248,NA
"48",249,2
"49",250,2
"50",251,2
"51",252,2
"52",253,2
"53",256,NA
"54",257,NA
"55",258,2
"56",259,NA
"57",261,NA
"58",262,NA
"59",263,NA
"60",264,NA
"61",265,2
"62",266,NA
"63",267,NA
"64",268,NA
"65",269,NA
"66",270,NA
"67",271,2
"68",272,3
"69",273,NA
"70",274,3
"71",275,2
"72",276,4
"73",277,NA
"74",278,NA
"75",281,2
"76",282,2
"77",283,NA
"78",284,2
"79",285,NA
"80",286,2
"81",402,2
"82",404,4
"83",406,3
"84",408,NA
"85",410,4
"86",412,3
"87",414,2
"88",416,2
"89",418,NA
"90",420,2
"91",422,2
"92",424,2
"93",426,2
"94",428,3
"95",430,NA
"96",434,NA
"97",436,2
"98",438,NA
"99",440,NA
"100",442,NA
"101",444,4
"102",446,2
"103",448,3
"104",450,NA
"105",452,3
"106",454,2
"107",456,NA
"108",458,NA
"109",460,NA
"110",462,2
"111",464,3
"112",466,NA
"113",468,4
"114",470,3
"115",472,NA
"116",474,3
"117",476,2
"118",478,2
"119",480,NA
"120",482,NA
"121",484,2
"122",486,NA
"123",488,NA
"124",490,NA
"125",492,2
"126",494,3
"127",496,NA
"128",498,2
"129",500,NA
"130",502,3
"131",504,2
"132",506,2
"133",512,3
"134",514,NA
"135",516,2
"136",518,NA
"137",522,3
"138",524,NA
"139",526,3
"140",528,NA
"141",530,3
"142",532,2
"143",534,NA
"144",536,NA
"145",538,NA
"146",540,2
"147",542,NA
"148",544,2
"149",546,NA
"150",548,2
"151",550,NA
"152",552,2
"153",554,2
"154",556,NA
"155",562,2
"156",564,NA
"157",566,2
"158",568,2
"159",570,3
"160",572,3
