"","ID","nstate"
"1",2,NA
"2",3,4
"3",4,4
"4",6,4
"5",8,3
"6",9,3
"7",10,5
"8",12,5
"9",13,NA
"10",20,3
"11",23,5
"12",26,5
"13",28,4
"14",31,4
"15",34,4
"16",38,5
"17",39,5
"18",41,5
"19",43,4
"20",46,3
"21",47,3
"22",48,3
"23",52,4
"24",57,5
"25",74,5
"26",82,5
"27",84,3
"28",90,4
"29",105,5
"30",107,5
"31",124,4
"32",125,4
"33",128,3
"34",154,4
"35",162,4
"36",172,5
"37",173,5
"38",181,4
"39",184,3
"40",186,4
"41",195,5
"42",202,5
"43",236,4
"44",239,NA
"45",258,5
"46",259,2
"47",271,5
"48",281,5
"49",288,3
"50",300,5
"51",306,5
"52",323,5
"53",332,4
"54",352,5
"55",359,4
"56",364,4
"57",367,3
"58",370,3
"59",376,5
"60",379,NA
"61",392,4
"62",394,5
"63",398,4
"64",405,5
"65",407,5
"66",426,4
"67",430,NA
"68",435,4
"69",447,3
"70",449,4
"71",451,5
"72",454,5
"73",461,4
"74",465,NA
"75",466,2
"76",497,5
"77",499,4
"78",500,5
"79",504,3
"80",512,5
"81",518,3
"82",520,5
"83",524,3
"84",526,5
"85",527,5
"86",529,3
"87",531,5
"88",536,4
"89",543,5
"90",556,3
"91",559,5
"92",560,4
"93",568,4
"94",587,3
"95",603,5
