"","ID","nstate"
"1",105,4
"2",106,5
"3",107,NA
"4",108,5
"5",109,2
"6",110,4
"7",111,5
"8",112,2
"9",113,4
"10",115,NA
"11",116,NA
"12",117,5
"13",118,2
"14",121,4
"15",122,5
"16",123,4
"17",124,4
"18",125,NA
"19",126,4
"20",127,3
"21",128,4
"22",129,5
"23",130,4
"24",131,4
"25",132,NA
"26",133,3
"27",134,NA
"28",135,5
"29",136,NA
"30",137,4
"31",138,NA
"32",139,5
"33",140,4
"34",141,5
"35",142,NA
"36",143,5
"37",145,5
"38",146,4
"39",147,NA
"40",148,5
"41",149,3
"42",150,5
"43",151,5
"44",152,NA
"45",153,NA
"46",154,5
"47",156,2
"48",158,2
"49",159,3
"50",160,3
"51",161,3
"52",162,2
"53",164,4
"54",165,NA
"55",166,5
"56",167,NA
"57",168,NA
"58",169,NA
"59",170,NA
"60",172,5
"61",173,NA
"62",174,5
"63",175,NA
"64",176,4
"65",177,4
"66",180,5
"67",181,5
"68",183,2
"69",184,5
"70",186,NA
"71",187,NA
"72",188,5
"73",189,NA
"74",190,NA
"75",191,3
"76",192,5
"77",193,4
"78",194,4
"79",195,5
"80",196,NA
"81",197,5
"82",198,5
"83",200,5
"84",201,5
"85",202,5
"86",203,2
"87",204,3
"88",205,4
"89",206,NA
"90",207,5
"91",208,5
"92",209,5
"93",210,5
"94",212,2
"95",213,5
"96",214,3
"97",215,NA
"98",217,2
"99",218,NA
"100",219,4
