"","ID","nstate"
"1",1,5
"2",2,5
"3",3,2
"4",4,3
"5",5,5
"6",6,5
"7",7,5
"8",8,3
"9",9,5
"10",10,3
"11",11,4
"12",12,3
"13",13,3
"14",14,5
"15",15,4
"16",16,5
"17",17,NA
"18",18,3
"19",19,5
"20",20,4
"21",21,4
"22",22,4
"23",23,4
"24",24,4
"25",25,3
"26",26,NA
"27",27,3
"28",28,5
"29",29,5
"30",30,3
"31",31,4
"32",32,5
"33",33,5
"34",34,5
"35",35,4
"36",36,4
"37",37,4
"38",38,5
"39",39,5
"40",40,NA
"41",41,NA
"42",42,5
"43",43,4
"44",44,3
"45",45,3
"46",46,4
"47",47,3
"48",48,5
"49",49,3
"50",50,2
"51",51,5
"52",52,5
"53",53,4
"54",54,4
"55",55,NA
"56",56,5
"57",57,4
"58",58,4
"59",59,3
"60",60,5
"61",61,5
"62",62,3
"63",63,5
"64",64,5
"65",65,4
"66",66,4
"67",67,5
"68",68,3
"69",69,5
"70",70,5
"71",71,4
"72",72,5
"73",73,5
"74",74,NA
"75",75,5
"76",76,4
"77",77,3
"78",78,4
"79",79,4
