"","ID","nstate"
"1",1,NA
"2",2,NA
"3",3,2
"4",4,4
"5",5,2
"6",6,4
"7",7,3
"8",8,2
"9",9,NA
"10",10,NA
"11",11,3
"12",12,NA
"13",13,NA
"14",14,3
"15",15,NA
"16",16,NA
"17",17,NA
"18",18,NA
"19",19,NA
"20",20,NA
"21",21,NA
"22",22,NA
"23",23,NA
"24",24,NA
"25",25,2
"26",26,NA
"27",27,NA
"28",28,2
"29",29,NA
"30",30,NA
"31",31,3
"32",32,2
"33",33,NA
"34",34,NA
"35",35,NA
"36",36,5
"37",37,NA
"38",38,NA
"39",39,NA
"40",40,NA
"41",41,NA
"42",42,NA
"43",43,4
"44",44,3
"45",45,NA
"46",46,2
"47",47,2
"48",48,5
"49",49,NA
"50",50,4
"51",51,NA
"52",52,NA
"53",53,3
"54",54,4
"55",55,4
"56",56,4
"57",57,4
"58",58,NA
"59",59,2
"60",60,5
"61",61,3
"62",62,NA
"63",63,2
"64",64,NA
"65",65,NA
"66",66,NA
"67",67,NA
"68",68,4
"69",69,3
"70",70,2
"71",71,3
"72",72,NA
"73",73,NA
"74",74,NA
"75",75,3
"76",76,NA
"77",77,NA
"78",78,2
"79",79,4
"80",80,3
"81",81,NA
"82",82,NA
"83",83,NA
"84",84,2
"85",85,3
