"","ID","nstate"
"1",1,NA
"2",2,NA
"3",3,NA
"4",4,NA
"5",5,NA
"6",6,NA
"7",7,3
"8",8,NA
"9",9,NA
"10",10,2
"11",11,NA
"12",12,NA
"13",13,NA
"14",14,NA
"15",15,2
"16",16,NA
"17",17,3
"18",18,NA
"19",19,3
"20",20,NA
"21",21,NA
"22",22,3
"23",23,4
"24",24,2
"25",25,2
"26",26,NA
"27",27,2
"28",28,3
"29",29,NA
"30",30,2
"31",31,3
"32",32,2
"33",33,NA
"34",34,NA
"35",35,NA
"36",36,NA
"37",37,NA
"38",38,2
"39",39,NA
"40",40,NA
"41",41,NA
"42",42,NA
"43",43,NA
"44",44,NA
"45",45,NA
"46",46,NA
"47",47,NA
"48",48,NA
"49",49,NA
"50",50,2
"51",51,NA
"52",52,NA
"53",53,NA
"54",54,NA
"55",55,NA
"56",56,NA
"57",57,NA
"58",58,NA
"59",59,NA
"60",60,2
"61",61,2
"62",62,4
"63",63,NA
"64",64,2
"65",65,2
"66",66,2
"67",67,NA
"68",68,NA
"69",69,NA
"70",70,NA
"71",71,NA
"72",72,NA
"73",73,5
"74",74,3
"75",75,NA
"76",76,4
"77",77,NA
"78",78,NA
"79",79,3
"80",80,NA
"81",81,2
"82",82,4
"83",83,2
"84",84,NA
"85",85,NA
"86",86,NA
"87",87,NA
"88",88,5
"89",89,2
"90",90,4
"91",91,3
"92",92,NA
"93",93,NA
"94",94,4
"95",95,2
"96",96,NA
"97",97,NA
"98",98,3
"99",99,NA
"100",100,NA
"101",101,NA
"102",102,NA
"103",103,2
"104",104,NA
"105",105,NA
"106",106,3
"107",107,NA
"108",108,NA
"109",109,NA
"110",110,2
"111",111,NA
"112",112,NA
"113",113,3
"114",114,NA
"115",115,NA
"116",116,2
"117",117,NA
"118",118,NA
"119",119,NA
"120",120,NA
"121",121,3
"122",122,3
"123",123,NA
"124",124,NA
"125",125,3
"126",126,NA
"127",127,2
"128",128,NA
"129",129,NA
"130",130,4
"131",131,NA
"132",132,NA
"133",133,NA
"134",134,NA
"135",135,NA
"136",136,NA
"137",137,NA
"138",138,NA
"139",139,2
"140",140,3
