"","ID","nstate"
"1",1,3
"2",2,4
"3",3,4
"4",4,5
"5",5,4
"6",6,4
"7",7,4
"8",8,5
"9",9,4
"10",10,4
"11",11,4
"12",12,4
"13",13,5
"14",14,5
"15",15,5
"16",16,5
"17",17,4
"18",18,4
"19",19,3
"20",20,5
"21",21,4
"22",22,4
"23",23,5
"24",24,5
"25",25,5
"26",26,4
"27",27,5
"28",28,5
"29",29,5
"30",30,5
"31",31,5
"32",32,4
"33",33,3
"34",34,3
"35",35,3
"36",36,3
"37",37,5
"38",38,4
"39",39,5
"40",40,4
"41",41,4
"42",42,3
"43",43,4
"44",44,5
"45",45,3
"46",46,5
"47",47,4
"48",48,4
"49",49,4
"50",50,5
"51",51,3
"52",52,4
"53",53,4
"54",54,4
"55",55,4
"56",56,3
"57",57,5
"58",58,3
"59",59,5
"60",60,5
"61",61,5
"62",62,5
"63",63,5
"64",64,3
"65",65,4
"66",66,5
"67",67,3
"68",68,3
"69",69,4
"70",70,4
"71",71,5
"72",72,3
"73",73,4
"74",74,5
"75",75,3
"76",76,5
"77",77,4
"78",78,3
"79",79,4
"80",80,5
"81",81,5
"82",82,5
"83",83,5
"84",84,4
"85",85,4
"86",86,5
"87",87,5
"88",88,4
"89",89,4
"90",90,5
"91",91,5
"92",92,4
"93",93,4
"94",94,4
"95",95,4
"96",96,5
"97",97,5
"98",98,5
"99",99,5
"100",100,4
"101",101,5
"102",102,4
"103",103,5
"104",104,3
"105",105,5
"106",106,3
"107",107,4
"108",108,5
"109",109,3
"110",110,5
"111",111,4
"112",112,4
"113",113,5
"114",114,4
"115",115,5
"116",116,4
"117",117,5
"118",118,5
"119",119,4
"120",120,5
"121",121,5
"122",122,4
"123",123,5
"124",124,5
"125",125,5
"126",126,4
"127",127,4
"128",128,5
"129",129,4
"130",130,5
"131",131,4
"132",132,4
"133",133,5
"134",134,4
"135",135,3
"136",136,4
"137",137,3
"138",138,4
