"","ID","2","3","4","5"
"1",1,5,15,100,100
"2",2,1,2,24,100
"3",3,1,10,100,100
"4",4,1,2,14,100
"5",5,1,1,22,100
"6",6,NA,NA,NA,NA
"7",7,1,18,100,100
"8",8,NA,NA,NA,NA
"9",9,NA,NA,NA,NA
"10",10,3,100,100,100
"11",12,NA,NA,NA,NA
"12",13,1,2,1,17
"13",14,1,54,100,100
"14",15,4,36,100,100
"15",16,1,1,25,74
"16",17,81,100,100,100
"17",18,NA,NA,NA,NA
"18",19,NA,NA,NA,NA
"19",20,1,100,100,100
"20",21,2,5,5,100
"21",22,NA,NA,NA,NA
"22",23,1,3,3,100
"23",24,1,1,2,30
"24",25,2,5,42,80
"25",26,1,3,6,100
"26",27,1,1,3,7
"27",28,1,2,8,4
"28",29,1,6,7,22
"29",30,1,15,59,100
"30",31,1,1,39,100
"31",32,1,1,6,10
"32",33,1,1,62,100
"33",34,2,100,100,100
"34",35,49,55,100,100
"35",36,1,2,6,100
"36",37,2,4,12,100
"37",38,1,2,100,100
"38",40,1,1,26,100
"39",41,1,1,18,100
"40",42,23,100,100,100
"41",43,1,4,100,100
"42",44,1,100,100,100
"43",45,15,16,100,100
"44",46,6,5,86,100
"45",47,1,1,1,33
"46",48,1,4,21,100
"47",49,3,11,100,100
"48",50,9,100,100,100
"49",51,1,1,3,1
"50",52,1,100,100,100
"51",53,NA,NA,NA,NA
"52",54,1,4,17,100
"53",55,6,100,100,100
"54",56,1,1,11,7
"55",57,1,92,100,100
"56",58,1,100,100,100
"57",59,1,2,11,100
"58",60,1,22,69,100
"59",61,1,1,5,9
"60",62,1,11,100,100
"61",63,1,36,100,100
"62",64,3,8,72,100
"63",65,21,100,100,100
"64",66,1,2,18,100
"65",67,1,3,97,100
"66",68,1,2,2,18
"67",69,4,100,100,100
"68",70,1,7,100,100
"69",71,NA,NA,NA,NA
"70",72,1,2,1,18
"71",73,7,100,100,100
"72",74,NA,NA,NA,NA
"73",75,47,100,100,100
"74",76,1,2,20,100
"75",77,5,10,100,100
"76",78,NA,NA,NA,NA
"77",79,NA,NA,NA,NA
"78",80,1,1,3,100
"79",81,NA,NA,NA,NA
"80",82,4,100,100,100
"81",83,1,1,17,100
"82",84,1,5,2,47
"83",85,1,5,12,100
"84",86,1,1,8,31
"85",87,1,6,100,100
"86",88,1,1,3,14
"87",89,9,100,100,100
"88",90,NA,NA,NA,NA
"89",91,NA,NA,NA,NA
"90",92,13,2,100,100
"91",93,1,3,20,100
"92",94,1,6,40,100
"93",95,23,100,100,100
"94",96,4,100,100,100
"95",97,NA,NA,NA,NA
"96",98,2,9,1,100
"97",99,100,36,100,100
"98",100,1,11,53,100
"99",102,1,2,5,90
"100",103,1,1,15,100
"101",104,NA,NA,NA,NA
"102",105,NA,NA,NA,NA
"103",106,4,5,100,100
"104",107,1,5,100,100
"105",108,1,5,28,100
"106",109,5,100,100,100
"107",110,1,9,48,100
"108",111,1,2,21,100
"109",112,1,10,24,100
