"","ID","2","3","4","5"
"1",1,NA,NA,NA,NA
"2",2,NA,NA,NA,NA
"3",3,NA,NA,NA,NA
"4",4,NA,NA,NA,NA
"5",5,NA,NA,NA,NA
"6",6,NA,NA,NA,NA
"7",7,2,25,100,100
"8",8,NA,NA,NA,NA
"9",9,NA,NA,NA,NA
"10",10,86,100,100,100
"11",11,NA,NA,NA,NA
"12",12,NA,NA,NA,NA
"13",13,NA,NA,NA,NA
"14",14,NA,NA,NA,NA
"15",15,4,100,100,100
"16",16,NA,NA,NA,NA
"17",17,100,41,100,100
"18",18,NA,NA,NA,NA
"19",19,17,89,100,100
"20",20,NA,NA,NA,NA
"21",21,NA,NA,NA,NA
"22",22,5,4,63,82
"23",23,1,3,1,100
"24",24,2,100,100,100
"25",25,8,100,100,100
"26",26,NA,NA,NA,NA
"27",27,1,24,100,100
"28",28,1,1,54,100
"29",29,NA,NA,NA,NA
"30",30,27,100,100,100
"31",31,2,5,100,100
"32",32,26,100,100,100
"33",33,NA,NA,NA,NA
"34",34,NA,NA,NA,NA
"35",35,NA,NA,NA,NA
"36",36,NA,NA,NA,NA
"37",37,NA,NA,NA,NA
"38",38,48,100,100,100
"39",39,NA,NA,NA,NA
"40",40,NA,NA,NA,NA
"41",41,NA,NA,NA,NA
"42",42,NA,NA,NA,NA
"43",43,NA,NA,NA,NA
"44",44,NA,NA,NA,NA
"45",45,NA,NA,NA,NA
"46",46,NA,NA,NA,NA
"47",47,NA,NA,NA,NA
"48",48,NA,NA,NA,NA
"49",49,NA,NA,NA,NA
"50",50,36,100,100,100
"51",51,NA,NA,NA,NA
"52",52,NA,NA,NA,NA
"53",53,NA,NA,NA,NA
"54",54,NA,NA,NA,NA
"55",55,NA,NA,NA,NA
"56",56,NA,NA,NA,NA
"57",57,NA,NA,NA,NA
"58",58,NA,NA,NA,NA
"59",59,NA,NA,NA,NA
"60",60,1,100,100,100
"61",61,97,100,100,100
"62",62,1,10,35,100
"63",63,NA,NA,NA,NA
"64",64,1,30,100,100
"65",65,7,100,100,100
"66",66,25,100,100,100
"67",67,NA,NA,NA,NA
"68",68,NA,NA,NA,NA
"69",69,NA,NA,NA,NA
"70",70,NA,NA,NA,NA
"71",71,NA,NA,NA,NA
"72",72,NA,NA,NA,NA
"73",73,2,100,12,51
"74",74,1,8,100,100
"75",75,NA,NA,NA,NA
"76",76,1,17,55,100
"77",77,NA,NA,NA,NA
"78",78,NA,NA,NA,NA
"79",79,1,10,100,100
"80",80,NA,NA,NA,NA
"81",81,29,100,100,100
"82",82,1,2,3,100
"83",83,2,100,100,100
"84",84,NA,NA,NA,NA
"85",85,NA,NA,NA,NA
"86",86,NA,NA,NA,NA
"87",87,NA,NA,NA,NA
"88",88,1,4,47,57
"89",89,1,100,100,100
"90",90,1,3,29,100
"91",91,100,17,100,100
"92",92,NA,NA,NA,NA
"93",93,NA,NA,NA,NA
"94",94,1,5,16,100
"95",95,1,100,100,100
"96",96,NA,NA,NA,NA
"97",97,NA,NA,NA,NA
"98",98,36,51,100,100
"99",99,NA,NA,NA,NA
"100",100,NA,NA,NA,NA
"101",101,NA,NA,NA,NA
"102",102,NA,NA,NA,NA
"103",103,1,100,100,100
"104",104,NA,NA,NA,NA
"105",105,NA,NA,NA,NA
"106",106,3,1,100,100
"107",107,NA,NA,NA,NA
"108",108,NA,NA,NA,NA
"109",109,NA,NA,NA,NA
"110",110,1,100,100,100
"111",111,NA,NA,NA,NA
"112",112,NA,NA,NA,NA
"113",113,10,56,100,100
"114",114,NA,NA,NA,NA
"115",115,NA,NA,NA,NA
"116",116,6,100,100,100
"117",117,NA,NA,NA,NA
"118",118,NA,NA,NA,NA
"119",119,NA,NA,NA,NA
"120",120,NA,NA,NA,NA
"121",121,100,94,100,100
"122",122,1,2,25,100
"123",123,NA,NA,NA,NA
"124",124,NA,NA,NA,NA
"125",125,1,19,100,100
"126",126,NA,NA,NA,NA
"127",127,10,100,100,100
"128",128,NA,NA,NA,NA
"129",129,NA,NA,NA,NA
"130",130,1,7,47,100
"131",131,NA,NA,NA,NA
"132",132,NA,NA,NA,NA
"133",133,NA,NA,NA,NA
"134",134,NA,NA,NA,NA
"135",135,NA,NA,NA,NA
"136",136,NA,NA,NA,NA
"137",137,NA,NA,NA,NA
"138",138,NA,NA,NA,NA
"139",139,3,100,100,100
"140",140,1,16,82,100
