"","ID","2","3","4","5"
"1",1,NA,NA,NA,NA
"2",2,NA,NA,NA,NA
"3",3,NA,NA,NA,NA
"4",4,NA,NA,NA,NA
"5",5,1,5,63,100
"6",7,1,8,10,100
"7",8,1,10,89,100
"8",11,1,31,100,100
"9",12,16,48,100,100
"10",13,NA,NA,NA,NA
"11",14,3,100,100,100
"12",15,10,100,100,100
"13",16,3,100,100,100
"14",17,NA,NA,NA,NA
"15",18,2,100,100,100
"16",19,NA,NA,NA,NA
"17",20,NA,NA,NA,NA
"18",22,NA,NA,NA,NA
"19",23,1,1,13,100
"20",24,1,1,10,21
"21",25,NA,NA,NA,NA
"22",26,1,1,100,100
"23",27,NA,NA,NA,NA
"24",28,1,100,100,100
"25",29,NA,NA,NA,NA
"26",30,2,100,100,100
"27",31,2,2,5,100
"28",32,6,85,100,100
"29",33,NA,NA,NA,NA
"30",34,1,2,4,100
"31",35,6,100,100,100
"32",36,3,100,100,100
"33",37,1,100,100,100
"34",40,33,100,100,100
"35",41,1,2,1,100
"36",42,NA,NA,NA,NA
"37",43,NA,NA,NA,NA
"38",44,NA,NA,NA,NA
"39",45,1,100,100,100
"40",46,2,100,100,100
"41",47,1,9,33,100
"42",48,NA,NA,NA,NA
"43",49,3,3,42,100
"44",50,1,6,100,100
"45",51,NA,NA,NA,NA
"46",52,4,14,100,100
"47",53,NA,NA,NA,NA
"48",54,3,100,100,100
"49",55,2,100,100,100
"50",56,NA,NA,NA,NA
"51",57,1,38,100,100
"52",58,1,18,67,100
"53",59,1,3,100,100
"54",60,NA,NA,NA,NA
"55",61,1,4,100,100
"56",63,1,3,3,100
"57",64,NA,NA,NA,NA
"58",65,1,2,78,43
"59",66,5,100,100,100
"60",67,NA,NA,NA,NA
"61",68,1,5,37,16
"62",69,NA,NA,NA,NA
"63",70,NA,NA,NA,NA
"64",71,4,100,100,100
"65",72,NA,NA,NA,NA
"66",74,1,7,100,100
"67",75,NA,NA,NA,NA
"68",76,1,1,4,16
"69",77,15,100,100,100
"70",78,NA,NA,NA,NA
"71",79,1,1,1,1
"72",80,1,1,33,100
"73",81,NA,NA,NA,NA
"74",82,NA,NA,NA,NA
"75",83,NA,NA,NA,NA
"76",84,2,3,6,9
"77",85,NA,NA,NA,NA
"78",86,NA,NA,NA,NA
"79",87,9,100,100,100
"80",88,NA,NA,NA,NA
"81",89,NA,NA,NA,NA
"82",90,1,1,34,19
"83",91,NA,NA,NA,NA
"84",92,1,21,100,100
"85",93,2,100,100,100
"86",94,47,100,100,100
"87",95,NA,NA,NA,NA
"88",96,NA,NA,NA,NA
"89",97,NA,NA,NA,NA
"90",98,NA,NA,NA,NA
"91",99,2,1,8,38
"92",100,1,34,100,100
"93",102,1,4,26,23
"94",103,100,70,100,100
"95",104,2,10,100,100
"96",105,1,1,2,58
"97",106,NA,NA,NA,NA
"98",107,100,10,100,100
"99",108,53,100,100,100
"100",109,9,31,100,100
"101",110,NA,NA,NA,NA
"102",111,NA,NA,NA,NA
"103",113,NA,NA,NA,NA
"104",114,NA,NA,NA,NA
"105",115,NA,NA,NA,NA
"106",116,NA,NA,NA,NA
"107",117,NA,NA,NA,NA
"108",118,NA,NA,NA,NA
"109",120,2,100,100,100
"110",121,3,89,100,100
"111",122,4,100,100,100
"112",124,1,35,100,100
"113",125,21,100,100,100
"114",126,NA,NA,NA,NA
"115",127,1,7,100,100
"116",128,NA,NA,NA,NA
"117",129,NA,NA,NA,NA
