"","ID","2","3","4","5"
"1",1,NA,NA,NA,NA
"2",2,NA,NA,NA,NA
"3",3,38,100,100,100
"4",4,1,1,40,100
"5",5,1,100,100,100
"6",6,2,40,100,100
"7",9,1,100,100,100
"8",10,NA,NA,NA,NA
"9",11,NA,NA,NA,NA
"10",12,NA,NA,NA,NA
"11",13,2,24,100,100
"12",14,NA,NA,NA,NA
"13",15,NA,NA,NA,NA
"14",16,1,6,53,100
"15",17,NA,NA,NA,NA
"16",18,2,2,2,100
"17",19,NA,NA,NA,NA
"18",20,NA,NA,NA,NA
"19",21,2,100,100,100
"20",22,NA,NA,NA,NA
"21",23,1,2,100,100
"22",24,NA,NA,NA,NA
"23",26,1,100,100,100
"24",27,NA,NA,NA,NA
"25",28,NA,NA,NA,NA
"26",29,73,100,100,100
"27",30,1,1,1,7
"28",31,NA,NA,NA,NA
"29",32,1,2,76,100
"30",33,1,2,2,10
"31",34,NA,NA,NA,NA
"32",35,NA,NA,NA,NA
"33",36,NA,NA,NA,NA
"34",37,1,35,6,100
"35",38,1,5,100,100
"36",39,NA,NA,NA,NA
"37",40,NA,NA,NA,NA
"38",41,1,1,1,2
"39",42,4,100,100,100
"40",43,2,38,100,100
"41",44,NA,NA,NA,NA
"42",46,NA,NA,NA,NA
"43",47,22,100,100,100
"44",48,NA,NA,NA,NA
"45",49,NA,NA,NA,NA
"46",50,NA,NA,NA,NA
"47",51,30,100,100,100
"48",52,NA,NA,NA,NA
"49",53,1,3,100,100
"50",55,NA,NA,NA,NA
"51",56,29,8,10,100
"52",57,1,2,4,39
"53",58,9,100,100,100
"54",59,NA,NA,NA,NA
"55",60,1,3,100,100
"56",62,NA,NA,NA,NA
"57",63,NA,NA,NA,NA
"58",64,3,22,100,100
"59",65,NA,NA,NA,NA
"60",66,1,100,100,100
"61",67,NA,NA,NA,NA
"62",68,100,4,2,100
"63",69,28,100,100,100
"64",70,21,100,100,100
"65",71,43,100,100,100
"66",72,NA,NA,NA,NA
"67",73,NA,NA,NA,NA
"68",74,NA,NA,NA,NA
"69",75,NA,NA,NA,NA
"70",76,NA,NA,NA,NA
"71",77,73,100,100,100
"72",78,NA,NA,NA,NA
"73",79,1,24,100,100
"74",80,100,40,68,53
"75",81,NA,NA,NA,NA
"76",83,3,100,100,100
"77",84,4,1,9,27
"78",85,1,2,2,2
"79",86,1,2,1,2
"80",87,36,100,100,100
"81",88,2,100,100,100
"82",89,27,100,100,100
"83",90,NA,NA,NA,NA
"84",91,NA,NA,NA,NA
"85",94,1,4,32,100
"86",95,NA,NA,NA,NA
"87",96,3,13,100,100
"88",97,1,100,100,100
"89",98,1,9,100,100
"90",99,NA,NA,NA,NA
"91",100,13,100,100,100
"92",101,2,3,12,100
"93",102,NA,NA,NA,NA
"94",103,NA,NA,NA,NA
"95",104,NA,NA,NA,NA
"96",105,NA,NA,NA,NA
"97",106,5,100,100,100
"98",107,2,38,100,100
"99",108,1,5,33,100
"100",109,1,2,1,3
"101",110,NA,NA,NA,NA
"102",111,NA,NA,NA,NA
"103",112,1,3,63,100
"104",113,1,1,100,100
"105",114,1,4,100,100
"106",115,5,77,100,100
"107",116,2,1,2,11
