"","ID","2","3","4","5"
"1",150034,8,12,15,2
"2",150035,2,21,100,100
"3",150036,NA,NA,NA,NA
"4",150038,100,96,76,100
"5",150039,1,1,1,2
"6",150040,1,53,100,100
"7",150041,97,100,100,100
"8",150042,1,1,3,3
"9",150043,NA,NA,NA,NA
"10",150045,1,1,42,100
"11",150046,2,3,9,81
"12",150047,1,2,58,100
"13",150048,NA,NA,NA,NA
"14",150051,1,1,100,30
"15",150057,NA,NA,NA,NA
"16",150058,1,2,15,32
"17",150060,4,100,100,100
"18",150066,86,100,100,100
"19",150067,NA,NA,NA,NA
"20",150070,1,1,2,2
"21",150071,NA,NA,NA,NA
"22",150072,NA,NA,NA,NA
"23",150074,36,100,100,100
"24",150075,NA,NA,NA,NA
"25",150076,NA,NA,NA,NA
"26",150077,NA,NA,NA,NA
"27",150079,NA,NA,NA,NA
"28",150080,NA,NA,NA,NA
"29",150081,NA,NA,NA,NA
"30",150082,62,100,100,100
"31",150083,1,2,100,100
"32",150086,1,1,1,2
"33",150087,1,1,4,35
"34",150088,NA,NA,NA,NA
"35",150090,NA,NA,NA,NA
"36",150091,NA,NA,NA,NA
"37",150092,NA,NA,NA,NA
"38",150093,100,41,100,100
"39",150094,1,3,7,100
"40",150095,1,2,1,4
"41",150096,NA,NA,NA,NA
"42",150098,NA,NA,NA,NA
"43",150101,1,1,5,4
"44",150102,1,1,33,100
"45",150103,1,3,26,43
"46",150105,1,2,1,100
"47",150106,NA,NA,NA,NA
"48",150107,NA,NA,NA,NA
"49",150108,NA,NA,NA,NA
"50",150109,7,100,100,100
"51",150110,NA,NA,NA,NA
"52",150112,1,1,1,27
"53",150113,1,100,100,100
"54",150114,NA,NA,NA,NA
