"","ID","nstate"
"1",10720,NA
"2",10722,NA
"3",10724,NA
"4",10725,NA
"5",10726,NA
"6",10727,NA
"7",10728,NA
"8",10729,NA
"9",10732,NA
"10",10734,NA
"11",10735,NA
"12",10736,NA
"13",10737,NA
"14",10738,NA
"15",10739,NA
"16",10740,NA
"17",10741,NA
"18",10742,NA
"19",10744,NA
"20",10746,NA
"21",10747,NA
"22",10748,NA
"23",10750,NA
"24",10751,NA
"25",10753,NA
"26",10754,NA
"27",10755,NA
"28",10756,NA
"29",10757,NA
"30",10758,NA
"31",10759,NA
"32",10760,NA
"33",10761,NA
"34",10762,NA
"35",10763,NA
"36",10764,NA
"37",10765,NA
"38",10766,NA
"39",10768,NA
"40",10769,NA
"41",10770,NA
"42",10771,NA
"43",10772,NA
"44",10773,NA
"45",10774,NA
"46",10775,NA
"47",10776,NA
"48",10777,NA
"49",10778,NA
"50",10779,NA
"51",10780,NA
"52",10781,NA
"53",10782,NA
"54",10783,5
"55",10784,NA
"56",10785,NA
"57",10786,NA
"58",10787,NA
"59",10790,NA
"60",10791,NA
"61",10792,NA
"62",10793,NA
"63",10794,NA
"64",10795,NA
"65",10796,NA
"66",10797,NA
"67",10799,NA
"68",10800,NA
"69",10801,NA
"70",10802,NA
"71",10803,NA
"72",10804,NA
"73",10805,NA
"74",10807,NA
"75",10808,NA
"76",10809,NA
"77",10810,NA
"78",10811,NA
"79",10812,NA
"80",10813,NA
"81",10814,NA
"82",10815,NA
"83",10816,NA
"84",10817,NA
"85",10818,NA
"86",10819,NA
"87",10820,NA
"88",10821,NA
"89",10822,NA
"90",10823,NA
"91",10824,NA
"92",10826,NA
"93",10827,NA
"94",10828,NA
"95",10829,NA
"96",10830,NA
"97",10831,NA
"98",10832,NA
"99",10833,NA
"100",10834,NA
"101",10835,NA
"102",10836,NA
"103",10837,2
"104",10838,NA
"105",10839,NA
"106",10840,NA
"107",10841,NA
"108",10842,NA
"109",10843,NA
"110",10844,NA
"111",10845,NA
"112",10846,NA
"113",10847,NA
"114",10848,NA
"115",10849,4
"116",10850,NA
"117",10851,NA
"118",10852,NA
"119",10853,NA
"120",10854,NA
"121",10855,NA
"122",10856,NA
"123",10857,NA
"124",10858,NA
"125",10859,NA
"126",10860,NA
"127",10861,NA
"128",10862,NA
"129",10863,NA
