"","ID","nstate"
"1",100,2
"2",101,4
"3",102,5
"4",103,2
"5",105,3
"6",106,4
"7",108,4
"8",109,4
"9",110,5
"10",111,3
"11",112,NA
"12",113,5
"13",114,5
"14",115,4
"15",116,3
"16",117,3
"17",118,5
"18",119,4
"19",120,4
"20",121,5
"21",122,5
"22",123,4
"23",124,5
"24",125,5
"25",126,4
"26",127,3
"27",128,5
"28",129,4
"29",130,4
"30",131,3
"31",132,4
"32",133,5
"33",135,5
"34",136,4
"35",138,5
"36",139,4
"37",140,5
"38",141,4
"39",142,5
"40",180,5
"41",200,5
"42",201,NA
"43",202,5
"44",203,4
"45",204,5
"46",205,5
"47",206,5
"48",207,2
"49",208,5
"50",209,4
"51",210,3
"52",211,4
"53",212,NA
"54",213,NA
"55",214,2
"56",215,4
"57",216,4
"58",217,5
"59",218,4
"60",219,5
"61",220,5
"62",221,4
"63",222,5
"64",223,5
"65",224,4
"66",225,4
"67",226,NA
"68",227,NA
"69",228,5
"70",229,5
"71",230,5
"72",231,4
"73",232,4
"74",233,5
"75",234,5
"76",235,NA
"77",236,5
"78",237,5
"79",238,4
"80",240,4
"81",242,4
"82",243,3
"83",244,5
"84",245,5
"85",246,5
"86",247,5
"87",248,5
"88",249,5
"89",250,5
"90",251,5
"91",252,4
"92",253,4
"93",254,5
"94",255,4
"95",256,5
"96",257,5
"97",258,4
"98",259,5
"99",260,4
"100",261,5
"101",263,4
