"","ID","2","3","4","5"
"1",1,1,1,1,1
"2",2,1,1,1,1
"3",3,10,100,100,100
"4",4,50,2,100,100
"5",5,1,2,10,8
"6",6,1,1,1,1
"7",7,4,4,65,100
"8",8,1,100,100,100
"9",9,1,1,1,1
"10",10,1,1,1,1
"11",11,1,41,100,100
"12",12,1,1,1,1
"13",13,1,1,1,1
"14",14,1,1,2,1
"15",15,100,24,52,1
"16",16,1,1,1,1
"17",17,NA,NA,NA,NA
"18",18,1,1,1,1
"19",19,NA,NA,NA,NA
"20",20,1,6,8,18
"21",21,1,1,1,1
"22",22,1,1,1,1
"23",23,1,1,1,1
"24",24,1,2,14,100
"25",25,1,1,1,1
"26",26,NA,NA,NA,NA
"27",27,1,1,1,1
"28",28,100,3,69,100
"29",29,1,2,1,1
"30",30,6,36,27,100
"31",31,1,1,1,1
"32",32,1,1,1,1
"33",33,1,1,1,1
"34",34,1,1,1,1
"35",35,1,1,1,1
"36",36,1,1,1,1
"37",37,1,1,1,1
"38",38,1,1,1,1
"39",39,1,1,1,1
"40",40,NA,NA,NA,NA
"41",41,NA,NA,NA,NA
"42",42,1,1,1,3
"43",43,1,1,1,1
"44",44,8,59,100,100
"45",45,1,2,1,1
"46",46,1,1,1,1
"47",47,1,1,1,1
"48",48,1,1,1,1
"49",49,4,2,2,1
"50",50,NA,NA,NA,NA
"51",51,NA,NA,NA,NA
"52",52,1,1,1,1
"53",53,1,1,1,1
"54",54,1,2,2,1
"55",55,NA,NA,NA,NA
"56",56,1,1,2,1
"57",57,1,1,1,1
"58",58,1,1,2,1
"59",59,NA,NA,NA,NA
"60",60,1,1,1,1
"61",61,1,1,1,1
"62",62,1,1,1,1
"63",63,1,1,1,1
"64",64,1,1,1,2
"65",65,1,1,1,34
"66",66,1,1,1,1
"67",67,1,1,1,1
"68",68,NA,NA,NA,NA
"69",69,1,2,1,27
"70",70,1,2,3,1
"71",71,1,4,23,100
"72",72,1,1,1,1
"73",73,1,1,14,4
"74",74,NA,NA,NA,NA
"75",75,NA,NA,NA,NA
"76",76,1,1,1,1
"77",77,1,1,1,1
"78",78,9,41,100,100
"79",79,9,2,100,100
