"","ID","Relaxed","Irritable","Worry","Nervous","Future","Anhedonia","Tired","Hungry","Alone","Angry"
"1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7,0.165463513308458,0.127761190037399,0.100102883285296,0.150068492377895,0.11853457860372,0.134269175230013,0.328324895680637,0.120691187014885,0.333636743944002,0.269576792612351
"7",8,0.1476467482338,0.109244384733311,0.116721243446202,0.166412851599296,0.193932739923016,0.113394631688769,0.16675373533019,0.149809853938007,0.126378503654926,0.218011527643837
"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",11,0.157452261146452,0.0935255188326743,0.120724471535084,0.182160410662317,0.263216700471892,0.153043261466737,0.0980688311458657,0.167505270019678,0.208675268319835,0.125283395475244
"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",17,0.121452061056573,0.176088726794481,0.128879305080072,0.140451584532938,0.129399216649152,0.147184006720193,0.0980371085294206,0.153918608854335,0.0346201363999399,0.132508546927763
"16",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",22,0.229278836691622,0.189850017283684,0.239607544545763,0.20975860448489,0.347832166622627,0.0890436524018648,0.230022476861251,0.320630393677716,0.291428727267279,0.138894856174087
"20",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",24,0.222420054122693,0.175958052764185,0.233871214342078,0.138920694343816,0.0277484536577266,0.0185250718246921,0.202003451245924,0.214036849583242,0.0462743741707676,0.0370160401491825
"22",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",34,0.118044009753866,0.134942973362594,0.164445916207891,0.116501917894452,0.106487950167847,0.0989008310482482,0.180355218599177,0.113968488287196,0.118697667556768,0.106468629189248
"32",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
