"","ID","Energetic","Cheerful","Relaxed","Satisfied","Nervous","Irritated","Bored","Down"
"1",54016,NA,NA,NA,NA,NA,NA,NA,NA
"2",54049,0.138679537291072,0.00829419325190911,0.0624080629382609,0.0532846805291711,0.0698230086845686,0.146019033494656,0.182753449847414,0.0532888201885576
"3",54050,0.545021241177704,0.0468675736547367,0.255845132509338,0.0506149229245642,0.108146899496263,0.133129414872727,0.114866370092577,0.00450102560283394
"4",54064,0.0259252394767266,0.0529864478373823,0.0940485297391125,0.0111704859779087,0.0734441121561066,0.0802839232604436,0.311652326951055,0.0590755924008388
"5",54067,NA,NA,NA,NA,NA,NA,NA,NA
"6",54070,0.16081134210039,0.0459093119441094,0.358958997176887,0.202426935220221,0.309545418254726,0.362814016155891,0.168898007835129,0.225353804406267
"7",54071,0.253639947531057,0.102138631957669,0.0213295791985476,0.186305633897044,0.0336745380656082,0.00898050181267029,0.0314021311367404,0.307515413470499
"8",54075,NA,NA,NA,NA,NA,NA,NA,NA
"9",54090,NA,NA,NA,NA,NA,NA,NA,NA
"10",54096,NA,NA,NA,NA,NA,NA,NA,NA
"11",54098,NA,NA,NA,NA,NA,NA,NA,NA
"12",54102,NA,NA,NA,NA,NA,NA,NA,NA
"13",54103,NA,NA,NA,NA,NA,NA,NA,NA
"14",54114,NA,NA,NA,NA,NA,NA,NA,NA
"15",54115,NA,NA,NA,NA,NA,NA,NA,NA
"16",54117,NA,NA,NA,NA,NA,NA,NA,NA
"17",54119,NA,NA,NA,NA,NA,NA,NA,NA
"18",54121,NA,NA,NA,NA,NA,NA,NA,NA
"19",54128,NA,NA,NA,NA,NA,NA,NA,NA
"20",54129,NA,NA,NA,NA,NA,NA,NA,NA
"21",54131,NA,NA,NA,NA,NA,NA,NA,NA
"22",54134,NA,NA,NA,NA,NA,NA,NA,NA
"23",54135,NA,NA,NA,NA,NA,NA,NA,NA
"24",54138,NA,NA,NA,NA,NA,NA,NA,NA
"25",54146,NA,NA,NA,NA,NA,NA,NA,NA
"26",54148,NA,NA,NA,NA,NA,NA,NA,NA
"27",54151,NA,NA,NA,NA,NA,NA,NA,NA
"28",54153,NA,NA,NA,NA,NA,NA,NA,NA
"29",54157,NA,NA,NA,NA,NA,NA,NA,NA
"30",54158,NA,NA,NA,NA,NA,NA,NA,NA
"31",54180,NA,NA,NA,NA,NA,NA,NA,NA
"32",54183,NA,NA,NA,NA,NA,NA,NA,NA
