"","ID","Atease","Calm","Relaxed","Drowsy","Sluggish","Tired","Content","Pleased","Happy","Alert","Aroused","Hyperactivated","Miserable","Troubled","Unhappy","Sleepy","Quiet","Still","Afraid","Ashamed","Distressed","Guilty","Hostile","Irritable","Jittery","Nervous","Scared","Upset","Active","Alone","Attentive","Determined","Enthusiastic","Excited","Inspired","Interested","Proud","Strong"
"1",7,0.223249527326402,0.31514967891357,0.326564686422452,0.177644645281765,0.293768487796764,0.146391011122618,0.221950556376262,0.135616744017813,0.195110032411923,0.3507812021496,0.302979920056539,0.223250838360305,0.374253582253636,0.241800353777472,0.386867447344985,0.137207048235423,0.222155525264669,0.204876523706551,0.300252593065687,0.429678967403446,0.33549775366938,0.274283740759548,0.196357824870626,0.270031484103203,0.302503318583347,0.198418726107365,0.245952110684367,0.196218793165779,0.308656576165136,0.145397779528744,0.210105236333393,0.221176940523148,0.272298535407037,0.175338365562426,0.227940165269562,0.208029071337244,0.142382805622451,0.180872451606097
"2",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",27,0.173054663163392,0.213478140416032,0.253448439101519,0.104166667095173,0.186338998124982,0.291666666911528,0.228217732293787,0.157288217344908,0.157288217366845,0.0954703271090061,0.366216579714985,0.0625000005992735,0.0931694990624912,0.166666668201306,0.145833333929076,0.277169472896876,0.18750000008709,0.256850582708469,0.0954703268102356,0.0416666673512943,0.104166668457426,0.0416666673512943,0.0625000005992151,0.19094065395806,0.232923747908192,0.104166667095173,0.0833333338471943,0.0833333340162249,0.239356776849935,0.200909390881131,0.162713534969402,0.139754248708225,0.190940655297704,0.19094065425294,0.204124145650127,0.270030862433661,0.0208333341033149,0.176776695296596
"8",28,0.20395676087233,0.281254294907956,0.37336451731296,0.243459129432208,0.19936481964213,0.278979130082908,0.223559235360216,0.205381350233656,0.208408798038414,0.262292532420071,0.129140948707141,0.263394235362033,0.186963093567092,0.25920955764111,0.320845553879834,0.266822681496136,0.123811774467138,0.235709916485963,0.204124558689139,0.12174068576529,0.24774980056296,0.188823007829819,0.306186216996545,0.149691941022745,0.204459736119229,0.178560475172087,0.187708263120799,0.348974466519274,0.308612406749867,0.249484065698441,0.118084883220572,0.216236504763727,0.105504447264457,0.287594155920211,0.265077434965926,0.129140946148978,0.161271365668216,0.216429637510251
"9",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
