"","ID","nstate"
"1",101,NA
"2",102,NA
"3",103,4
"4",104,4
"5",105,5
"6",106,4
"7",107,3
"8",108,4
"9",109,NA
"10",111,5
"11",112,4
"12",113,4
"13",114,2
"14",116,3
"15",117,2
"16",119,NA
"17",120,4
"18",121,4
"19",122,3
"20",123,3
"21",124,5
"22",126,NA
"23",127,4
"24",128,5
"25",130,3
"26",131,3
"27",132,4
"28",135,2
"29",136,2
"30",138,NA
"31",139,4
"32",140,NA
"33",142,NA
"34",144,2
"35",145,3
"36",146,4
"37",147,4
"38",149,3
"39",150,NA
"40",151,5
"41",152,NA
"42",153,NA
"43",154,5
"44",155,NA
"45",157,5
"46",159,3
"47",160,4
"48",161,3
"49",162,5
"50",163,5
"51",165,4
"52",166,2
"53",167,2
"54",168,4
"55",169,4
"56",170,NA
"57",172,3
"58",173,5
"59",174,5
"60",175,5
"61",176,3
