"","ID","nstate"
"1",1,2
"2",2,NA
"3",3,2
"4",4,2
"5",5,NA
"6",6,2
"7",7,NA
"8",8,NA
"9",9,NA
"10",10,2
"11",11,2
"12",12,NA
"13",14,NA
"14",15,NA
"15",16,NA
"16",17,NA
"17",18,NA
"18",19,NA
"19",20,3
"20",21,2
"21",22,2
"22",23,NA
"23",24,NA
"24",25,NA
"25",26,2
"26",27,2
"27",28,NA
"28",29,NA
"29",30,4
"30",31,NA
"31",32,4
"32",33,3
"33",34,3
"34",35,2
"35",36,NA
"36",37,3
"37",38,NA
"38",39,4
"39",40,2
"40",41,2
"41",42,NA
"42",43,NA
"43",45,2
"44",46,NA
"45",47,NA
"46",48,2
"47",49,NA
"48",50,NA
