"","ID","nstate"
"1",1,NA
"2",2,NA
"3",3,NA
"4",4,NA
"5",5,2
"6",7,2
"7",8,NA
"8",11,2
"9",12,2
"10",13,NA
"11",14,NA
"12",15,NA
"13",16,NA
"14",17,NA
"15",18,NA
"16",19,NA
"17",20,NA
"18",22,NA
"19",23,NA
"20",24,NA
"21",25,2
"22",26,NA
"23",27,NA
"24",28,NA
"25",29,NA
"26",30,NA
"27",31,NA
"28",32,NA
"29",33,NA
"30",34,NA
"31",35,NA
"32",36,NA
"33",37,NA
"34",40,2
"35",41,NA
"36",42,NA
"37",43,NA
"38",44,NA
"39",45,NA
"40",46,NA
"41",47,NA
"42",48,NA
"43",49,2
"44",50,NA
"45",51,NA
"46",52,2
"47",53,NA
"48",54,2
"49",55,2
"50",56,NA
"51",57,NA
"52",58,NA
"53",59,NA
"54",60,NA
"55",61,NA
"56",63,2
"57",64,NA
"58",65,NA
"59",66,NA
"60",67,NA
"61",68,NA
"62",69,NA
"63",70,NA
"64",71,NA
"65",72,NA
"66",74,2
"67",75,NA
"68",76,NA
"69",77,NA
"70",78,NA
"71",79,2
"72",80,3
"73",81,NA
"74",82,NA
"75",83,NA
"76",84,2
"77",85,NA
"78",86,NA
"79",87,2
"80",88,NA
"81",89,NA
"82",90,NA
"83",91,2
"84",92,NA
"85",93,NA
"86",94,NA
"87",95,NA
"88",96,NA
"89",97,NA
"90",98,NA
"91",99,2
"92",100,NA
"93",102,NA
"94",103,NA
"95",104,NA
"96",105,NA
"97",106,NA
"98",107,NA
"99",108,NA
"100",109,2
"101",110,NA
"102",111,NA
"103",113,NA
"104",114,NA
"105",115,NA
"106",116,NA
"107",117,NA
"108",118,NA
"109",120,NA
"110",121,NA
"111",122,NA
"112",124,NA
"113",125,NA
"114",126,2
"115",127,NA
"116",128,NA
"117",129,NA
