"","ID","nstate"
"1",1,4
"2",2,4
"3",3,5
"4",4,4
"5",5,4
"6",6,4
"7",7,5
"8",8,4
"9",9,4
"10",10,4
"11",11,4
"12",12,3
"13",13,4
"14",14,3
"15",15,3
"16",16,4
"17",17,4
"18",18,4
"19",19,3
"20",20,3
"21",21,2
"22",22,5
"23",23,4
"24",24,3
"25",25,5
"26",26,4
"27",27,5
"28",28,4
"29",29,5
"30",30,5
"31",31,5
"32",32,4
"33",33,4
"34",34,4
"35",35,4
"36",36,5
"37",37,4
"38",38,3
"39",39,4
"40",40,5
"41",41,4
"42",42,5
"43",43,5
"44",44,5
"45",45,3
"46",46,5
"47",47,3
"48",48,5
"49",49,5
"50",50,4
"51",51,5
"52",52,4
"53",53,4
"54",54,4
"55",55,5
"56",56,5
"57",57,5
"58",58,3
"59",59,5
"60",60,4
"61",61,5
"62",62,4
"63",63,4
"64",64,3
"65",65,4
"66",66,4
"67",67,4
"68",68,5
"69",69,4
"70",70,4
"71",71,5
"72",72,5
"73",73,3
"74",74,5
"75",75,4
"76",76,5
"77",77,4
"78",78,4
"79",79,5
"80",80,5
"81",81,4
"82",82,5
"83",83,5
"84",84,5
"85",85,5
"86",86,3
"87",87,3
"88",88,5
"89",89,5
"90",90,4
"91",91,3
"92",92,4
"93",93,4
"94",94,5
"95",95,4
"96",96,5
"97",97,4
"98",98,4
"99",99,4
"100",100,5
"101",101,3
"102",102,5
"103",103,5
"104",104,2
"105",105,4
"106",106,5
"107",107,5
"108",108,5
"109",109,5
"110",110,5
"111",111,4
"112",112,4
"113",113,4
"114",114,4
"115",115,4
"116",116,4
"117",117,4
"118",118,4
"119",119,5
"120",120,3
"121",121,5
"122",122,3
"123",123,3
"124",124,4
"125",125,5
"126",126,3
"127",127,3
"128",128,5
"129",129,5
"130",130,4
"131",131,4
"132",132,3
"133",133,4
"134",134,5
"135",135,4
"136",136,4
"137",137,3
"138",138,5
