"","ID","nstate"
"1",7,4
"2",13,NA
"3",15,NA
"4",17,NA
"5",21,NA
"6",23,NA
"7",27,2
"8",28,2
"9",29,NA
"10",30,NA
"11",35,NA
"12",38,2
"13",39,NA
"14",43,2
"15",47,2
"16",48,NA
"17",49,NA
"18",50,NA
"19",51,NA
"20",52,NA
"21",53,2
"22",54,NA
"23",58,2
"24",60,NA
"25",61,2
"26",62,NA
"27",64,NA
"28",66,2
"29",67,NA
"30",70,2
"31",72,NA
"32",75,NA
"33",76,NA
"34",79,NA
"35",81,NA
"36",82,NA
"37",86,NA
"38",87,NA
"39",94,NA
"40",95,NA
"41",96,NA
"42",97,NA
"43",98,NA
"44",99,NA
"45",100,NA
"46",106,NA
"47",108,NA
"48",109,2
"49",112,2
"50",116,3
"51",122,NA
"52",123,NA
"53",124,NA
"54",125,NA
"55",126,NA
"56",128,NA
"57",135,NA
"58",137,2
"59",138,NA
"60",145,NA
"61",148,2
"62",152,NA
"63",159,NA
"64",160,NA
"65",161,NA
"66",162,NA
"67",167,NA
"68",169,NA
"69",170,NA
"70",172,NA
"71",173,NA
"72",174,NA
"73",177,NA
"74",181,NA
"75",186,2
"76",189,NA
"77",190,NA
"78",192,NA
"79",193,NA
"80",194,NA
"81",195,NA
"82",196,2
"83",197,NA
"84",198,NA
"85",203,NA
"86",205,NA
"87",206,3
"88",211,3
"89",214,NA
"90",217,2
"91",218,NA
"92",219,NA
"93",221,2
"94",224,NA
"95",225,2
"96",227,3
"97",233,4
"98",244,NA
"99",245,NA
"100",246,3
"101",248,NA
"102",250,2
"103",252,NA
"104",254,NA
"105",255,NA
"106",256,2
"107",260,2
"108",267,NA
"109",268,NA
"110",270,NA
"111",273,NA
"112",275,NA
"113",276,2
"114",279,NA
"115",283,NA
"116",285,2
"117",287,NA
"118",295,NA
"119",297,NA
"120",299,NA
"121",300,NA
"122",301,NA
"123",302,2
"124",303,NA
"125",304,NA
"126",309,2
"127",313,2
"128",315,NA
"129",318,4
"130",320,2
"131",321,NA
"132",322,NA
"133",331,NA
"134",335,NA
"135",340,NA
"136",343,NA
"137",347,NA
"138",349,NA
"139",350,NA
"140",352,NA
"141",353,NA
"142",354,NA
"143",356,NA
"144",357,NA
"145",359,3
"146",360,NA
"147",361,NA
"148",363,NA
"149",367,NA
"150",369,2
"151",370,2
"152",371,NA
"153",372,NA
"154",385,2
"155",386,NA
"156",389,NA
"157",390,NA
"158",391,2
"159",394,NA
"160",395,NA
"161",396,NA
"162",398,2
"163",399,NA
"164",400,NA
"165",406,NA
"166",410,NA
"167",413,NA
"168",415,NA
"169",416,2
"170",417,NA
"171",419,2
"172",423,NA
"173",425,NA
"174",428,NA
"175",429,NA
"176",438,NA
"177",439,2
"178",440,NA
"179",441,NA
"180",446,NA
"181",449,NA
"182",450,NA
"183",452,2
"184",453,NA
"185",454,2
"186",455,2
"187",460,NA
"188",462,2
"189",463,NA
"190",465,2
"191",466,NA
"192",468,2
"193",471,NA
"194",474,NA
"195",475,NA
"196",477,NA
"197",479,2
"198",481,NA
"199",482,NA
"200",487,NA
"201",489,NA
"202",490,2
"203",493,NA
"204",494,NA
"205",497,2
"206",498,2
"207",501,NA
"208",506,2
"209",514,NA
"210",516,NA
"211",518,NA
"212",523,4
"213",525,NA
"214",526,2
"215",533,NA
"216",537,NA
"217",539,NA
"218",542,2
"219",543,NA
"220",544,2
"221",545,2
"222",549,NA
"223",551,NA
"224",554,NA
"225",556,NA
"226",558,2
"227",559,NA
"228",561,2
"229",567,NA
"230",575,2
"231",577,NA
"232",579,NA
"233",580,4
"234",583,NA
"235",584,NA
"236",587,NA
"237",590,NA
"238",595,NA
"239",599,NA
"240",600,NA
"241",603,2
"242",605,2
"243",610,NA
"244",611,NA
"245",616,NA
"246",617,NA
"247",618,2
"248",619,2
"249",621,3
"250",622,NA
"251",623,2
"252",625,NA
"253",627,2
"254",628,NA
"255",629,2
"256",633,NA
"257",634,NA
"258",635,NA
"259",638,NA
"260",639,2
"261",640,NA
"262",641,NA
"263",642,NA
"264",643,2
"265",644,2
"266",646,NA
"267",648,NA
"268",653,2
"269",657,NA
"270",659,NA
"271",662,2
"272",663,NA
"273",664,2
"274",665,2
"275",668,NA
"276",669,NA
"277",670,2
"278",671,NA
"279",676,NA
"280",677,2
"281",680,NA
"282",683,NA
"283",684,NA
"284",689,NA
"285",691,2
"286",692,NA
"287",697,2
"288",699,NA
"289",703,NA
"290",704,NA
"291",705,NA
"292",707,NA
"293",709,NA
"294",710,2
"295",716,NA
"296",719,NA
"297",720,3
"298",723,NA
"299",724,NA
"300",726,NA
"301",729,NA
"302",735,2
"303",737,NA
"304",742,NA
"305",743,NA
"306",748,NA
"307",754,NA
"308",756,2
"309",758,NA
"310",759,NA
"311",761,NA
"312",762,NA
"313",763,NA
"314",767,NA
"315",768,2
"316",771,NA
"317",772,NA
"318",774,2
"319",775,NA
"320",776,NA
"321",777,NA
"322",778,NA
"323",780,2
"324",783,NA
"325",784,2
"326",786,NA
"327",788,NA
"328",790,2
"329",791,NA
"330",792,NA
"331",794,NA
"332",795,NA
"333",796,2
"334",798,2
"335",800,NA
"336",801,NA
"337",803,NA
"338",804,NA
"339",805,NA
"340",807,NA
"341",808,NA
"342",809,2
"343",811,2
"344",814,NA
"345",818,NA
"346",823,NA
"347",825,3
"348",828,NA
"349",832,NA
"350",833,2
"351",835,NA
"352",839,NA
"353",840,NA
"354",842,2
"355",844,2
"356",845,NA
"357",846,NA
"358",850,2
"359",851,3
"360",852,NA
"361",853,NA
"362",854,NA
"363",857,NA
"364",860,NA
"365",861,NA
"366",864,2
"367",865,NA
"368",870,2
"369",874,NA
"370",875,3
"371",876,NA
"372",877,NA
"373",879,NA
"374",881,NA
"375",884,NA
"376",885,NA
"377",886,NA
"378",887,2
"379",889,NA
"380",891,NA
"381",894,NA
"382",895,NA
"383",896,NA
"384",898,NA
"385",899,NA
"386",901,NA
"387",906,NA
"388",907,NA
"389",909,NA
"390",911,NA
"391",912,2
"392",914,2
"393",917,2
"394",920,NA
"395",922,2
"396",927,2
"397",931,NA
"398",935,NA
"399",939,NA
"400",940,2
"401",942,2
"402",946,NA
"403",948,NA
"404",949,NA
"405",950,NA
"406",952,NA
"407",954,NA
"408",959,NA
"409",961,NA
"410",962,NA
"411",969,2
"412",972,NA
"413",976,NA
"414",981,NA
"415",983,NA
"416",984,NA
"417",985,NA
"418",987,NA
"419",992,3
"420",994,NA
"421",997,NA
"422",999,NA
"423",1000,NA
"424",1003,2
"425",1008,NA
"426",1010,2
"427",1012,NA
"428",1017,2
"429",1018,NA
"430",1020,NA
"431",1021,2
"432",1023,NA
"433",1024,NA
"434",1025,NA
"435",1026,2
"436",1029,NA
"437",1033,NA
"438",1034,2
"439",1037,NA
"440",1044,2
"441",1047,NA
"442",1050,NA
"443",1054,NA
"444",1056,NA
"445",1058,NA
"446",1059,NA
"447",1061,NA
"448",1066,NA
"449",1069,NA
"450",1073,NA
"451",1076,NA
"452",1083,2
"453",1085,NA
"454",1086,2
"455",1087,NA
"456",1099,3
"457",1101,NA
"458",1108,3
"459",1112,2
"460",1114,NA
"461",1115,NA
"462",1116,NA
"463",1118,NA
